wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
VTech,https://en.wikipedia.org/wiki/VTech,Worldwide,Public,October 1976; 49 years ago (1976-10) (as Video Technology Limited),Allan Wong (Chi-Yun) Stephen Leung,"Tai Ping Industrial Centre Block 1, 23rd Floor; 57 Ting Kok Tai Po N.t. Rd., 23/f, Tai Po, Hong Kong",Electronics industry,,US$203.3 million (FY2014),"Around 30,000",,,,Residential phonesEducational toysElectronic manufacturing servicesSmall-medium sized business phonesHotel phonesCordless headsetsIntegrated access devicesBaby monitors,"US$1,898.9 million (FY2014)",Advanced American TelephonesLeapFrogSnomGigaset Communications,,,SEHK: 0303,www.vtech.com
WuXi AppTec,https://en.wikipedia.org/wiki/WuXi_AppTec,,Public,2000; 25 years ago (2000),,"Shanghai, China",Contract Research OrganizationsPharmaceuticalBiopharmaceutical Medical Devices,Ge Li,,,,,,,,,,,SSE: 603259SEHK: 2359Hang Seng Index componentCSI A50,www.wuxiapptec.com
Xiaomi,https://en.wikipedia.org/wiki/Xiaomi,Worldwide,Public company,6 April 2010; 15 years ago (2010-04-06),Lei Jun Lin Bin Zhou Guangping Liu De Li Wanqiang Wong Kong-Kat Hong Feng Wang Chuan,"Beijing, China",Consumer electronics Computer hardware Automotive Crowdfunding E-commerce,"Lei Jun (founder, chairman & CEO) Lin Bin (co-founder & vice-chairman) Lu Weibing (partner & president) Liu De (co-founder, executive director & senior vice president)",CN¥23.578 billion US$3.284 billion (2024),"33,627 (31 December 2023)",CN¥24.503 billion US$3.413 billion (2024),,,Mobile phones Personal computers IoT Electric vehicles,CN¥365.906 billion US$50.971 billion (2024),Black Shark Xiaomi Auto Zhigu Corporation ZMI Youpin (有品),CN¥324.25 billion US$44.27 billion (2023),CN¥164.26 billion US$22.42 billion (2023),SEHK: 1810Hang Seng Index component,mi.com
Zengame Technology,https://en.wikipedia.org/wiki/Zengame_Technology,,Public,July 2010,,,,"Ye Sheng (chairman, CEO)",¥221 million (2020),,,,,,¥742 million (2020),,,,SEHK: 2660,zen-game.com
ZTE,https://en.wikipedia.org/wiki/ZTE,Worldwide,Public; state-owned enterprise,"1985; 40 years ago (1985) (as Zhongxing Semiconductor Co., Ltd.)",Hou Weigui,"55 Hi-tech Road SouthShenzhen, Guangdong, China518057",Telecommunications equipment Networking equipment,Ms. Fang Rong (Chairman and Executive Director) Mr. Xu Ziyang (Executive Director and CEO),CN¥8.08 billion (2022),"74,811 (2022)",CN¥6.16 billion (2022),Zhongxingxin (20.29% in 2022); China Aerospace Science and Industry Corporation,,"Mobile phones, smartphones, tablet computers, hardware, software, all series of wireless, wireline, services, devices and professional telecommunications services and services to telecommunications service providers and enterprises",CN¥122.95 billion / US $17.68 billion (2022),Nubia Technology (49.9%) ZTEsoft Zonergy,CN¥180.95 billion (2022),CN¥58.64 billion (2022),SZSE: 000063SEHK: 763CSI A50,www.zte.com.cn
Abcam,https://en.wikipedia.org/wiki/Abcam,,Subsidiary,1998; 27 years ago (1998),Jonathan MilnerTony KouzaridesDavid Cleevely,"Cambridge Biomedical Campus, Cambridge, UK",BiotechnologyLife sciences,Markus Lusser (president),£(8.5) million (2022),"1,760 (2022)",£(10.1) million (2022),,Danaher Corporation (2023–present),Research antibodiesKits and assays for biological research,£361.7 million (2022),,"£1,057 million (2022)",£726.9 million (2022),AIM: ABCNasdaq: ABCM,abcam.comabcamplc.com
Advanced Energy,https://en.wikipedia.org/wiki/Advanced_Energy,Worldwide,Public,"1981; 44 years ago (1981), in Fort Collins, Colorado",,"Denver, Colorado, US, WW headquarters",thin-film renewables (solar and glass): semiconductorFlat panel display and OEDHigh-brightness LED (HBLED)SolarData storageArchitectural glassIndustrial coatingAnalytical instrumentsMedical equipmentTelecommunications networkAerospaceAutomotiveFood industryIntrinsically safeMetrologyOil and gasPharmaceuticalPlasticsResearch and others,"Steve Kelley (president & CEO)Paul Oldham (executive vice president & CFO)Eduardo Bernal (EVP and COO)Tom McGimpsey (EVP and general counsel)Rory O’Byrne (SVP & chief people officer)Randy Heckman (SVP and CTO)Juergen Braun (SVP, Plasma Power Products)John Donaghey (SVP and global head of sales)Kevin Fairbairn (SVP, corporate development)Peter Gillespie (SVP of strategic and corporate marketing)Emdrem Tan (SVP High Volume Products)John Williams (SVP, industrial and medical products)",US$ 244.8 Million (FY 2022),"~12,000 (end of FY 2022)",US$ $299.5 Million (FY 2022),,,"High and low voltage power systemsthermal measuring instrumentsplasma power generatorsremote plasma sources, electrostatic productsAC-DC and DC-DC power suppliesthyristor power controlsglobal support servicesDigital Thermometers and Temperature Probes & SensorsIntrinsically Safe Test & Measuring InstrumentsHumidity Measurement InstrumentsMicrowave & RF InstrumentsLCR MetersOhmmetersGrounding & Bonding InstrumentsSignal Source & Waveform AmplifiersRatio Standards and Electrical Safety Instruments",US$ 1.85 Billion (FY 2022),SL Power Electronics,"US$ 1,992.2 Million (end of FY 2022)","US$1,066.3 Million (end of FY 2022)",Nasdaq: AEISS&P 600 component,advancedenergy.com
Alliance Boots,https://en.wikipedia.org/wiki/Alliance_Boots,Global,Gesellschaft mit beschränkter Haftung,2007 (Alliance Boots)1849 (Boots)1997 (Alliance UniChem),,"Bern, Switzerland(Registered office)Nottingham, United KingdomWeybridge, United Kingdom(Operational headquarters)",PharmaceuticalsRetailing,Stefano Pessina (Executive Chairman) Aubrey Jackson (CEO - Alliance HealthCare),£805 million (2012/13),"Over 120,000 (2013/14)",,,,"BootsNo7 – skincare and cosmeticsSoltan – Suncaredrug store/pharmacy, other specialty",£23.4 billion (2013/14),Alliance HealthcareBoots UKBoots OpticiansGuangzhou Pharmaceuticals (50%),,,,
AstraZeneca,https://en.wikipedia.org/wiki/AstraZeneca,Global,Public,6 April 1999; 26 years ago (1999-04-06),,"Cambridge Biomedical Campus, Cambridge, England",PharmaceuticalBiotechnology,Michel Demaré (chairman)Sir Pascal Soriot (CEO),US$7.041 billion (2024),"89,900 (2025)",US$10.003 billion (2024),,,Pharmaceutical drugsvaccines,US$54.073 billion (2024),Alexion PharmaceuticalsMedImmune,US$104.035 billion (2024),US$40.871 billion (2024),LSE: AZNNasdaq Stockholm: AZNNasdaq: AZN (ADR)FTSE 100 componentOMX Stockholm 30 componentNasdaq-100 component,astrazeneca.com
BEXIMCO,https://en.wikipedia.org/wiki/BEXIMCO,Worldwide,Public,1972; 53 years ago (1972),A. S. F. RahmanSalman F Rahman,"Dhaka, Bangladesh",Conglomerate,A. S. F. Rahman (Chairman)Salman F Rahman (Vice Chairman),BD৳1.259 billion (US$15 million) (FY2018),"70,000",BD৳7.085 billion (US$85 million) (FY2018),A. S. F. RahmanSalman F Rahman,,Diversified investmentsBanking & financePharmaceuticalGarment manufacturingClothing retailMediaIT,BD৳25.387 billion (US$304 million) (FY2018),Beximco PharmaYellowIndependent Television,BD৳122.746 billion (US$1.47 billion) (FY2018),BD৳63.373 billion (US$757 million) (FY2018),DSE: BEXIMCO CSE: BEXIMCO,beximco.com bol-online.com beximcolpg.com
Dechra Pharmaceuticals,https://en.wikipedia.org/wiki/Dechra_Pharmaceuticals,,Private,1997,,"Northwich, England, UK",Pharmaceuticals,"Jesper Nordengaard, (CEO)",£58.2 million (2022),"2,036 (2022)",£174.3 million (2022),,,,£681.8 million (2022),,,,LSE: DPH,www.dechra.com
EKF Diagnostics,https://en.wikipedia.org/wiki/EKF_Diagnostics,Worldwide,Public company,"Barleben, Germany (1990)",Berthold Walter,"Cardiff, United Kingdom",Health Care Biotechnology,Christopher Mills(Non-Executive Chairman)Mike Salter(Chief Executive Officer)Marc Davies(Chief Financial Officer),,295 (2011),,,,,£21.658 million (2011),Argutus MedicalQuotient DiagnosticsStanbio Laboratory,£58.733 million (2011),£37.427 million (2011),LSE: EKF EKF Diagnostics Holdings plc,www.ekfdiagnostics.com
Delix Therapeutics,https://en.wikipedia.org/wiki/Delix_Therapeutics,,Private,2019,,"Boston, Massachusetts",PharmaceuticalBiotechnology,Mark Rus (Chief Executive Officer),,,,,,,,,,,,delixtherapeutics.com
Faron Pharmaceuticals,https://en.wikipedia.org/wiki/Faron_Pharmaceuticals,,Public,2003,Markku Jalkanen and others,"Turku, Finland","Biopharmaceutical, Healthcare",Markku JalkanenCEO,,,,,,"Traumakine, Clevegen",,,,,AIM: FARN,http://www.faron.com/
Fusion IP,https://en.wikipedia.org/wiki/Fusion_IP,,Public (LSE: FIP),"Sheffield, South Yorkshire (2001 (2001))",,"Sheffield, United Kingdom",Business IncubationVenture CapitalSeed FundingEarly Stage InvestmentIntellectual Property Commercialisation,Doug Liversidge CBE (Chairman) David Baynes (CEO),,,,,,,,,,,,www.fusionip.co.uk
Genus plc,https://en.wikipedia.org/wiki/Genus_plc,,Public,1933,,"Basingstoke, Hampshire, UK",Biotechnology,"Iain Ferguson, Chairman Jorgen Kokke, CEO",£2.4 million (2024),,£6.4 million (2024),,,,£668.8 million (2024),,,,LSE: GNSFTSE 250 component,www.genusplc.com
Hikma Pharmaceuticals,https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals,,Public,1978; 47 years ago (1978) Jordan,Samih Darwazah,"London, England, UK",Pharmaceutical,Said Darwazah (Chairperson)Said Darwazah (CEO),US$362 million (2024),"8,800 (2024)",US$719 million (2024),,,AmoclanPrografSuprax,"US$3,156 million (2024)",,,,LSE: HIKFTSE 100 Component,www.hikma.com
Horizon Discovery,https://en.wikipedia.org/wiki/Horizon_Discovery,Worldwide,Public limited company,2005 (2005),"Prof. Alberto Bardelli, Dr. Chris Torrance","Cambridge, United Kingdom",Biotechnology,"Terry Pizzie (CEO), Ian Gilham (Chairman of Board of Directors, 2014)",,400,,,,Isogenic cell linesEngineered Haploid cell lines (HAP1)Reporter KitsMolecular Reference StandardsModel organisms,,,,,,Horizon Discovery
Integrated DNA Technologies,https://en.wikipedia.org/wiki/Integrated_DNA_Technologies,Research and diagnostics life sciences market,Private,"Coralville, IA, USA 1987",Dr. Joseph A. Walder,"Coralville, IA, U.S.",Biotechnology,,,"1,661 (2023)",,,Danaher Corporation,Oligonucleotides,,,,,,IDTDNA.com
IXICO,https://en.wikipedia.org/wiki/IXICO,Worldwide,Public limited company,2004,"Professors Derek Hill, Daniel Rueckert, David Hawkes and Jo Hajnal","London, United Kingdom",Data analytics for clinical research,Charles Spicer (Chairman)Giulio Cerroni (CEO),,,,,,,,,,,LSE:IXI,https://ixico.com/
Mediclinic Group,https://en.wikipedia.org/wiki/Mediclinic_Group,,Private,"October 3, 1983; 42 years ago (1983-10-03)",,"Stellenbosch, South Africa",Hospital management,Dr Ronnie van der Merwe (CEO),£170 million (2022),"34,278 (2022)",£280 million (2022),,,,"£3,233 million (2022)",,,,LSE: MDCJSE: MEI,www.mediclinic.com
Oxford Nanopore Technologies,https://en.wikipedia.org/wiki/Oxford_Nanopore_Technologies,,Public limited company,2005; 20 years ago (2005),Hagan Bayley Gordon Sanghera Spike Willcocks,"Oxford Science Park, Oxford, United Kingdom",Nanopore sequencing,Duncan Tatton-Brown (Chair)Gordon Sanghera (CEO),£(146.2) million (2024),,£(152.3) million (2024),,,,£183.2 million (2024),,,,LSE: ONT,nanoporetech.com
Blue Cross and Blue Shield of Alabama,https://en.wikipedia.org/wiki/Blue_Cross_and_Blue_Shield_of_Alabama,,"Non-Profit, Private company",1936,,"Birmingham, Alabama, USA",Insurance,"Tim Vines, president and chief executive officer Noel Carden, chief financial officerRebekah Elgin Council, chief marketing officer",,"5,000 (2020)",,,,Health Insurance,$4.1 billion USD (2011),,,,,http://www.alabamablue.com/
Silence Therapeutics,https://en.wikipedia.org/wiki/Silence_Therapeutics,,Public (Nasdaq: SLN),1994,,"Hammersmith, London",Pharmaceuticals,,,120,,,,,,,,,,www.silence-therapeutics.com
Smith & Nephew,https://en.wikipedia.org/wiki/Smith_%26_Nephew,,Public limited company,1856; 169 years ago (1856)(Kingston upon Hull),Thomas James Smith,"Watford, England",Medical equipment,Rupert Soames (Chairman) Dr Deepak Nath (CEO),$412 million (2024),"18,000 (2024)",$657 million (2024),,,Medical equipment,"$5,810 million (2024)",,,,LSE: SN.NYSE: SNNFTSE 100 Component,www.smith-nephew.com
Surgical Innovation,https://en.wikipedia.org/wiki/Surgical_Innovation,,,,,,,,,,,,,,,,,,,
Synairgen,https://en.wikipedia.org/wiki/Synairgen,,,2003 (2003),Stephen Holgate Donna E. Davies Ratko Djukanovic [Wikidata],"Southampton, United Kingdom",Drug discoveryBiotechnology,Richard Marsden (CEO) John Ward (CFO) Phillip Monk (CSO),,,,,,,,,,,AIM: SNG,synairgen.com
Atlas Venture,https://en.wikipedia.org/wiki/Atlas_Venture,,Private,1980,Michiel de Haan,"Cambridge, Massachusetts, U.S.",Venture Capital,Kevin BittermanBruce BoothJean-Francois FormelaMichael GladstoneDavid Grayzel Jason Rhodes,,29,,,,venture capital funds,,,,,,www.atlasventure.com
Akeso,https://en.wikipedia.org/wiki/Akeso,,Public,"March 19, 2012; 13 years ago (2012-03-19)",Michelle XiaBaiyong LiMax WangPeng Zhang,"Zhongshan, Guangdong, China",Biopharmaceutical,Michelle Xia (Chairwoman & CEO),CN¥−501.09 million (2024),"3,035 (2024)",,,,,CN¥2.04 billion (2024),,CN¥12.76 billion (2024),CN¥6.75 billion (2024),SEHK: 9926,www.akesobio.com
Alibaba Health,https://en.wikipedia.org/wiki/Alibaba_Health,,Public subsidiary,2014; 11 years ago (2014),,"Beijing, China",Digital health,Zhu Shunyan (Chairman)Shen Difan (CEO),CN¥5.34 million (2023),"1,560 (2023)",,,Alibaba Group,,CN¥26.76 billion (2023),,CN¥20.75 billion (2023),CN¥15.13 billion (2023),SEHK: 241Hang Seng Index component,www.alihealth.cn
Amco Batteries,https://en.wikipedia.org/wiki/Amco_Batteries,,Public,1932,,"Chennai, Tamil Nadu, India",Battery,Ramachandra S (CEO),,,,,Amalgamations Group,"Automotive batteries, inverter batteries, genset batteries, UPS batteries",,,,,,www.amco.co.in
Beijing Hospital,https://en.wikipedia.org/wiki/Beijing_Hospital,,"General, teaching",,,,,,,,,,,,,,,,,bjhmoh.cn
Tong Ren Tang,https://en.wikipedia.org/wiki/Tong_Ren_Tang,,Public,1669 (1669),Yue Xianyang,"Beijing, China",Pharmaceutical,,,,,,,,"396,750,300,000 renminbi (2018)",,,,SSE: 600085,www.tongrentang.com
Clover Health,https://en.wikipedia.org/wiki/Clover_Health,"Arizona, Georgia, Kansas, New Jersey, New York, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont",Public,"2014; 11 years ago (2014), in San Francisco, United States",,"Franklin, Tennessee, United States",Health care,Andrew Toy (CEO)Vivek Garipalli (executive chairperson)Conrad Wai (CTO),,458 (2021),,,,,,,,,Nasdaq: CLOV (Class A),cloverhealth.com
CSPC Pharmaceutical Group,https://en.wikipedia.org/wiki/CSPC_Pharmaceutical_Group,,listed,,,"Wan Chai,Hong Kong",Medication,Cai Dongchen (Chairman)Zhang Cuilong (CEO),¥CNY 5.605 billion（2021/12）,,¥ CNY 6.847 billion（2021/12）,,,,¥CNY 27.867 billion（2021/12）,,¥CNY 34.742 billion（2021/12）,¥CNY 26.828 billion（2021/12）,SEHK: 1093（Blue chip）,www.e-cspc.com
Helix BioPharma Corp.,https://en.wikipedia.org/wiki/Helix_BioPharma_Corp.,Worldwide,Public,1995,Jerome F. McElroy,"Toronto, Canada",Pharmaceutical,"Jacek Antas (CEO),",,,,,,,,,,,,www.helixbiopharma.com
GenScript Biotech,https://en.wikipedia.org/wiki/GenScript_Biotech,Worldwide,Public,2002 in New Jersey,"Fangliang Zhang, Ye Wang, Luquan Wang","Nanjing, China",Life sciences,"Shao Weihui, CEO",,,,,,,,,,,SEHK: 1548,www.genscript.com
Brilliance Auto Group,https://en.wikipedia.org/wiki/Brilliance_Auto_Group,Exported worldwide,State-owned enterprise,1992; 33 years ago (1992) (Brilliance Auto)2002 (current incorporation of Huachen Automotive Group),Chinese governmentYang Rong,"Shenyang, Liaoning Province, China",Automotive,Yan Bingzhe(Chairman and Party Committee Secretary of the Group;Zhang Yue (Chairman and CEO of Brilliance Auto Holdings),CNY000279 million (2019),"5,610 (Brilliance Auto only) (2019)",,Liaoning Provincial Government(80%)Liaoning Social Security Fund(20%),Liaoning Provincial Government's SASAC,AutomobilesAutomotive components,CNY181130 million (2019),Brilliance Auto (SEHK: 1114; 42.32%),CNY195348 million (2019),CNY004992 million (2019),,www.brilliance-auto.com
Green Cross Health,https://en.wikipedia.org/wiki/Green_Cross_Health,,,,,,,,,,,,,,,,,,,
Guangzhou F.C.,https://en.wikipedia.org/wiki/Guangzhou_F.C.,,,June 1954; 71 years ago (1954-06),,,,,,,,,,,,,,,,
Hansoh Pharmaceutical,https://en.wikipedia.org/wiki/Hansoh_Pharmaceutical,,Public,1995; 30 years ago (1995),Zhong Huijuan,"Shanghai, China",Pharmaceutical,Zhong Huijuan (CEO & Chairlady),,,,,,,,,,,SEHK: 3692,www.hspharm.com
HBM Healthcare Investments,https://en.wikipedia.org/wiki/HBM_Healthcare_Investments,Worldwide,Public,2001,Henri Bernard Meier,"Zug, Switzerland",Venture capital,Hans Peter Hasler (Chairman),,,,,,,,,,,HBMN.SW (SIX Swiss Exchange),www.hbmhealthcare.com
Aier Eye Hospital,https://en.wikipedia.org/wiki/Aier_Eye_Hospital,,Public,January 2003; 22 years ago (2003-01),Chen Bang,"Changsha, Hunan, China",Healthcare,Chen Bang (Chairman)Li Li (CEO),CN¥3.66 billion (2023),"36,718 (2023)",,,,,CN¥20.37 billion (2023),,CN¥30.19 billion (2023),CN¥20.02 billion (2023),SZSE: 300015CSI A50,aierchina.com
National Tsing Hua University,https://en.wikipedia.org/wiki/National_Tsing_Hua_University,,Public research university,,,,,,,,,,,,,,,,,nthu.edu.tw
Innovent Biologics,https://en.wikipedia.org/wiki/Innovent_Biologics,,Public,"November 28, 2011; 14 years ago (2011-11-28)",Yu Dechao,"Suzhou Industrial Park, Suzhou, Jiangsu, China",Biopharmaceutical,Yu Dechao (Chairman & CEO),CN¥−94.63 million (2024),"5,659 (2024)",,,,,CN¥9.42 billion (2024),,CN¥21.60 billion (2024),CN¥13.12 billion (2024),SEHK: 1801,www.innoventbio.com
JD Health,https://en.wikipedia.org/wiki/JD_Health,,Public subsidiary,February 2014; 11 years ago (2014-02),,"Beijing, China",Digital health,Liu Qiangdong (Chairman)Jin Enlin (CEO),CN¥2.14 billion (2023),"3,118 (2023)",,,JD.com,,CN¥53.53 billion (2023),,CN¥64.29 billion (2023),CN¥49.37 billion (2023),SEHK: 6618Hang Seng Index component,ir.jdhealth.com
Eurofins Scientific,https://en.wikipedia.org/wiki/Eurofins_Scientific,,Public (Societas Europaea),1987; 38 years ago (1987),Gilles Martin,"Luxembourg City, Luxembourg",Testing and Laboratory analysis,Gilles Martin(chairman & CEO),"310,200,000 euro (2023)","ca. 63,000 (2024)","529,900,000 euro (2023)",,,,€6.951 billion (2024),,,,Euronext Paris: ERFCAC 40 component,www.eurofins.com
Medinet Madi,https://en.wikipedia.org/wiki/Medinet_Madi,,,,,,,,,,,,,,,,,,,
Institute of Genomics and Integrative Biology,https://en.wikipedia.org/wiki/Institute_of_Genomics_and_Integrative_Biology,,Government organization,,,,,,,,,,,,,,,,,www.igib.res.in
MicroPort,https://en.wikipedia.org/wiki/MicroPort,,Public,1998,,"Shanghai, China",Medical Devices,"Zhaohua Chang, CEOMartin Sun, CFOQiyi Luo, CTO",US$29.009 Million (2019 Annual),9000 (2022),US$564.425 Million (2019 Annual),,,,US$793.493Million (2019 Annual),,,,SEHK: 853,www.microport.com
National Museum of Health and Medicine,https://en.wikipedia.org/wiki/National_Museum_of_Health_and_Medicine,,"Medicine, Military medicine",,,,,,,,,,,,,,,,,medicalmuseum.health.mil
OrbusNeich,https://en.wikipedia.org/wiki/OrbusNeich,,Public,2000,,Hong Kong,Medical Instruments & Supplies,"Teddy Chien (Founder), David Chien (Chairman and CEO), Denise Lau (COO)",,500+,,,,"Stent, balloon",,,,,HKEX: 6929,orbusneich.com
Ping An Good Doctor,https://en.wikipedia.org/wiki/Ping_An_Good_Doctor,,Public company,June 2014; 11 years ago (2014-06),,"Shanghai, China",,,,,,,Ping An Insurance,,,,,,SEHK: 1833,www.pagd.net
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,,,,,,,,,,,,,,,,,,,
Fosun International,https://en.wikipedia.org/wiki/Fosun_International,,Public,1992 (1992) (predecessor)1994 (1994) (as Fosun Hi-tech)24 December 2004 (2004-12-24) (as Fosun Intl.),Guo GuangchangLiang XinjunWang QunbinFan WeiTan Jian,"Shanghai, ChinaHong Kong (registered office)",Conglomerate,Co-Chairman: Guo GuangchangCo-Chairman: Wang QunbinCo-CEO: Chen QiyuCo-CEO: Xu Xiaoliang,US$1.6 billion (2021),"71,000 (2019)",,,Fosun International Holdings,,US$25.4 billion (2021),,US$126.48 billion (2021),,SEHK: 656,fosun.com
Shanghai Pharmaceuticals,https://en.wikipedia.org/wiki/Shanghai_Pharmaceuticals,"Asia-Pacific, China",listed,1994,,"Shanghai, China",Pharmaceuticals,,US$ 532 million (2023),"48,164 (2023)",,,,,"US$ 36,769 million (2023)",,"US$ 29,865 billion (2023)",,SSE: 601607 SEHK: 2607,www.sphchina.com
Pioneer Chicken,https://en.wikipedia.org/wiki/Pioneer_Chicken,"Bell Gardens, California Los Angeles, California",,1961; 64 years ago (1961),,,Restaurant,,,,,,,Fried chicken,,,,,,https://pioneerchickenla.com
Sihuan Pharmaceutical,https://en.wikipedia.org/wiki/Sihuan_Pharmaceutical,,,,,,,,,,,,,,,,,,,
Simcere Pharmaceutical,https://en.wikipedia.org/wiki/Simcere_Pharmaceutical,,"Listed, SEHK: 2096",,,"Nanjing, Jiangsu, China",Pharmaceuticals,,,,,,,,,,,,,www.simcere.com
United States Department of Energy National Laboratories,https://en.wikipedia.org/wiki/United_States_Department_of_Energy_National_Laboratories,,,,,,,,,,,,,,,,,,,
Railroad Tycoon,https://en.wikipedia.org/wiki/Railroad_Tycoon,,,,,,,,,,,,,,,,,,,
Saint Vincent's Catholic Medical Centers,https://en.wikipedia.org/wiki/Saint_Vincent%27s_Catholic_Medical_Centers,,General and Teaching,,,,,,,,,,,,,,,,,svcmc.org
Wanjia re-education through labor camp,https://en.wikipedia.org/wiki/Wanjia_re-education_through_labor_camp,,,,,,,,,,,,,,,,,,,
Smithers-Oasis,https://en.wikipedia.org/wiki/Smithers-Oasis,,,"1954 in Kent, Ohio, United States",V.L. Smithers,"Kent, Ohio, United States",Floristry,,,,,,,Floral foam,,,,,,www.smithersoasis.com
YSB (magazine),https://en.wikipedia.org/wiki/YSB_(magazine),,,,Robert L. Johnson,,,,,,,,,,,,,,,
Yunnan Copper,https://en.wikipedia.org/wiki/Yunnan_Copper,People's Republic of China,State-owned enterprise,1958,,"Kunming, Yunnan, People's Republic of China",Copper products manufacturing,Chairman: Mr. Liu Mingcai,- US$279.1 million (2023),"9,041",,,Yunnan Copper Group,,US$19.8 billion (2023),,,,,Yunnan Copper Company Limited
Horizon Health Network,https://en.wikipedia.org/wiki/Horizon_Health_Network,New Brunswick,Health Care,"September 1, 2008",Government of New Brunswick,"Fredericton, New Brunswick",Health care,President & CEO Margaret Melanson Minister of Health Board of Directors,,"13,000 (2010)",,,,,,,,,,horizonnb.ca
System1,https://en.wikipedia.org/wiki/System1,,Public,2013,,United States,News media security Internet advertising,Michael Blend (Co-founder/CEO)Chuck Ursini (Co-founder/COO)Brian Coppola (CPO),,,,,,"Answers.com, HowStuffWorks, Info.com, Infospace, MapQuest, Startpage.com, Formerly: Waterfox",,,,,NYSE: SST,system1.com
Zhongsheng Group,https://en.wikipedia.org/wiki/Zhongsheng_Group,,Public,1998; 27 years ago (1998),"Huang Yi, Li Guoqiang","Beijing, China",Automotive,Huang Yi (Chairman)Li Guoqiang (Vice-Chairman and CEO),,,,,,,,,,,SEHK: 881,
Hellenic Duty Free Shops,https://en.wikipedia.org/wiki/Hellenic_Duty_Free_Shops,Exit points from Greece,Private Company,1979,The Greek state,"Agios Stefanos, Attica, Greece",Travel retail,,,,,,Avolta AG,"Perfumes, cosmetics, tobacco products, alcoholic drinks, chocolates, traditional Greek products, luxury items, international brand name products watches, glasses, electronic items, games, gifts, souvenirs, clothing.",,Hellenic Distributions SA,,,,www.dutyfreeshops.gr
M+C Saatchi Group,https://en.wikipedia.org/wiki/M%2BC_Saatchi_Group,"Americas, APAC (Asia Pacific), Europe, Middle East and South Africa",,May 1995,"Maurice Saatchi, Charles Saatchi, Jeremy Sinclair, Bill Muirhead, David Kershaw","London, London",Advertising,Zaid Al-Qassab (Global CEO),,2003 (2700 including Licensees),,,,,The Group generated LFL £231.4 million of net revenue in 2024.,,,,LSE: SAA,www.mcsaatchi.com
Geely Auto,https://en.wikipedia.org/wiki/Geely_Auto,Worldwide,Public,1998; 27 years ago (1998),,"Hangzhou, Zhejiang, China",Automotive,Li Shufu (chairman)Li Donghui (vice chairman)Gui Shengyue (CEO)Stefan Sielaff (global designer),CN¥4.945 billion (2023),"60,000 (2023)",,Zhejiang Geely Holding (39.94%)Proper Glory Holding (26.2%),Zhejiang Geely Holding,Automobiles,CN¥179.2 billion (2023),Genius Auto Finance (75%)ZeekrZeekr Technology Europe (50.8%)Lynk & Co (49%)Proton Holdings (49.9%)Zhejiang Aisin (40%)Renault Korea (34.02%)BelGee (36.7%)Horse Powertrain (33%),CN¥192.59 billion (2023),CN¥85.15 billion (2023),SEHK: 175,geelyauto.com.hk
CJ ENM,https://en.wikipedia.org/wiki/CJ_ENM,Worldwide,Subsidiary,"January 22, 1978; 47 years ago (1978-01-22) (as CJ O Shopping)",,see list,EntertainmentMass MediaRetail,Kang Ho-sung [ko] (CEO)Heo Min-ho (CEO)Choi Jin-hee (EVP),,,,,CJ Group,,,,,,KRX: 035760[a],www.cjenm.com/ko/
Focusrite,https://en.wikipedia.org/wiki/Focusrite,,,1985; 40 years ago (1985),Rupert Neve,"Windsor House, Turnpike Rd, Cressex Business Park, High Wycombe, Buckinghamshire, England","Electronics, Professional Audio",Phil Dudderidge,,,,,,,,Focusrite Audio Engineering Limited (with subsidiaries Focusrite Novation Inc and Focusrite Novation Asia Limited)ADAM Audio GmbHMartin Audio LimitedNovationSequential,,,,focusriteplc.comfocusrite.compro.focusrite.comadam-audio.commartin-audio.comnovationmusic.comampifymusic.com
Midea Group,https://en.wikipedia.org/wiki/Midea_Group,,Public,1968; 57 years ago (1968),He Xiangjian,"Beijiao, Shunde District, Foshan city, Guangdong province, China",Home applianceElectrical devices,Paul Fang (Chairman),CN¥029.015 billion (2021),"About 150,000 (2021)",CN¥033.281 billion (2021),He Xiangjian(via Chinese: 美的控股; lit. 'Midea Holding'; 31.51%),,Major appliancesSmall appliances,CN¥343.4 billion (2021),GD Midea(100%)KUKA(100%)Eureka,CN¥387.946 billion (2021),CN¥0124.868 billion (2021),SZSE: 000333SEHK: 300CSI A50,midea-group.com
Bright Future (Iceland),https://en.wikipedia.org/wiki/Bright_Future_(Iceland),,,4 February 2012,,Austurstræti 8–10,,,,,,,,,,,,,,
Colefax Group,https://en.wikipedia.org/wiki/Colefax_Group,"United Kingdom, United States, and Europe",Public limited company,,,United Kingdom,Luxury fabric and wallpaper company,David Green (Chief Executive),,,£2.94 million (2017),,,,£80.48 million (2017),,,,LSE: CFX,www.colefaxgroupplc.com
