title,release_year,artists,genres,region
Sing-Along Songs,,Various,Children's,US
Los Mejores Cuentos Vol.2,1972.0,Various,Children's,Spain
Старик Хоттабыч,1976.0,Лазарь Лагин,Children's,USSR
Fasching Im Kindergarten,1999.0,Various,Children's,Europe
Here Comes The Big Red Car,2006.0,The Wiggles,Children's,US
Famous Friends: Celebrating 50 Years Of Play School,2016.0,Various,Children's,Australia
Jésus Aime Les Enfants,,Peter Van Woerden,Children's,Switzerland
Sea Songs,1978.0,The Kid Stuff Repertory Company,Children's,US
Safety Songs,2007.0,Mr. Walter,Children's,US
Super Circus Sideshow,,Claude Kirchner; Mary Hartline; Cliffy Soubier; Scampy Patton; Nicky Francis (2); The Super Circus Band,Children's,US
Povesti din lumea larga,,Various,Children's,Romania
Disney's Family Christmas - Holiday 2006,2005.0,Various,Children's,Canada
Cinderella,,Scotty MacGregor,Children's,US
Rockabye Baby! Lullaby Renditions Of Nirvana,2008.0,Michael Armstrong,Children's,US
Charting the Globe,,Harriet Eager Davis; Bryna Raeburn; Bob McFadden,Children's,US
Não Tenho Idade Para Amar-te,1992.0,Onda Choc,Children's,Portugal
Funkheinzelmann Im Glockenland / Die Güldene Trompete,1927.0,Hans Bodenstedt,Children's,Germany
Росте В Лісі Берізка / Кіт-Хвостун / Їжачок І Соловейко,1987.0,Михаил Степаненко; Микола Сільванський,Children's,USSR
The Mike & Mike Show And Kiss 94.5 Present Mom-A-Palooza! Featuring Spilled Milk,2005.0,Various,Children's,US
Good News Car Tunes,1985.0,The Good News Travelers,Children's,US
Histoire De Babar,1994.0,Various,Children's,Europe
Hickory Dickory Dock / Peter Piper,,Unknown Artist,Children's,US
O Pequeno Príncipe,1967.0,Antonio Carlos Jobim,Children's,Brazil
Symphonie Fantastique Op. 14,1980.0,Hector Berlioz; London Symphony Orchestra; Sir Colin Davis,Classical,Netherlands
Debussy - Preludes Books 1 And 2,1960.0,Claude Debussy; Daniel Ericourt,Classical,US
The Star Of Bethlehem / The Holy City,1914.0,Charles Leggett,Classical,UK
Золото И Серебро / Голубой Дунай,,Marek Weber Und Sein Orchester,Classical,USSR
Un Español En Hollywood,,José Iturbi,Classical,Spain
The Merry Wives Of Windsor,1974.0,Otto Nicolai; Kurt Böhme; Theodor Horand; Rolf Kleinert,Classical,US
Sonate Op.8 Pour Violoncelle,1982.0,Zoltán Kodály; Geneviève Teulières,Classical,France
Pachelbel: Canon & Other Baroque Favorites,1992.0,English Chamber Orchestra; Raymond Leppard,Classical,US
Le Sacre Du Printemps - Petrouchka,1988.0,Igor Stravinsky; Pierre Monteux; Boston Symphony Orchestra,Classical,Germany
Musica Para El Fin Del Milenio,1993.0,Carmen Sancho,Classical,Spain
Sinfonia N. 7 In Mi Minore,,Gustav Mahler,Classical,Italy
Music Of Berlioz,1969.0,Hector Berlioz; Orchestre De La Société Des Concerts Du Conservatoire; Jean Martinon,Classical,UK
"Brahms Symphony No. 4 In E Minor, Op. 98",,The National Symphony Orchestra; Karl Rankl,Classical,UK
Musica Medicina - Gedanken Zu Musik Und Heilkunst,1985.0,Johann Mattheson; La Petite Bande; Sigiswald Kuijken,Classical,Germany
Flûte Et Guitare,1975.0,François Tomasi (2); Paul Stefani,Classical,France
Künstlerleben / Wiener Blut,,Orchester Der Wiener Staatsoper,Classical,Germany
Himnos De Los Estados De Venezuela,,Orquesta Galantes De Venezuela,Classical,Venezuela
From Stern To Bow,2001.0,Karl Haas (5),Classical,US
Vidurinėms Mokykloms - 9 kl.,,Wolfgang Amadeus Mozart; Franz Schubert; Ludwig van Beethoven,Classical,USSR
Capriccio Russo,1986.0,Luis Cobos; Большой Симфонический Оркестр Всесоюзного Радио,Classical,Argentina
Barber / Gershwin / Milhaud,1984.0,Samuel Barber; George Gershwin; Darius Milhaud; Dickermann-Quartett,Classical,Germany
The Best Of Frederic Chopin Vol. 2,1992.0,Frédéric Chopin,Classical,Canada
Five Centuries Of Music In The Cathedral Of Reims,1969.0,Josquin Des Prés; Guillaume de Machaut; Baude Cordier; François Cosset; Henri Hardouin; Nicolas De Grigny; Les Alouettes De Champagne; Maîtrise De La Cathédrale De Reims; Orchestre De Chambre Jean-François Paillard; Jean-François Paillard; Arsène Muzerelle; Jacques Chailley,Classical,US
Bach - Orgelwerken,,Jeanne Demessieux,Classical,Netherlands
Violinsonaten D-dur Op. 12 Nr. 1 ∙ A-dur Op. 12 Nr. 2 / G-dur Op. 30 Nr. 3,1964.0,Ludwig Van Beethoven; Carl Seemann; Wolfgang Schneiderhan,Classical,Germany
У Моря / Щегленок,,Лидия Баклина,Classical,USSR
"XIV. Týden Nové Tvorby Českých Skladatelů 1970 (Wolf, Bláha, Hanousek)",2020.0,Various,Classical,Czech Republic
Muzikale Miniaturen . 5,1988.0,Various,Classical,Netherlands
"Týden Nové Tvorby 1983: Fantasia Per Organo / Juniores / Sonáta Č. 3 Pro Klavír, Op. 57",1983.0,Josef Matěj; Dalibor Cyril Vačkář; Viktor Kalabis,Classical,Czechoslovakia
Music In Latvia 2015,2015.0,Various,Classical,Latvia
Лунная Соната,1999.0,Ludwig van Beethoven,Classical,Russia
Firmamentum,,Harri Viitanen,Classical,Sweden
Dal Nuovo Mondo Sinfonia N.9 Op. 95,,Antonín Dvořák; Royal Philharmonic Orchestra; Jascha Horenstein,Classical,Italy
"Música Española para Fortepiano, s. XVIII",1993.0,Pablo Cano,Classical,Spain
A World Premiere Recording Of Concerto For Violin And Orchestra ‧ Concerto No. 3 For Violin And Orchestra,,Paul Hindemith; Wolfgang Amadeus Mozart; Joseph Fuchs; London Symphony Orchestra; Sir Eugene Goossens,Classical,US
"Orchestral Works, Vol. 5",2004.0,Frank Bridge; Roderick Williams (3); BBC National Orchestra Of Wales; Richard Hickox,Classical,UK
Famous Sacred Songs,1971.0,Kenneth McKellar,Classical,New Zealand
The Kingdom / Coronation Ode,1987.0,Sir Edward Elgar; Sir Adrian Boult; Philip Ledger,Classical,Europe
Symphony No.3 In E Flat Eroica ,1977.0,Ludwig van Beethoven; Wyn Morris; Symphonica Of London,Classical,US
"Haydn: Theresienmesse — M. Haydn: Ave Regina —Mozart: Ave Verum Corpus, K 618",1990.0,George Guest (2); Joseph Haydn; Michael Haydn; St. John's College Choir,Classical,US
Autorský Profil,1977.0,Zdenko Mikula,Classical,Czechoslovakia
"Concerto In Do Maggiore / Momenti Musicali, Op. 94",,Johann Sebastian Bach; Franz Schubert; Edwin Fischer; Ronald Smith (4); Denis Matthews,Classical,Italy
Orpheus In The Underworld And Other Offenbach Favourites,1971.0,Jacques Offenbach; Boston Pops Orchestra; Arthur Fiedler,Classical,UK
Nutcracker,1996.0,Dallas Brass,Classical,US
"Hipocondrie à 7, Ouverture à 7, Trio Sonata For Two Oboes & Bassoon",2007.0,Jan Dismas Zelenka,Classical,Germany
Tannhäuser: Ouvertüre - Lohengrin: 2 Vorspiele,1960.0,Richard Wagner; Orchestre Des Concerts Lamoureux; Igor Markevitch,Classical,Germany
Chopin Complete Edition: Sonatas • Variations • Bolero • Tarantella • Allegro De Concert,1999.0,Frédéric Chopin; Maurizio Pollini; Lilya Zilberstein; Anatol Ugorski; Vladimir Ashkenazy,Classical,Europe
Inspector Morse De Muziek Uit De Serie - The Magic Of Inspector Morse,2000.0,Barrington Pheloung,Classical,Netherlands
Orchestral Works,,Benjamin Britten,Classical,Europe
Violin Concertos Nos. 2 & 3,1985.0,Wolfgang Amadeus Mozart; Orchestra Da Camera Di Santa Cecilia; Uto Ughi,Classical,Europe
Camino Del Viento,2009.0,Yasuji Ohagi,Classical,Japan
Das Liebesverbot,,Richard Wagner,Classical,
"The 4 Sonatas, Op.16",1996.0,Johann Schobert; The Four Nations Ensemble,Classical,UK
Piano Concerto = Klavierkonzert • The Chamber Symphonies = Die Kammersymphonien,1996.0,Arnold Schoenberg; Alfred Brendel; Sinfonieorchester Des Südwestfunks; Michael Gielen,Classical,US
Baroque In Italy,,Jean-Claude Malgoire; Florilegium Musicum De Paris; I Solisti Veneti; Claudio Scimone,Classical,
Musica Sacra = Sacred Music,2000.0,Giorgio Federico Ghedini; Duo Alterno; Laura Antonaz; Paolo Servidei,Classical,Europe
Patrice Caire Aux Orgues de St Cyr Au Mont D’Or (Oeuvres De: Bach Daquin Widor Franck Vierne Guilmant),1980.0,Johann Sebastian Bach; Louis-Claude Daquin; Charles-Marie Widor; César Franck; Louis Vierne; Alexandre Guilmant; Patrice Caire,Classical,France
Il Meglio Di Michele,,Michele (6),Classical,Italy
The Legend (20 Greatest Tracks),2007.0,Luciano Pavarotti,Classical,Ireland
Idomeneo,2012.0,Wolfgang Amadeus Mozart,Classical,
"Ballades, Rondeaux And Virelais",1970.0,Various,Classical,US
Im Herzen Der Klassik 51 - Orchesterwerke,1997.0,Maurice Ravel,Classical,Germany
Schubert : Die Schöne Müllerin = シューベルト曲　歌曲集「美しき水車屋の娘」,1966.0,Dietrich Fischer-Dieskau; Gerald Moore,Classical,Japan
Live In Berlin,2015.0,Iancu Dumitrescu; Ana-Maria Avram,Classical,Romania
Prague Baroque,1972.0,Pro Arte Antiqua; Jiří Ignác Linek; Bohuslav Matěj Černohorský; František Ignác Tůma; Josef Mysliveček; Jan Zach; Jan Ignác František Vojta,Classical,Australia
The Joy Of Christmas,1999.0,Various,Classical,Europe
Играет Рольф Уусвяли,1978.0,Johann Sebastian Bach; Johann Ludwig Krebs; Felix Mendelssohn-Bartholdy; Olivier Messiaen; Rolf Uusväli,Classical,USSR
Nine Fantasias For Strings In Four Parts,,Henry Purcell; Walter Goehr; Streichensemble Winterthur,Classical,UK
The Rite Of Spring,2019.0,Igor Stravinsky; Igor Markevitch; Philharmonia Orchestra,Classical,US
"Cello Concerto In B Minor,  Op. 104 / Kol Nidrei, Op. 47",2018.0,Antonín Dvořák; Max Bruch; Gregor Piatigorsky; Eugene Ormandy; The Philadelphia Orchestra,Classical,
"Puccini Weekend - Famous Arias From - La Bohème, Tosca, Madame Butterfly",1987.0,Giacomo Puccini,Classical,US
V. Sinfonie E-moll Op. 64,,Pyotr Ilyich Tchaikovsky; Philharmonia Orchestra; Herbert von Karajan,Classical,Germany
"Two String Quartets In C Major, KV 465 ""Dissonance"" / In A Major, KV 464",1987.0,Wolfgang Amadeus Mozart; Smetana Quartet,Classical,Japan
Oboenkonzerte • Oboe Concertos • Concertos Pour Hautbois,1982.0,Georg Philipp Telemann; Han De Vries; Alma Musica Amsterdam,Classical,UK & Europe
Messiah,1974.0,Georg Friedrich Händel; The Ambrosian Singers; English Chamber Orchestra; Sir Charles Mackerras,Classical,UK
ABC,,ABC De La Chanson,Classical,Belgium
The Essential Performance,1995.0,Mario Lanza,Classical,UK
25th Anniversary Of His American Debut,2001.0,Vladimir Horowitz,Classical,Japan
Obeo Concertos By J.S. Bach; Cimarosa; Marcello. Music By J.S. Bach & Schumann,1967.0,Leon Goossens,Classical,UK
My Favorite Moments From Madame Butterfly,1994.0,Luciano Pavarotti,Classical,US
Chiaroscuro,2019.0,Schumann Quartett; Johann Sebastian Bach; Wolfgang Amadeus Mozart; Felix Mendelssohn-Bartholdy; Philip Glass; Dmitri Shostakovich; Anton Webern; Leoš Janáček; George Gershwin,Classical,Germany
Konzert Zum 80. Geburtstag Von Herrn Dr. Walter Witzenmann,1989.0,Claude Debussy; Antonín Dvořák; César Franck; Julius Berger; Städtisches Orchester Pforzheim,Classical,Germany
Stabat Mater,1995.0,Giovanni Battista Pergolesi; Domenico Scarlatti; Antonio Maria Bononcini; St. John's College Choir; George Guest (2); The Schütz Choir Of London; Roger Norrington,Classical,Europe
La Création Du Monde / Suite Provençale / Organ Concerto,1977.0,Darius Milhaud; Francis Poulenc; Charles Munch; Boston Symphony Orchestra; Berj Zamkochian,Classical,US
Novembre 2013 : Un Mois D'Émotions Musicales,2013.0,Various,Classical,France
Water Hollows Stone,2022.0,Alex Weiser; Hocket,Classical,US
Quatuor Pour La Fin Du Temps,2017.0,Olivier Messiaen; Martin Fröst; Lucas Debargue; Janine Jansen; Torleif Thedéen,Classical,Europe
Žebravý Student / Rose Marie,1968.0,Prague Smetana Theatre Orchestra,Classical,Czechoslovakia
Symphony No. 7,,Ludwig van Beethoven; London Symphony Orchestra; Josef Krips,Classical,UK
Lucia Di Lammermoor,1986.0,Gaetano Donizetti,Classical,
The Isle Of The Dead / Two Études-Tableaux (Orch. Respighi) / Pictures At An Exhibition (Orch. Ravel),2009.0,Evgeni Svetlanov; Sergei Vasilyevich Rachmaninoff; Modest Mussorgsky; BBC Symphony Orchestra,Classical,UK
"String Quartet In F, Op. 96 ""American"" / String Quartet In D",1968.0,Antonín Dvořák; Alexander Borodin; Quartetto Italiano,Classical,Netherlands
Capriccio Spagnolo Op. 34,1961.0,Nikolai Rimsky-Korsakov,Classical,Italy
Symphony No. 1,1977.0,Johannes Brahms; Seiji Ozawa; Boston Symphony Orchestra,Classical,UK
Concerti E Sinfonie,1978.0,Antonio Vivaldi; I Musici,Classical,Netherlands
The Master: Volume 6,2007.0,Joseph Haydn; Ludwig van Beethoven; Carl Maria von Weber; Sviatoslav Richter,Classical,Europe
"Klavierkonzert Nr. 1 E-moll, Op. 11",1973.0,Frédéric Chopin; Claudio Arrau; London Philharmonic Orchestra; Eliahu Inbal,Classical,Germany
"Rhapsodie Sur Un Thème De Paganini, Opus 43",1956.0,Sergei Vasilyevich Rachmaninoff,Classical,France
Conciertos De Brandeburgo Nº 3 Y Nº 4,1959.0,Johann Sebastian Bach,Classical,Spain
Vespers Of 1610 (Vespro Della Beata Vergine),1967.0,Claudio Monteverdi; Robert Craft; Gregg Smith Singers; Texas Boys' Choir; The Columbia Baroque Ensemble,Classical,UK
Petite Messe Solennelle,1992.0,Gioacchino Rossini; Parthenia Vocal,Classical,Germany
Streicherkonzerte Aus Barock Und Klassik - String Concertos From Baroque And Classicism,1994.0,Antonio Vivaldi; Georg Philipp Telemann; Johann Baptist Vanhal; Joseph Haydn,Classical,Germany
Vokalwerke (I),1994.0,Carl Philipp Emanuel Bach; Barbara Schlick; Hilke Helling; Wilfried Jochens; Gotthold Schwarz; Rheinische Kantorei; Das Kleine Konzert; Hermann Max,Classical,Germany
"Scotch Symphony / Scherzo From Octet In E Flat, Op. 20",,Felix Mendelssohn-Bartholdy; Charles Munch; Boston Symphony Orchestra,Classical,US
"Sinfonia N. 9 In Mi Minore, Op. 95 ""Dal Nuovo Mondo"" - Danze Slave, Op. 46",2001.0,Antonín Dvořák; George Szell,Classical,Italy
"Largo Al Factotum / Zaza, Piccola Zingara",1949.0,Robert Merrill; RCA Victor Symphony Orchestra; Jean Morel,Classical,Canada
Kegelstatt-Trio KV 498 / Märchenerzählungen Op. 132 / 4 Stücke Aus Op. 83,1988.0,Wolfgang Amadeus Mozart; Robert Schumann; Max Bruch; Sabine Meyer; Tabea Zimmermann; Hartmut Höll,Classical,Germany
Historische Aufnahmen,1958.0,Heinrich Schlusnus,Classical,Germany
Origin Of The Species Revisited,2020.0,The Wallace Collection,Classical,UK
Grand Canyon Suite,,Ferde Grofé; Stanley Black; London Festival Orchestra,Classical,France
Spanish Songs,1955.0,Nan Merriman; Gerald Moore; Manuel De Falla; Frederic Mompou; Joaquín Turina; Fernando Obradors; Xavier Montsalvatge,Classical,US
G'schichten Aus Dem Wienerwald,1958.0,Wiener Volksopernorchester; Karl Hofman,Classical,Germany
O Sole Mio,,Luciano Pavarotti,Classical,Poland
Symphony No 3 Sinfonia Espansiva • Helios • Song • Paraphrase ,2000.0,Carl Nielsen; Royal Liverpool Philharmonic Orchestra; Douglas Bostock,Classical,Denmark
String Quartets,2010.0,Helmut Lachenmann; Stadler Quartett,Classical,Germany
Clarinet Concerto ∙ Flute & Harp Concerto,1964.0,Wolfgang Amadeus Mozart; Alfred Prinz; Werner Tripp; Hubert Jelinek; Wiener Philharmoniker; Karl Münchinger,Classical,UK
Le Chant du Rossignol,1982.0,Igor Stravinsky; Quatuor intercontemporain; Chœur de Radio France; Orchestre National De France; Pierre Boulez,Classical,Japan
Rachmaninoff Piano Concerto No. 3 / Bartók Piano Concerto No. 2,1993.0,Sergei Vasilyevich Rachmaninoff; Béla Bartók; Alexis Weissenberg,Classical,Germany
The Moldau From Bohemia's Forests and Meadows,1955.0,Bedřich Smetana; Ferenc Fricsay; Berliner Philharmoniker,Classical,UK
The Marriage Of Figaro,1957.0,Wolfgang Amadeus Mozart; Wiener Philharmoniker,Classical,New Zealand
A Spanish Guitar,1961.0,John Williams (7),Classical,US
"La Mer, Khamma, Jeux",1991.0,Claude Debussy; Sinfonieorchester Des Südwestfunks; Ernest Bour,Classical,France
Solo,2024.0,Isabelle Faust,Classical,Japan
Water Music,1988.0,Georg Friedrich Händel; Chicago Chamber Orchestra; Dieter Kober,Classical,US
Nabucco,1978.0,Giuseppe Verdi; Riccardo Muti,Classical,Japan
Das Musicalisches Opfer = Musical Offering = L'Offerande Musicale,,Johann Sebastian Bach; Jean Guillou,Classical,Netherlands
La Fete Du Disque Classique,1996.0,Various,Classical,France
"London, 1968",2020.0,Doug Thomas (7),Classical,UK
Arias From Operas By Mozart,,Nicola Ghiuselev; Rouslan Raychev,Classical,Bulgaria
Kinderszenen Op. 15 / Album Für Die Jugend Op. 68,,Robert Schumann; Paul Badura-Skoda,Classical,Germany
Concerto N° 1 Pour Piano Et Orchestre,,Frédéric Chopin; Orchestre Symphonique de Lubeck; Ernst Wurstenberg; Wladimir Poliavsky,Classical,France
La Fille Aux Cheveux De Lin / Jota,1947.0,Jascha Heifetz; Emanuel Bay,Classical,US
The Planets (Gustav Holst (1874 - 1934)),2009.0,Gustav Holst; Hugh Banton,Classical,UK
Sonaten: Nr. 1 F-mol / Nr. 5 C-mol / Nr. 6 F-dur / Nr. 7 D-dur,,Ludwig van Beethoven; Wilhelm Backhaus,Classical,Germany
Unvergängliche Melodien,,London Festival Orchestra,Classical,Germany
"Symphony No. 9, D. 944 “Great”",1994.0,"Franz Schubert; Failoni Chamber Orchestra, Budapest; Michael Halász",Classical,Europe
"8 Lieder Aus ""Dichterliebe"" Op. 48",1959.0,Robert Schumann; Dietrich Fischer-Dieskau; Jörg Demus,Classical,Germany
"Symphonie N° 6  En Fa Majeur ""Pastorale""",1961.0,Ludwig van Beethoven; Pierre Monteux; Wiener Philharmoniker,Classical,France
The Goldberg Variations,1985.0,Johann Sebastian Bach; Glenn Gould,Classical,US
"Симфония № 4 Ми Бемоль Мажор, Соч. 48",1974.0,Alexander Glazunov; Большой Симфонический Оркестр Всесоюзного Радио; Nathan Rachlin,Classical,USSR
El Sueño De Una Noche De Verano ,,Boston Promenade Orchestra; Arthur Fiedler,Classical,Spain
Caprice Viennois,1917.0,Fritz Kreisler,Classical,US
Shacking Up To Chopin,2003.0,Various,Classical,USA & Canada
Bolero / La Valse / Concerto Para Mão Esquerda,1980.0,Maurice Ravel,Classical,Brazil
30° Festival Tibor Varga,1993.0,Tibor Varga,Classical,Switzerland
Lulu,1978.0,Alban Berg; Anja Silja; Wiener Philharmoniker; Christoph von Dohnányi,Classical,UK
The Masterpiece Collection - Dvořák,,Antonín Dvořák,Classical,US
The Passion According To St. Luke,1983.0,Pro Cantione Antiqua; Bruno Turner,Classical,US
"Eine Kleine Nachtmusik, Divertimento KV 287",1973.0,Wolfgang Amadeus Mozart; Berliner Philharmoniker; Herbert von Karajan,Classical,South Korea
Dinorah / Ave Maria,1910.0,Eugenie Bronskaja,Classical,UK
Piano Concertos - Nocturnes,2014.0,Benjamin Britten; Samuel Barber; Elizabeth Joy Roe,Classical,Europe
"Violin Concerto No. 1 / Concerto For Violin, Piano & Strings",1988.0,Niccolò Paganini; Felix Mendelssohn-Bartholdy; Jaap van Zweden; Ronald Brautigam; Kenneth Montgomery,Classical,Netherlands
"""Le Temple Du Gout""",2007.0,Rubato Appassionato,Classical,US
"Violin Concerto, Serenade Melancolique",,Pyotr Ilyich Tchaikovsky; Itzhak Perlman; Eugene Ormandy; The Philadelphia Orchestra,Classical,Europe
Sing Unto The Lord A New Song! (Choral Music For Today's Worship),,Alan Stout; Halsey Stevens; Normand Lockwood; Gordon Binkerd; Russell Woollen; Daniel Pinkham; Ellis Kohs; Jacob Avshalomov; The Mid-America Chorale; John Dexter (7),Classical,US
"Violoncello Solo Suites IV, V, VI",1998.0,Johann Sebastian Bach; Paolo Beschi,Classical,Germany
"Fantasia On A Theme By Thomas Tallis, Adagio For Strings, Irish Tune From County Derry, Gymnopedies Nos.1 And 3, Pavane",1984.0,Ralph Vaughan Williams; Samuel Barber; Percy Grainger; Erik Satie; Gabriel Fauré; Leonard Slatkin; Saint Louis Symphony Orchestra,Classical,"UK, Europe & US"
駿馬 Shunme,2000.0,Dai Kimura,Classical,Japan
Symphony No. 3 (Version 1889),2006.0,Anton Bruckner; Dennis Russell Davies; Bruckner Orchestra Linz,Classical,Europe
Sonata No. 27 - Symphonic Etudes,,Ludwig van Beethoven; Robert Schumann; Sviatoslav Richter,Classical,USSR
King Of The High C's,1993.0,Luciano Pavarotti,Classical,Germany
Cavalleria Rusticana / I Pagliacci (Highlights),1955.0,Pietro Mascagni; Ruggiero Leoncavallo; Jussi Björling; Victoria De Los Angeles; Robert Merrill; Zinka Milanov; Leonard Warren; The Robert Shaw Chorale; Robert Shaw; RCA Victor Symphony Orchestra; Renato Cellini,Classical,Canada
Organ Symphony,,Camille Saint-Saëns; Peter Hurford; Orchestre symphonique de Montréal; Charles Dutoit,Classical,Germany
Reiner Conducts Wagner,2014.0,Fritz Reiner; Richard Wagner; Chicago Symphony Orchestra,Classical,Europe
Silence,1998.0,Various,Classical,France
Noëls,,Chorale de la Cathédrale Saint-Louis de Versailles,Classical,France
"Coro, for 40 voices & 40 instruments",2009.0,Luciano Berio,Classical,Netherlands
Valses Viennoises,,Franck Pourcel Et Son Grand Orchestre; Mady Mesplé,Classical,Mozambique
"Ay-Ay-Ay, Tango Milonga",,Osman Perez Freire,Classical,
Chopin!,1975.0,Marian Migdal; Frédéric Chopin,Classical,Sweden
La Forza Del Destino - Highlights,,Giuseppe Verdi,Classical,UK
"Symphony No. 9 (""The Great"") In C Major",1958.0,Franz Schubert; NBC Symphony Orchestra; Arturo Toscanini,Classical,UK
2L - the MQA experience,2021.0,Various,Classical,Norway
Frauenliebe Und -Leben Op. 42 / Lieder,1985.0,Robert Schumann; Richard Strauss; Klára Takács; Jenö Jandó,Classical,Hungary
Die Emmerich Kalman Story,,Emmerich Kálmán; Vera Kálmán,Classical,Germany
English Suites Nos. 1 & 4 ; French Suites Nos. 1 to 6,2003.0,Johann Sebastian Bach; Tatiana Nikolayeva,Classical,UK
Tosca,,Giacomo Puccini; Maria Callas; Carlo Bergonzi; Tito Gobbi; Georges Prêtre,Classical,Japan
Ensemble Benedetto Marcello,,Ensemble Benedetto Marcello,Classical,Netherlands
Music For Sagittarius ,1983.0,Orchester James Last,Classical,US
Conferring With The Moon,1986.0,William Ackerman,Classical,UK
Hungarian Rhapsody No.2 In C Sharp Minor,1960.0,Philharmonia Orchestra; George Weldon,Classical,UK
La Bohème (Extraits = Excerpts = Auszüge),1988.0,Giacomo Puccini; Barbara Hendricks; José Carreras; Gino Quilico; Angela Maria Blasi; Chœur de Radio France; Maîtrise De Radio France; Orchestre National De France; James Conlon; Francesco Ellero D'Artegna; Richard Cowan; Federico Davià,Classical,France
The Singing Rooms / The Poem Of Ecstacy / PraiseMaker,2010.0,Jennifer Higdon; Alexander Scriabine; Alvin Singleton; Robert Spano; Jennifer Koh; Atlanta Symphony Orchestra; Atlanta Symphony Chorus,Classical,Europe
101 Strings In A Symphony For Lovers,1958.0,101 Strings,Classical,US
Sinfonia N.6 In Si Minore Op.74 Patetica,1994.0,Pyotr Ilyich Tchaikovsky,Classical,Italy
A. Scarlatti: 6 Sinfonias,1970.0,The Paris Instrumental Ensemble; Charles Ravier,Classical,UK
"Symphony In G Minor (G Moll), K.550",1946.0,NBC Symphony Orchestra; Arturo Toscanini,Classical,UK
String Quartets Vol. 1,2009.0,Joseph Haydn; Leipziger Streichquartett,Classical,Germany
Etüden,,Alexander Uninsky; Frédéric Chopin,Classical,Germany
Shura Cherkassky,1958.0,Shura Cherkassky,Classical,UK
Toy Symphony / Eine Kleine Nachtmusik / A Musical Joke,1956.0,Wolfgang Amadeus Mozart; Joseph Haydn; Rolf Reinhardt,Classical,UK
A Recital Of Bach And Handel Arias,1956.0,Kathleen Ferrier; London Philharmonic Orchestra,Classical,UK
Symphony No. 10 In E Minor (Op. 93),,Dmitri Shostakovich; Evgeni Svetlanov,Classical,Germany
War Requiem,1973.0,Benjamin Britten,Classical,New Zealand
Offenbach: Gaite Parisienne / Gounod: Faust = オッフェンバック：バレエ音楽「パリの喜び」,,Jacques Offenbach; Charles Gounod; Orchestre Symphonique De Montréal; Charles Dutoit,Classical,Japan
Sinfonia Melodica,2005.0,Georg Philipp Telemann; Berliner Barock Solisten; Rainer Kussmaul; Albrecht Mayer,Classical,Europe
"Brandenburgische Konzerte Nr. 1, 3, 6",,Johann Sebastian Bach; Moscow Chamber Orchestra; Rudolf Barshai,Classical,Germany
Symphony In D Minor /  Le Chasseur Maudit,1962.0,César Franck; Ernest Ansermet; L'Orchestre De La Suisse Romande,Classical,UK
"Symphony No. 1 In C Minor, Op. 68",1948.0,Johannes Brahms; Artur Rodzinski; Philharmonic-Symphony Orchestra Of New York,Classical,US
Die 13 Cembalokonzerte (The Harpsichord Concertos),1981.0,Johann Sebastian Bach; Trevor Pinnock; The English Concert,Classical,US
"Weihnachts-Oratorium, BMV 248",1988.0,Johann Sebastian Bach; Karl Richter,Classical,Germany
"Italian Concerto In F Major, BWV.971 / Overture In The French Style In B Minor, BWV.831 / English Suite No.2 In A Minor, BWV.807 = イタリア協奏曲ヘ長調BWV.971/フランス風序曲（パルティータ ロ短調）BWV.831/イギリス組曲第2",1992.0,Johann Sebastian Bach; Johann Sebastian Bach,Classical,Japan
Piano Music,1975.0,Arnold Schoenberg; Paul Jacobs (3),Classical,US
"Dvorak - Symphony No. 9 in E Minor, Op. 95 ""From the New World""",,Chamber Orchestra of the Vienna State Opera,Classical,UK
Les Mariés De La Tour Eiffel,1996.0,Ensemble Erwartung; Bernard Desgraupes; Darius Milhaud; Georges Auric; Arthur Honegger; Francis Poulenc; Germaine Tailleferre,Classical,Germany
Maîtres Italiens Du 18° Siècle,1958.0,Giuseppe Torelli; Francesco Durante; Benedetto Marcello; Tomaso Antonio Vitali; Antonio Vivaldi; Francesco Geminiani; Ricardo Odnoposoff; Heinz Wehrle; Leo Rostal; Benjamin Oren; Netherlands Chamber Orchestra; Maurits Van Den Berg,Classical,France
Bespeelt Het Transeptorgel van de Grote Of St. Laurenskerk Te Rotterdam,1968.0,Albert De Klerk,Classical,Netherlands
The Complete Masterpieces,2009.0,Felix Mendelssohn-Bartholdy,Classical,Europe
Plays Beatles Classic,1999.0,Royal Philharmonic Orchestra,Classical,
Execution Of Stepan Rasin - Symphony No. 9,,Dmitri Shostakovich; Moscow Philharmonic Orchestra; Kiril Kondrashin,Classical,UK
Bach. Àlbum per a Anna Magdalena. ,1996.0,Ludovica Mosca,Classical,Spain
Runo (Northern Lights),1993.0,Itä-Helsingin Musiikkiopiston Kuoro,Classical,Finland
Suites Portuguesas De Ruy Coelho,1960.0,Ruy Coelho,Classical,UK
Ofranda Muzicală (Musikalische Opfer / Musical Offering / Offrande Musicale),1980.0,Johann Sebastian Bach,Classical,Romania
Symphony No. 6 In D Major ● Carnival Overture,1968.0,Antonín Dvořák; István Kertész; London Symphony Orchestra,Classical,New Zealand
Eracle,,Georg Friedrich Händel,Classical,US
Klavierkonzerte A-Dur KV 488 Und C-Moll KV 491,1960.0,Wolfgang Amadeus Mozart; Wilhelm Kempff; Bamberger Symphoniker; Ferdinand Leitner,Classical,Germany
