Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Hong Kong,Angang Steel Company Limited,Basic Materials,,,,,,,347.0,Current,HU Cai Mei,Independent Non Executive Director,,2024-05-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Aowei Holding Limited,Basic Materials,,,,,,,1370.0,Current,CHEN Li Xian,Executive Director,,2024-11-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China BlueChemical Ltd.,Basic Materials,,,,,,,3983.0,Current,HE Qi Zhong,Non Executive Director,,2025-05-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Gold International Resources Corp. Ltd.,Basic Materials,,,,,,,2099.0,Current,FU Yuan Hui,Executive Director,,2022-10-27,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Hongqiao Group Limited,Basic Materials,,,,,,,1378.0,Current,DONG Xin Yi,Independent Non Executive Director - A/F,,2017-12-11,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Nonferrous Mining Corporation Limited,Basic Materials,,,,,,,1258.0,Current,CHEN Zhi Jiang,Non Executive Director,,2025-10-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Oriental Group Company Limited,Basic Materials,,,,,,,581.0,Current,HAN Jing Yuan,Executive Director,"Chairman, CEO",2003-11-13,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Chongqing Iron & Steel Company Limited,Basic Materials,,,,,,,1053.0,Current,GUO Jie Bin,Independent Non Executive Director - A/F,,2021-08-13,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,CMOC Group Limited,Basic Materials,,,,,,,3993.0,Current,CHENG Gordon,Independent Non Executive Director,,2024-06-07,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,CNNC International Limited,Basic Materials,,,,,,,2302.0,Current,CHAN Yee Hoi Robert,Independent Non Executive Director - A/F,,2020-03-09,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,CWT International Limited,Basic Materials,,,,,,,521.0,Current,LAM Kin Fung Jeffrey,Independent Non Executive Director,,2013-10-24,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Dragon Mining Limited,Basic Materials,,,,,,,1712.0,Current,DEW Arthur George,Non Executive Director,Chairman,2014-02-07,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,GANFENG LITHIUM GROUP COMPANY LIMITED,Basic Materials,,,,,,,1772.0,Current,HUANG Ting,Executive Director,,2025-04-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Global Bio-Chem Technology Group Company Limited,Basic Materials,,,,,,,809.0,Current,JIANG Fang Fang,Independent Non Executive Director - A/F,,2023-08-10,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Greenheart Group Limited,Basic Materials,,,,,,,94.0,Current,CHENG Chi Him,Non Executive Director,Chairman,2015-06-04,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Greentech Technology International Limited,Basic Materials,,,,,,,195.0,Current,CHONG Lee Hui,Executive Director,,2024-02-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hong Kong Shanghai Alliance Holdings Limited,Basic Materials,,,,,,,1001.0,Current,CHEUNG Marn Kay,Independent Non Executive Director,,2025-06-27,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hong Wei (Asia) Holdings Company Limited,Basic Materials,,,,,,,8191.0,Current,CHEUNG Wai Yin Wilson,Independent Non Executive Director - A/F,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hop Fung Group Holdings Limited,Basic Materials,,,,,,,2320.0,Current,CHAU Suk Ming,Independent Non Executive Director,,2019-01-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Infinity Development Holdings Company Limited,Basic Materials,,,,,,,640.0,Current,CHAN Wing Yau George,Independent Non Executive Director,,2010-03-26,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Integrated Waste Solutions Group Holdings Limited,Basic Materials,,,,,,,923.0,Current,CHAN Ting Bond Michael,Independent Non Executive Director - A/F,,2018-05-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,IRC Limited,Basic Materials,,,,,,,1029.0,Current,CHEREDNICHENKO Denis Vitalievich,Executive Director,CEO,2022-07-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Jiangxi Copper Company Limited,Basic Materials,,,,,,,358.0,Current,GAO Jian Min,Executive Director,,1997-01-18,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Jinchuan Group International Resources Co. Ltd,Basic Materials,,,,,,,2362.0,Current,CHENG Yong Hong,Executive Director,Chairman,2020-04-21,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Lee & Man Paper Manufacturing Limited,Basic Materials,,,,,,,2314.0,Current,CHAN Wai Yan Ronald,Independent Non Executive Director,,2023-08-02,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Lee Kee Holdings Limited,Basic Materials,,,,,,,637.0,Current,CHAN Ka Chun Patrick,Executive Director,,2017-10-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Lingbao Gold Group Company Ltd.,Basic Materials,,,,,,,3330.0,Current,BO Shao Chuan,Independent Non Executive Director,,2024-05-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Maanshan Iron & Steel Company Limited,Basic Materials,,,,,,,323.0,Current,GUAN Bing Chun,Independent Non Executive Director,,2022-12-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,New Times Corporation Limited,Basic Materials,,,,,,,166.0,Current,CHENG Kam Chiu Stewart,Executive Director,Chairman,2008-02-05,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Nine Dragons Paper (Holdings) Limited,Basic Materials,,,,,,,2689.0,Current,CAO Zhen Lei,Independent Non Executive Director,,2024-10-02,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Prosper One International Holdings Company Limited,Basic Materials,,,,,,,1470.0,Current,GAO Ji Zhong,Independent Non Executive Director,,2024-02-15,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,PT International Development Corporation Limited,Basic Materials,,,,,,,372.0,Current,CHING Man Chun Louis,Executive Director,"Chairman, Managing Director",2017-06-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Reliance Global Holdings Limited,Basic Materials,,,,,,,723.0,Current,FUNG Kim Shun,Independent Non Executive Director,,2024-12-23,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Sinopec Shanghai Petrochemical Company Limited,Basic Materials,,,,,,,338.0,Current,CHEN Hai Feng,Independent Non Executive Director,,2020-06-18,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Tiangong International Company Limited,Basic Materials,,,,,,,826.0,Current,JIANG Guang Qing,Executive Director,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Tianqi Lithium Corporation,Basic Materials,,,,,,,9696.0,Current,HA Chun Shing Frank,Executive Director,CEO,2021-02-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Xingye Alloy Materials Group Limited,Basic Materials,,,,,,,505.0,Current,CHAI Chao Ming,Independent Non Executive Director,,2009-05-11,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,"Xinjiang Xinxin Mining Industry Co., Ltd.",Basic Materials,,,,,,,3833.0,Current,CHEN Yin,Non Executive Director,Chairman,2025-08-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Zhaojin Mining Industry Company Limited,Basic Materials,,,,,,,1818.0,Current,CHEN Jin Rong,Independent Non Executive Director,,2007-04-16,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Zijin Gold International Company Limited,Basic Materials,,,,,,,2259.0,Current,CHAN Hon,Independent Non Executive Director,,2025-09-30,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,"Zijin Mining Group Co., Ltd.",Basic Materials,,,,,,,2899.0,Current,BO Shao Chuan,Independent Non Executive Director,,2020-12-29,,,,,,,,,,,,,,,,,,,,,,
London,KAZ MINERALS PLC,Basic Materials,2005-10-12 0:00,United Kingdom,Europe,MAIN MARKET,No,2976.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Rare Earth Magnesium Technology Group Holdings Limited,Basic Materials,,,,,,,601.0,Current,CHEUNG Sound Poon,Independent Non Executive Director - A/F,,2015-03-05,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,GT Gold Holdings Limited,Basic Materials,,,,,,,8299.0,Current,CHEUNG Wai Hung,Independent Non Executive Director - A/F,,2018-08-27,,,,,,,,,,,,,,,,,,,,,,
London,APPLIED GRAPHENE MATERIALS PLC,Basic Materials,2013-11-20 0:00,United Kingdom,Europe,AIM,No,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,VERSARIEN PLC,Basic Materials,2013-6-12 0:00,United Kingdom,Europe,AIM,No,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,SALT LAKE POTASH LIMITED,Basic Materials,2011-8-2 0:00,Australia,Pacific,AIM,Yes,166.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Modern Innovative Digital Technology Company Limited,Basic Materials,,,,,,,2322.0,Current,CAO Li,Executive Director,,2024-12-11,,,,,,,,,,,,,,,,,,,,,,
London,PJSC ACRON,Basic Materials,2008-8-12 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADM ENERGY PLC,Energy,2005-12-16 0:00,United Kingdom,Europe,AIM,No,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AFC ENERGY PLC,Energy,2007-4-24 0:00,United Kingdom,Europe,AIM,No,116.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ARGOS RESOURCES LIMITED,Energy,2010-7-29 0:00,Falkland Islands,Latin America,AIM,Yes,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,BARON OIL PLC,Energy,2004-7-14 0:00,United Kingdom,Europe,AIM,No,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,BISICHI PLC,Energy,1948-3-14 0:00,United Kingdom,Europe,MAIN MARKET,No,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,BP PLC,Energy,1954-3-29 0:00,United Kingdom,Europe,MAIN MARKET,No,39866.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CAIRN ENERGY PLC,Energy,1988-12-22 0:00,United Kingdom,Europe,MAIN MARKET,No,819.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CERES POWER HOLDINGS PLC,Energy,2004-11-25 0:00,United Kingdom,Europe,AIM,No,1203.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CHINA PETROLEUM & CHEMICAL CORPORATION,Energy,2000-10-18 0:00,China,Asia,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,EMPYREAN ENERGY PLC,Energy,2005-7-27 0:00,United Kingdom,Europe,AIM,No,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ENDEAVOUR INTERNATIONAL CORPORATION,Energy,2007-12-17 0:00,United States,North America,MAIN MARKET,Yes,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ENERGEAN PLC,Energy,2018-3-16 0:00,United Kingdom,Europe,MAIN MARKET,No,919.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ENQUEST PLC,Energy,2010-4-6 0:00,United Kingdom,Europe,MAIN MARKET,No,160.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,EQTEC PLC,Energy,2008-10-20 0:00,Ireland,Europe,AIM,Yes,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,EXILLON ENERGY PLC,Energy,2009-12-17 0:00,Isle of Man,Europe,MAIN MARKET,No,66.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GCM RESOURCES PLC,Energy,2004-4-19 0:00,United Kingdom,Europe,AIM,No,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GENEL ENERGY PLC,Energy,2011-6-22 0:00,Jersey,Europe,MAIN MARKET,No,311.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GLOBAL PETROLEUM LIMITED,Energy,2005-3-7 0:00,Australia,Pacific,AIM,Yes,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GULF KEYSTONE PETROLEUM LTD,Energy,2004-9-8 0:00,Bermuda,North America,MAIN MARKET,Yes,147.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GULF MARINE SERVICES PLC,Energy,2014-3-19 0:00,United Kingdom,Europe,MAIN MARKET,No,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,HUNTING PLC,Energy,1985-6-28 0:00,United Kingdom,Europe,MAIN MARKET,No,230.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,HWANGE COLLIERY COMPANY LIMITED,Energy,1950-4-27 0:00,Zimbabwe,Africa,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,IGAS ENERGY PLC,Energy,2007-12-31 0:00,United Kingdom,Europe,AIM,No,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,INDEPENDENT OIL & GAS PLC,Energy,2013-9-30 0:00,United Kingdom,Europe,AIM,No,58.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,INDUS GAS LIMITED,Energy,2008-6-6 0:00,Guernsey,Europe,AIM,No,363.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,IOFINA PLC,Energy,2008-5-9 0:00,United Kingdom,Europe,AIM,No,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ITM POWER PLC,Energy,2004-6-11 0:00,United Kingdom,Europe,AIM,No,1102.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,JKX OIL & GAS PLC,Energy,1995-7-18 0:00,United Kingdom,Europe,MAIN MARKET,No,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,LAMPRELL PLC,Energy,2008-11-6 0:00,Isle of Man,Europe,MAIN MARKET,No,102.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,LEKOIL LIMITED,Energy,2013-5-17 0:00,Cayman Islands,North America,AIM,Yes,10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,OIL AND GAS DEVELOPMENT COMPANY LIMITED,Energy,2006-12-6 0:00,Pakistan,Asia,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ORACLE POWER PLC,Energy,2011-4-20 0:00,United Kingdom,Europe,AIM,No,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PJSC GAZPROM,Energy,1996-10-28 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PJSC LUKOIL,Energy,1997-5-7 0:00,Russian Federation,Europe,MAIN MARKET,Yes,26792.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PJSC TATNEFT,Energy,1996-12-13 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PREMIER OIL PLC,Energy,1973-2-20 0:00,United Kingdom,Europe,MAIN MARKET,No,104.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PROTON MOTOR POWER SYSTEMS PLC,Energy,2006-10-31 0:00,United Kingdom,Europe,AIM,No,369.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PROVIDENCE RESOURCES PLC,Energy,2005-6-24 0:00,Ireland,Europe,AIM,Yes,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,RELIANCE INDUSTRIES LIMITED,Energy,2004-9-27 0:00,India,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ROCKHOPPER EXPLORATION PLC,Energy,2005-8-15 0:00,United Kingdom,Europe,AIM,No,25.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ROSNEFT OIL COMPANY,Energy,2006-7-19 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ROYAL DUTCH SHELL PLC,Energy,2005-7-20 0:00,United Kingdom,Europe,MAIN MARKET,No,74023.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,SAN LEON ENERGY PLC,Energy,2016-9-21 0:00,Ireland,Europe,AIM,Yes,107.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,SAVANNAH ENERGY PLC,Energy,2014-8-1 0:00,United Kingdom,Europe,AIM,No,78.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,STAR PHOENIX GROUP LTD,Energy,2007-10-23 0:00,Australia,Pacific,AIM,Yes,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,STERLING ENERGY PLC,Energy,2002-10-21 0:00,United Kingdom,Europe,AIM,No,26.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,TOTAL SE,Energy,1973-9-26 0:00,France,Europe,MAIN MARKET,Yes,61397.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,TULLOW OIL PLC,Energy,2000-12-18 0:00,United Kingdom,Europe,MAIN MARKET,No,283.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,UK OIL & GAS PLC,Energy,2005-3-2 0:00,United Kingdom,Europe,AIM,No,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,UNITED OIL & GAS PLC,Energy,2015-11-10 0:00,United Kingdom,Europe,AIM,No,14.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,"VAALCO ENERGY, INC.",Energy,2019-9-26 0:00,United States,North America,MAIN MARKET,Yes,48.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,VICTORIA OIL & GAS PLC,Energy,2004-7-27 0:00,United Kingdom,Europe,AIM,No,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,WENTWORTH RESOURCES PLC,Energy,2018-11-2 0:00,Jersey,Europe,AIM,No,32.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,WOOD GROUP (JOHN) PLC,Energy,2002-6-5 0:00,United Kingdom,Europe,MAIN MARKET,No,1452.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Ares Asia Limited,Energy,,,,,,,645.0,Current,LAI Yi Chun,Executive Director,"Chairman, CEO",2018-11-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Century Energy International Holdings Limited,Energy,,,,,,,8132.0,Current,CHEONG Siu Fai,Independent Non Executive Director - A/F,,2025-06-04,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Coal Energy Company Limited,Energy,,,,,,,1898.0,Current,JING Feng Ru,Independent Non Executive Director,,2023-03-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Energy Development Holdings Limited,Energy,,,,,,,228.0,Current,CHEN Jian Xin,Non Executive Director,,2024-07-19,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Gas Industry Investment Holdings Co. Ltd.,Energy,,,,,,,1940.0,Current,LI Chun Elsy,Independent Non Executive Director,,2020-06-17,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Petroleum & Chemical Corporation,Energy,,,,,,,386.0,Current,CAI Yong,Non Executive Director,,2025-08-21,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Shenhua Energy Company Limited,Energy,,,,,,,1088.0,Current,CHEN Han Wen,Independent Non Executive Director,,2020-05-29,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,CITIC Resources Holdings Limited,Energy,,,,,,,1205.0,Current,CAI Jin,Independent Non Executive Director,,2024-12-19,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,CNOOC Limited,Energy,,,,,,,883.0,Current,CHAN Chak Ming,Independent Non Executive Director,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Energy International Investments Holdings Limited,Energy,,,,,,,353.0,Current,CAO Sheng,Executive Director,Chairman,2018-03-15,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Green Leader Holdings Group Limited,Energy,,,,,,,61.0,Current,AN Juan,Executive Director,,2024-06-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hidili Industry International Development Limited,Energy,,,,,,,1393.0,Current,CHAN Shiu Yuen Sammy,Independent Non Executive Director - A/F,,2019-05-31,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Kinetic Development Group Limited,Energy,,,,,,,1277.0,Current,CHEN Liang Nuan,Independent Non Executive Director,,2022-05-30,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Nan Nan Resources Enterprise Limited,Energy,,,,,,,1229.0,Current,CHAN Yiu Fai Youdey,Independent Non Executive Director,,2008-03-25,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,PetroChina Company Limited,Energy,,,,,,,857.0,Current,DAI Hou Liang,Executive Director,Chairman,2020-03-25,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,SouthGobi Resources Ltd.,Energy,,,,,,,1878.0,Current,CHOI Fan Keung Vic,Independent Non Executive Director,,2024-06-27,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Yanchang Petroleum International Limited,Energy,,,,,,,346.0,Current,DING Jia Sheng,Executive Director,,2021-04-01,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Yankuang Energy Group Company Limited,Energy,,,,,,,1171.0,Current,GAO Jing Xian,Independent Non Executive Director,,2025-05-30,,,,,,,,,,,,,,,,,,,,,,
London,SDX ENERGY PLC,Energy,2019-5-28 0:00,United Kingdom,Europe,AIM,No,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CORO ENERGY PLC,Energy,2017-2-24 0:00,United Kingdom,Europe,AIM,No,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Honghua Group Limited,Energy,,,,,,,196.0,Current,LI Yue Dong,Independent Non Executive Director,,2024-06-28,,,,,,,,,,,,,,,,,,,,,,
London,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A.",Energy,2013-11-12 0:00,Romania,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,SERINUS ENERGY PLC,Energy,2018-5-18 0:00,Jersey,Europe,AIM,No,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GETECH GROUP PLC,Energy,2005-9-23 0:00,United Kingdom,Europe,AIM,No,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PLEXUS HOLDINGS PLC,Energy,2005-12-9 0:00,United Kingdom,Europe,AIM,No,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Strong Petrochemical Holdings Limited,Energy,,,,,,,852.0,Current,CAO Xin Zhong,Executive Director,,2025-01-25,,,,,,,,,,,,,,,,,,,,,,
London,PROSPEX ENERGY PLC,Energy,2002-4-30 0:00,United Kingdom,Europe,AIM,No,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,THALASSA HOLDINGS LIMITED,Energy,2008-7-29 0:00,British Virgin Islands,North America,MAIN MARKET,Yes,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,E-Commodities Holdings Limited,Energy,,,,,,,1733.0,Current,CAO Xin Yi,Executive Director,"Chairman, CEO",2015-10-28,,,,,,,,,,,,,,,,,,,,,,
London,BORDERS & SOUTHERN PETROLEUM PLC,Energy,2005-5-24 0:00,United Kingdom,Europe,AIM,No,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,HYDRODEC GROUP PLC,Energy,2004-12-21 0:00,United Kingdom,Europe,AIM,No,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ATTIS OIL AND GAS LTD,Energy,2013-1-14 0:00,British Virgin Islands,North America,AIM,Yes,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CURZON ENERGY PLC,Energy,2017-10-4 0:00,United Kingdom,Europe,MAIN MARKET,No,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PENNPETRO ENERGY PLC,Energy,2017-12-21 0:00,United Kingdom,Europe,MAIN MARKET,No,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,China Qinfa Group Limited,Energy,,,,,,,866.0,Current,BAI Tao,Executive Director,CEO,2014-10-09,,,,,,,,,,,,,,,,,,,,,,
London,PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,Energy,2006-6-12 0:00,Russian Federation,Europe,ADMISSION TO TRADING ONLY,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,PARKMEAD GROUP (THE) PLC,Energy,2000-3-13 0:00,United Kingdom,Europe,AIM,No,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,RUICHANG INTERNATIONAL HOLDINGS LIMITED,Energy,,,,,,,1334.0,Current,BAI Wei,Executive Director,,2023-03-15,,,,,,,,,,,,,,,,,,,,,,
London,G3 EXPLORATION LIMITED,Energy,2006-8-17 0:00,Cayman Islands,North America,MAIN MARKET,Yes,43.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,MIE HOLDINGS CORPORATION,Energy,,,,,,,1555.0,Current,AI Min,Independent Non Executive Director,,2021-08-31,,,,,,,,,,,,,,,,,,,,,,
London,ENWELL ENERGY PLC,Energy,2002-9-27 0:00,United Kingdom,Europe,AIM,No,56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Mongolia Energy Corporation Limited,Energy,,,,,,,276.0,Current,LAU Wai Piu,Independent Non Executive Director - A/F,,2004-09-28,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Petro-king Oilfield Services Limited,Energy,,,,,,,2178.0,Current,LEUNG Lin Cheong,Independent Non Executive Director,,2017-06-02,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Vico International Holdings Limited,Energy,,,,,,,1621.0,Current,CHAN Ching Sum,Independent Non Executive Director,,2019-04-12,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,"CM Energy Tech Co., Ltd.",Energy,,,,,,,206.0,Current,LIU Jian Cheng,Non Executive Director,,2021-09-23,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,TL Natural Gas Holdings Limited,Energy,,,,,,,8536.0,Current,LIU Yong Cheng,Executive Director,,2017-03-24,,,,,,,,,,,,,,,,,,,,,,
London,MOSMAN OIL AND GAS LIMITED,Energy,2014-3-20 0:00,Australia,Pacific,AIM,Yes,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,GAIL (INDIA) LD,Energy,1999-11-15 0:00,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ECHO ENERGY PLC,Energy,2005-12-12 0:00,United Kingdom,Europe,AIM,No,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,CANADIAN OVERSEAS PETROLEUM LIMITED,Energy,2014-4-4 0:00,Canada,North America,MAIN MARKET,Yes,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,POWERHOUSE ENERGY GROUP PLC,Energy,2002-6-12 0:00,United Kingdom,Europe,AIM,No,91.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,BLOCK ENERGY PLC,Energy,2018-6-11 0:00,United Kingdom,Europe,AIM,No,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
