Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Hong Kong,SenseTime Group Inc.,Technology,,,,,,,20.0,Current,CHIU Duncan,Independent Non Executive Director,,2025-05-30,,SenseTime,https://en.wikipedia.org/wiki/SenseTime,"Computer vision, deep learning, face recognition, object detection, autonomous driving, smart cities, mobile apps, fintech, education",Public; partly state-owned,October 2014; 11 years ago (October 2014),Tang Xiao'ou Xu Li,"Science Park, Hong Kong",Artificial intelligence,,,"3,000 (2019)",,,China Internet Investment Fund,,,,,,SEHK: 20,www.sensetime.com
Hong Kong,SHENZHEN DOBOT CORP LTD,Technology,,,,,,,2432.0,Current,HOU Ling Ling,Independent Non Executive Director,,2022-12-01,,Shandong Ruyi,https://en.wikipedia.org/wiki/Shandong_Ruyi,,,1972 in China,,"Jining, China",Textiles and clothing,Yafu Qiu (chair),,,,,"Jining Ruyi Investment Co., Ltd.",,,,,,SZSE: 002193,chinaruyi.com
Hong Kong,SiS International Holdings Limited,Technology,,,,,,,529.0,Current,CHU Chung Yi,Independent Non Executive Director - A/F,,2024-10-01,,SenseTime,https://en.wikipedia.org/wiki/SenseTime,"Computer vision, deep learning, face recognition, object detection, autonomous driving, smart cities, mobile apps, fintech, education",Public; partly state-owned,October 2014; 11 years ago (October 2014),Tang Xiao'ou Xu Li,"Science Park, Hong Kong",Artificial intelligence,,,"3,000 (2019)",,,China Internet Investment Fund,,,,,,SEHK: 20,www.sensetime.com
Hong Kong,SiS Mobile Holdings Limited,Technology,,,,,,,1362.0,Current,CHENG Tak Chung,Independent Non Executive Director,,2022-12-31,,Infinix Mobile,https://en.wikipedia.org/wiki/Infinix_Mobile,"Africa (except Eritrea, Namibia and South Africa)Southeast AsiaSouth AsiaIranFrancePolandCzech RepublicRomania",Subsidiary,April 2013; 12 years ago (2013-04),Transsion,"New Territories, Hong Kong(registered office) Shenzhen, China (Operational headquarters)",Mobile phones,Benjamin Jiang (founder & CEO),,,,,Transsion Holdings,SmartphonesTablet computersEarphonesPowerbanksPhone casesBagsSmart TVsSmartwatchesLaptops,,,,,,infinixmobility.com
Hong Kong,Telecom Digital Holdings Limited,Technology,,,,,,,6033.0,Current,CHEUNG King Chuen Bobby,Executive Director,,2015-09-08,,Vaalco Energy,https://en.wikipedia.org/wiki/Vaalco_Energy,,Public company,1985; 40 years ago (1985),,"Houston, Texas, United States",Petroleum industry,"George W.M. Maxwell, CEOAndrew L. Fawthrop, ChairmanRon Bain, CFO",$81 million (2021),"117, including 80 in Gabon (2021)",,,,Petroleum,$199 million (2021),,$263 million (2021),$144 million (2021),NYSE: EGYRussell Microcap Index component,www.vaalco.com
Hong Kong,Tencent Holdings Limited,Technology,,,,,,,700.0,Current,BEKKER Jacobus Petrus,Non Executive Director,,2012-11-14,,Tencent,https://en.wikipedia.org/wiki/Tencent,,Public,7 November 1998; 27 years ago (1998-11-07),Pony MaTony ZhangXu ChenyeCharles ChenZeng Liqing,"Tencent Binhai Mansion, Nanshan District, Shenzhen, Guangdong, China",Technology,"Pony Ma (chairman, CEO)Martin Lau (executive director, president)",CN¥196.467 billion (US$27.31 billion) (2024),"105,417 (2023)",CN¥208.099 billion (US$28.91 billion) (2024),,,Artificial intelligencecloud computingautomationsearch enginesocial networkinginstant messagingmass mediaweb portalse-commerceweb browserantivirus softwaremusicpayment systemfilm productionvideo gamesonline services,CN¥660.257 billion (US$91.78 billion) (2024),iflixUniversal Music Group (20%)List of §Video games companies subsidiaries,CN¥1.781 trillion (US$247.51 billion) (2024),CN¥1.053 trillion (US$146.33 billion) (2024),SEHK: 700Hang Seng Index component,tencent.com
Hong Kong,TI Cloud Inc.,Technology,,,,,,,2167.0,Current,LI Peng Tao,Independent Non Executive Director,,2022-06-30,,Sunac,https://en.wikipedia.org/wiki/Sunac,China,public,2003,Sun Hongbin,,Real estate,Sun Hongbin (Chairman),,"24,105",,,,,,,,,SEHK: 1918,sunac.com.cn
Hong Kong,Tuya Inc.,Technology,,,,,,,2391.0,Current,CHEN Liao Han,Executive Director,Chairman,2014-08-01,,SThree,https://en.wikipedia.org/wiki/SThree,,Public,1986,,"London, UK",Recruitment,"Timo Lehne, CEOAndrew Beach, CFO",£49.7 million (2024),,£66.2 million (2024),,,,"£1,492.9 million (2024)",,,,LSE: STEM,www.sthree.com
Hong Kong,UBTECH ROBOTICS CORP LTD,Technology,,,,,,,9880.0,Current,DENG Feng,Executive Director,,2025-06-27,,Horizon Robotics,https://en.wikipedia.org/wiki/Horizon_Robotics,,Public,21 July 2015; 10 years ago (2015-07-21),Yu KaiHuang ChangTao Feiwen,"Beijing, China",Artificial intelligence Semiconductors,Yu Kai (CEO),CN¥2.35 billion (2024),"2,078 (2024)",,,,,CN¥2.38 billion (2024),,CN¥20.38 billion (2024),CN¥11.91 billion (2024),SEHK: 9660,horizon.cc
Hong Kong,VTech Holdings Limited,Technology,,,,,,,303.0,Current,FUNG Kwok Lun William,Independent Non Executive Director,,2001-11-28,,VTech,https://en.wikipedia.org/wiki/VTech,Worldwide,Public,October 1976; 49 years ago (1976-10) (as Video Technology Limited),Allan Wong (Chi-Yun) Stephen Leung,"Tai Ping Industrial Centre Block 1, 23rd Floor; 57 Ting Kok Tai Po N.t. Rd., 23/f, Tai Po, Hong Kong",Electronics industry,,US$203.3 million (FY2014),"Around 30,000",,,,Residential phonesEducational toysElectronic manufacturing servicesSmall-medium sized business phonesHotel phonesCordless headsetsIntegrated access devicesBaby monitors,"US$1,898.9 million (FY2014)",Advanced American TelephonesLeapFrogSnomGigaset Communications,,,SEHK: 0303,www.vtech.com
Hong Kong,Wuxi Life International Holdings Group Limited,Technology,,,,,,,8148.0,Current,CHOI Pun Lap,Executive Director,,2021-06-01,,Xinyi Glass,https://en.wikipedia.org/wiki/Xinyi_Glass,China,Public company,1988,,Hong Kong,Glass manufacturing and sales,Chairman: Lee Yin Yee (李賢義) Vice Chairman: Tung Ching Bor CEO: Tan Sri Datuk TUNG Ching Sai,,"14,059",,,,,,,,,SEHK: 868Hang Seng Index component,www.xinyiglass.com
Hong Kong,Xiaomi Corporation,Technology,,,,,,,1810.0,Current,CAI Jin Qing,Independent Non Executive Director,,2024-01-08,,Xiaomi,https://en.wikipedia.org/wiki/Xiaomi,Worldwide,Public company,6 April 2010; 15 years ago (2010-04-06),Lei Jun Lin Bin Zhou Guangping Liu De Li Wanqiang Wong Kong-Kat Hong Feng Wang Chuan,"Beijing, China",Consumer electronics Computer hardware Automotive Crowdfunding E-commerce,"Lei Jun (founder, chairman & CEO) Lin Bin (co-founder & vice-chairman) Lu Weibing (partner & president) Liu De (co-founder, executive director & senior vice president)",CN¥23.578 billion US$3.284 billion (2024),"33,627 (31 December 2023)",CN¥24.503 billion US$3.413 billion (2024),,,Mobile phones Personal computers IoT Electric vehicles,CN¥365.906 billion US$50.971 billion (2024),Black Shark Xiaomi Auto Zhigu Corporation ZMI Youpin (有品),CN¥324.25 billion US$44.27 billion (2023),CN¥164.26 billion US$22.42 billion (2023),SEHK: 1810Hang Seng Index component,mi.com
Hong Kong,Zengame Technology Holding Limited,Technology,,,,,,,2660.0,Current,JIN Shuhui,Independent Non Executive Director - A/F,,2019-03-28,,Zengame Technology,https://en.wikipedia.org/wiki/Zengame_Technology,,Public,July 2010,,,,"Ye Sheng (chairman, CEO)",¥221 million (2020),,,,,,¥742 million (2020),,,,SEHK: 2660,zen-game.com
Hong Kong,ZTE Corporation,Technology,,,,,,,763.0,Current,FANG Rong,Non Executive Director,Chairman,2018-06-29,,ZTE,https://en.wikipedia.org/wiki/ZTE,Worldwide,Public; state-owned enterprise,"1985; 40 years ago (1985) (as Zhongxing Semiconductor Co., Ltd.)",Hou Weigui,"55 Hi-tech Road SouthShenzhen, Guangdong, China518057",Telecommunications equipment Networking equipment,Ms. Fang Rong (Chairman and Executive Director) Mr. Xu Ziyang (Executive Director and CEO),CN¥8.08 billion (2022),"74,811 (2022)",CN¥6.16 billion (2022),Zhongxingxin (20.29% in 2022); China Aerospace Science and Industry Corporation,,"Mobile phones, smartphones, tablet computers, hardware, software, all series of wireless, wireline, services, devices and professional telecommunications services and services to telecommunications service providers and enterprises",CN¥122.95 billion / US $17.68 billion (2022),Nubia Technology (49.9%) ZTEsoft Zonergy,CN¥180.95 billion (2022),CN¥58.64 billion (2022),SZSE: 000063SEHK: 763CSI A50,www.zte.com.cn
London,BANGO PLC,Technology,2005-6-30 0:00,United Kingdom,Europe,AIM,No,113.13,,,,,,,,IQE,https://en.wikipedia.org/wiki/IQE,Global,Public,"1988; 37 years ago (1988) in Cardiff, Wales, UK",Drew NelsonMichael Scott,"Cardiff , United Kingdom",Semiconductors,Jutta Meier (CEO and CFO),£−74.5 million (2021),685 (end 2021),£−72.9 million (2021),,,Epitaxial wafers,£167.5 million (2021),,£296.1 million (2021),£175.1 million (2021),AIM: IQE,iqep.com
Hong Kong,Technovator International Limited,Technology,,,,,,,1206.0,Current,CHIA Yew Boon,Independent Non Executive Director,,2011-09-08,,Computacenter,https://en.wikipedia.org/wiki/Computacenter,,Public,1981,Philip HulmePeter Ogden,"Hatfield, UK",Information technologyConsultingOutsourcing,Peter Ryan (Chairman)Mike Norris (Chief Executive),£171.9 million (2024),"20,000 (2025)",£237.9 million (2024),,,,"£6,964.8 million (2024)",,,,LSE: CCCFTSE 250 component,www.computacenter.com
Hong Kong,EFT Solutions Holdings Limited,Technology,,,,,,,8062.0,Current,CHENG Wai Sin,Independent Non Executive Director - A/F,,2025-05-16,,Blue Planet Software,https://en.wikipedia.org/wiki/Blue_Planet_Software,Worldwide,,"Bullet-Proof Software Inc. August 10, 1983; 42 years ago (1983-08-10) in Kōhoku-ku, Kanagawa, Japan Blue Planet Software Inc. 1996; 29 years ago (1996)Honolulu, Hawaii, United States",Henk Rogers,,Video games,Henk RogersMaya Rogers,,,,,,Video games,,,,,,
Hong Kong,Nanfang Communication Holdings Limited,Technology,,,,,,,1617.0,Current,CHAN Kai Wing,Independent Non Executive Director,,2016-11-24,,Xinyi Glass,https://en.wikipedia.org/wiki/Xinyi_Glass,China,Public company,1988,,Hong Kong,Glass manufacturing and sales,Chairman: Lee Yin Yee (李賢義) Vice Chairman: Tung Ching Bor CEO: Tan Sri Datuk TUNG Ching Sai,,"14,059",,,,,,,,,SEHK: 868Hang Seng Index component,www.xinyiglass.com
Hong Kong,Qingci Games Inc.,Technology,,,,,,,6633.0,Current,FANG Wei Jin,Independent Non Executive Director,,2021-06-19,,Tatung Company,https://en.wikipedia.org/wiki/Tatung_Company,,Public (TWSE: 2371) since 1962-02-09,1918; 107 years ago (1918),,"Zhongshan, Taipei, Taiwan",Computer hardwareElectronicsHome appliances,,,,,,,"Personal computers, LCD TVs, home appliances, and others",NT$ 43.072 Billion (2007)(US$ 1.351 Billion),,,,,www.tatung.com
Hong Kong,Linklogis Inc.,Technology,,,,,,,9959.0,Current,CHAU Ka King,Executive Director,,2018-03-13,,EQTEC,https://en.wikipedia.org/wiki/EQTEC,,Public,"Cork, Ireland (2005)",,"Cork, Ireland",Energy,David Palumbo CEO,,,,,,,,,,,AIM: EQT,
Hong Kong,360 Ludashi Holdings Limited,Technology,,,,,,,3601.0,Current,HU Qin,Independent Non Executive Director - A/F,,2025-06-27,,Blue Prism,https://en.wikipedia.org/wiki/Blue_Prism,,Subsidiary,26 July 2001; 24 years ago (2001-07-26),David MossAlastair Bathgate,"Warrington, UK",Software,,,"1,005 (2020)",,,SS&C Technologies,RPA toolsAutomation tools,£141.4 million (2020),,,,,www.blueprism.com
London,REDCENTRIC PLC,Technology,2013-12-6 0:00,United Kingdom,Europe,AIM,No,200.69,,,,,,,,Blue Prism,https://en.wikipedia.org/wiki/Blue_Prism,,Subsidiary,26 July 2001; 24 years ago (2001-07-26),David MossAlastair Bathgate,"Warrington, UK",Software,,,"1,005 (2020)",,,SS&C Technologies,RPA toolsAutomation tools,£141.4 million (2020),,,,,www.blueprism.com
Hong Kong,"Baiwang Co., Ltd.",Technology,,,,,,,6657.0,Current,CHEN Jie,Executive Director,"Chairman, CEO",2015-05-04,,Changhong,https://en.wikipedia.org/wiki/Changhong,Worldwide,Public,October 1958; 67 years ago (1958-10),,"Mianyang, China",Electronics,"Zhao Yong 赵勇, President, Wang Fengzhao 王凤朝, Vice Chairman, G.M., Liu Tibing 刘体斌, Vice Chairman, Deputy G.M., Tan Mingxian 谭明献, Secretary, Board of Directors, Deputy G.M.",,"32,000 (May 20, 2011)",,,,,,,,"12,741,313,930.51 RMB",SSE: 600839,cn.changhong.comchiq.com
London,ESSENSYS PLC,Technology,2019-5-29 0:00,United Kingdom,Europe,AIM,No,69.88,,,,,,,,Delix Therapeutics,https://en.wikipedia.org/wiki/Delix_Therapeutics,,Private,2019,,"Boston, Massachusetts",PharmaceuticalBiotechnology,Mark Rus (Chief Executive Officer),,,,,,,,,,,,delixtherapeutics.com
Hong Kong,Dmall Inc.,Technology,,,,,,,2586.0,Current,CAI Lin,Independent Non Executive Director,,2024-12-06,,CALB,https://en.wikipedia.org/wiki/CALB,,,,,"Changzhou, China",Lithium-ion batteries,Liu Jingyu (CEO),,,,,,,,,,,HKG: 3931,en.calb-tech.com
Hong Kong,"Minieye Technology Co., Ltd",Technology,,,,,,,2431.0,Current,BI Lei,Non Executive Director,,2024-05-13,,PAX Technology,https://en.wikipedia.org/wiki/PAX_Technology,,Public,2000; 25 years ago (2000),,"Shenzhen, Guangdong, China",Financial services,Nie Guoming (Chairman) & (CEO),,1800 (2018),,,,"Point of sale, Payment terminals, PIN pads",US$563M,,,,SEHK: 327,www.pax.com.cn
Hong Kong,Edvance International Holdings Limited,Technology,,,,,,,1410.0,Current,CHAN Siu Ming Simon,Independent Non Executive Director,,2017-03-23,,Informa,https://en.wikipedia.org/wiki/Informa,43+ countries worldwide,Public,December 1998; 27 years ago (December 1998),,"London, England, UK","Publishing, business intelligence, global exhibitions, events","John Rishton (chair)Stephen Carter, Baron Carter of Barnes (CEO)",£366.4 million (2024),"14,000 (2025)",£995.0 million (2024),,,,"£3,553.1 million (2024)",,,,LSE: INFFTSE 100 Component,informa.com
Hong Kong,"Unisound AI Technology Co., Ltd.",Technology,,,,,,,9678.0,Current,CHEN Hua,Independent Non Executive Director,,2023-06-23,,PAX Technology,https://en.wikipedia.org/wiki/PAX_Technology,,Public,2000; 25 years ago (2000),,"Shenzhen, Guangdong, China",Financial services,Nie Guoming (Chairman) & (CEO),,1800 (2018),,,,"Point of sale, Payment terminals, PIN pads",US$563M,,,,SEHK: 327,www.pax.com.cn
London,ARCONTECH GROUP PLC,Technology,2000-12-4 0:00,United Kingdom,Europe,AIM,No,24.59,,,,,,,,OrbusNeich,https://en.wikipedia.org/wiki/OrbusNeich,,Public,2000,,Hong Kong,Medical Instruments & Supplies,"Teddy Chien (Founder), David Chien (Chairman and CEO), Denise Lau (COO)",,500+,,,,"Stent, balloon",,,,,HKEX: 6929,orbusneich.com
Hong Kong,PC Partner Group Limited,Technology,,,,,,,1263.0,Current,CHAN Yim,Independent Non Executive Director,,2023-01-01,,Rotork,https://en.wikipedia.org/wiki/Rotork,,Public,1940s,,"Bath, Somerset, UK",Engineering,"Dorothy Thompson, ChairKiet Huynh, CEO",£104.8 million (2024),"3,300 (2025)",£135.9 million (2024),,,,£754.4 million (2024),,,,LSE: RORFTSE 250 component,www.rotork.com
Hong Kong,"Rongta Technology (Xiamen) Group Co., Ltd.",Technology,,,,,,,9881.0,Current,HUANG Li Qin,Independent Non Executive Director,,2021-07-27,,PAX Technology,https://en.wikipedia.org/wiki/PAX_Technology,,Public,2000; 25 years ago (2000),,"Shenzhen, Guangdong, China",Financial services,Nie Guoming (Chairman) & (CEO),,1800 (2018),,,,"Point of sale, Payment terminals, PIN pads",US$563M,,,,SEHK: 327,www.pax.com.cn
London,ABCAM PLC,Health Care,2005-11-3 0:00,United Kingdom,Europe,AIM,No,3337.11,,,,,,,,Abcam,https://en.wikipedia.org/wiki/Abcam,,Subsidiary,1998; 27 years ago (1998),Jonathan MilnerTony KouzaridesDavid Cleevely,"Cambridge Biomedical Campus, Cambridge, UK",BiotechnologyLife sciences,Markus Lusser (president),£(8.5) million (2022),"1,760 (2022)",£(10.1) million (2022),,Danaher Corporation (2023–present),Research antibodiesKits and assays for biological research,£361.7 million (2022),,"£1,057 million (2022)",£726.9 million (2022),AIM: ABCNasdaq: ABCM,abcam.comabcamplc.com
London,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care,2002-4-30 0:00,United Kingdom,Europe,AIM,No,452.08,,,,,,,,Blue Planet Software,https://en.wikipedia.org/wiki/Blue_Planet_Software,Worldwide,,"Bullet-Proof Software Inc. August 10, 1983; 42 years ago (1983-08-10) in Kōhoku-ku, Kanagawa, Japan Blue Planet Software Inc. 1996; 29 years ago (1996)Honolulu, Hawaii, United States",Henk Rogers,,Video games,Henk RogersMaya Rogers,,,,,,Video games,,,,,,
London,ALLIANCE PHARMA PLC,Health Care,2015-12-17 0:00,United Kingdom,Europe,AIM,No,391.16,,,,,,,,Delix Therapeutics,https://en.wikipedia.org/wiki/Delix_Therapeutics,,Private,2019,,"Boston, Massachusetts",PharmaceuticalBiotechnology,Mark Rus (Chief Executive Officer),,,,,,,,,,,,delixtherapeutics.com
London,ASTRAZENECA PLC,Health Care,1993-6-1 0:00,United Kingdom,Europe,MAIN MARKET,No,101912.93,,,,,,,,AstraZeneca,https://en.wikipedia.org/wiki/AstraZeneca,Global,Public,6 April 1999; 26 years ago (1999-04-06),,"Cambridge Biomedical Campus, Cambridge, England",PharmaceuticalBiotechnology,Michel Demaré (chairman)Sir Pascal Soriot (CEO),US$7.041 billion (2024),"89,900 (2025)",US$10.003 billion (2024),,,Pharmaceutical drugsvaccines,US$54.073 billion (2024),Alexion PharmaceuticalsMedImmune,US$104.035 billion (2024),US$40.871 billion (2024),LSE: AZNNasdaq Stockholm: AZNNasdaq: AZN (ADR)FTSE 100 componentOMX Stockholm 30 componentNasdaq-100 component,astrazeneca.com
London,BEXIMCO PHARMACEUTICALS LIMITED,Health Care,2005-10-21 0:00,Bangladesh,Asia,AIM,Yes,,,,,,,,,Hikma Pharmaceuticals,https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals,,Public,1978; 47 years ago (1978) Jordan,Samih Darwazah,"London, England, UK",Pharmaceutical,Said Darwazah (Chairperson)Said Darwazah (CEO),US$362 million (2024),"8,800 (2024)",US$719 million (2024),,,AmoclanPrografSuprax,"US$3,156 million (2024)",,,,LSE: HIKFTSE 100 Component,www.hikma.com
London,DECHRA PHARMACEUTICALS PLC,Health Care,2000-9-21 0:00,United Kingdom,Europe,MAIN MARKET,No,3774.5,,,,,,,,Dechra Pharmaceuticals,https://en.wikipedia.org/wiki/Dechra_Pharmaceuticals,,Private,1997,,"Northwich, England, UK",Pharmaceuticals,"Jesper Nordengaard, (CEO)",£58.2 million (2022),"2,036 (2022)",£174.3 million (2022),,,,£681.8 million (2022),,,,LSE: DPH,www.dechra.com
London,EKF DIAGNOSTICS HOLDINGS PLC,Health Care,2010-7-7 0:00,United Kingdom,Europe,AIM,No,341.24,,,,,,,,EKF Diagnostics,https://en.wikipedia.org/wiki/EKF_Diagnostics,Worldwide,Public company,"Barleben, Germany (1990)",Berthold Walter,"Cardiff, United Kingdom",Health Care Biotechnology,Christopher Mills(Non-Executive Chairman)Mike Salter(Chief Executive Officer)Marc Davies(Chief Financial Officer),,295 (2011),,,,,£21.658 million (2011),Argutus MedicalQuotient DiagnosticsStanbio Laboratory,£58.733 million (2011),£37.427 million (2011),LSE: EKF EKF Diagnostics Holdings plc,www.ekfdiagnostics.com
London,E-THERAPEUTICS PLC,Health Care,2007-11-28 0:00,United Kingdom,Europe,AIM,No,57.33,,,,,,,,EKF Diagnostics,https://en.wikipedia.org/wiki/EKF_Diagnostics,Worldwide,Public company,"Barleben, Germany (1990)",Berthold Walter,"Cardiff, United Kingdom",Health Care Biotechnology,Christopher Mills(Non-Executive Chairman)Mike Salter(Chief Executive Officer)Marc Davies(Chief Financial Officer),,295 (2011),,,,,£21.658 million (2011),Argutus MedicalQuotient DiagnosticsStanbio Laboratory,£58.733 million (2011),£37.427 million (2011),LSE: EKF EKF Diagnostics Holdings plc,www.ekfdiagnostics.com
London,FARON PHARMACEUTICALS OY,Health Care,2015-11-17 0:00,Finland,Europe,AIM,Yes,135.76,,,,,,,,Simcere Pharmaceutical,https://en.wikipedia.org/wiki/Simcere_Pharmaceutical,,"Listed, SEHK: 2096",,,"Nanjing, Jiangsu, China",Pharmaceuticals,,,,,,,,,,,,,www.simcere.com
London,FUSION ANTIBODIES PLC,Health Care,2017-12-18 0:00,United Kingdom,Europe,AIM,No,35.61,,,,,,,,Synthomer,https://en.wikipedia.org/wiki/Synthomer,,Public,1863,,"London, England",Chemicals,Caroline Johnstone (Chair)Michael Willome (CEO),£(66.7) million (2024),"5,000 (2023)",£50.4 million (2024),,,,"£1,986.8 million (2024)",,,,LSE: SYNT,www.synthomer.com
London,GENUS PLC,Health Care,2007-11-12 0:00,United Kingdom,Europe,MAIN MARKET,No,2678.53,,,,,,,,Genus plc,https://en.wikipedia.org/wiki/Genus_plc,,Public,1933,,"Basingstoke, Hampshire, UK",Biotechnology,"Iain Ferguson, Chairman Jorgen Kokke, CEO",£2.4 million (2024),,£6.4 million (2024),,,,£668.8 million (2024),,,,LSE: GNSFTSE 250 component,www.genusplc.com
London,HIKMA PHARMACEUTICALS PLC,Health Care,2005-11-4 0:00,United Kingdom,Europe,MAIN MARKET,No,5785.43,,,,,,,,Hikma Pharmaceuticals,https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals,,Public,1978; 47 years ago (1978) Jordan,Samih Darwazah,"London, England, UK",Pharmaceutical,Said Darwazah (Chairperson)Said Darwazah (CEO),US$362 million (2024),"8,800 (2024)",US$719 million (2024),,,AmoclanPrografSuprax,"US$3,156 million (2024)",,,,LSE: HIKFTSE 100 Component,www.hikma.com
London,HORIZON DISCOVERY GROUP PLC,Health Care,2014-3-27 0:00,United Kingdom,Europe,AIM,No,140.28,,,,,,,,Horizon Discovery,https://en.wikipedia.org/wiki/Horizon_Discovery,Worldwide,Public limited company,2005 (2005),"Prof. Alberto Bardelli, Dr. Chris Torrance","Cambridge, United Kingdom",Biotechnology,"Terry Pizzie (CEO), Ian Gilham (Chairman of Board of Directors, 2014)",,400,,,,Isogenic cell linesEngineered Haploid cell lines (HAP1)Reporter KitsMolecular Reference StandardsModel organisms,,,,,,Horizon Discovery
London,INTEGRATED DIAGNOSTICS HOLDINGS PLC,Health Care,2015-5-11 0:00,Jersey,Europe,MAIN MARKET,No,407.77,,,,,,,,EKF Diagnostics,https://en.wikipedia.org/wiki/EKF_Diagnostics,Worldwide,Public company,"Barleben, Germany (1990)",Berthold Walter,"Cardiff, United Kingdom",Health Care Biotechnology,Christopher Mills(Non-Executive Chairman)Mike Salter(Chief Executive Officer)Marc Davies(Chief Financial Officer),,295 (2011),,,,,£21.658 million (2011),Argutus MedicalQuotient DiagnosticsStanbio Laboratory,£58.733 million (2011),£37.427 million (2011),LSE: EKF EKF Diagnostics Holdings plc,www.ekfdiagnostics.com
London,IXICO PLC,Health Care,2013-10-15 0:00,United Kingdom,Europe,AIM,No,47.09,,,,,,,,IXICO,https://en.wikipedia.org/wiki/IXICO,Worldwide,Public limited company,2004,"Professors Derek Hill, Daniel Rueckert, David Hawkes and Jo Hajnal","London, United Kingdom",Data analytics for clinical research,Charles Spicer (Chairman)Giulio Cerroni (CEO),,,,,,,,,,,LSE:IXI,https://ixico.com/
London,MEDICLINIC INTERNATIONAL PLC,Health Care,2016-2-15 0:00,United Kingdom,Europe,MAIN MARKET,No,2083.45,,,,,,,,Mediclinic Group,https://en.wikipedia.org/wiki/Mediclinic_Group,,Private,"October 3, 1983; 42 years ago (1983-10-03)",,"Stellenbosch, South Africa",Hospital management,Dr Ronnie van der Merwe (CEO),£170 million (2022),"34,278 (2022)",£280 million (2022),,,,"£3,233 million (2022)",,,,LSE: MDCJSE: MEI,www.mediclinic.com
London,OXFORD BIOMEDICA PLC,Health Care,2001-4-17 0:00,United Kingdom,Europe,MAIN MARKET,No,661.07,,,,,,,,Sage Publishing,https://en.wikipedia.org/wiki/Sage_Publishing,,,1965 (1965),Sara Miller McCuneGeorge D. McCune,,,Tejeshwar Singh,,,,,,,,,,,,
London,SHIELD THERAPEUTICS PLC,Health Care,2016-2-26 0:00,United Kingdom,Europe,AIM,No,147.07,,,,,,,,Delix Therapeutics,https://en.wikipedia.org/wiki/Delix_Therapeutics,,Private,2019,,"Boston, Massachusetts",PharmaceuticalBiotechnology,Mark Rus (Chief Executive Officer),,,,,,,,,,,,delixtherapeutics.com
London,SILENCE THERAPEUTICS PLC,Health Care,2010-1-5 0:00,United Kingdom,Europe,AIM,No,286.11,,,,,,,,Silence Therapeutics,https://en.wikipedia.org/wiki/Silence_Therapeutics,,Public (Nasdaq: SLN),1994,,"Hammersmith, London",Pharmaceuticals,,,120,,,,,,,,,,www.silence-therapeutics.com
London,SMITH & NEPHEW PLC,Health Care,1951-8-13 0:00,United Kingdom,Europe,MAIN MARKET,No,11703.66,,,,,,,,Smith & Nephew,https://en.wikipedia.org/wiki/Smith_%26_Nephew,,Public limited company,1856; 169 years ago (1856)(Kingston upon Hull),Thomas James Smith,"Watford, England",Medical equipment,Rupert Soames (Chairman) Dr Deepak Nath (CEO),$412 million (2024),"18,000 (2024)",$657 million (2024),,,Medical equipment,"$5,810 million (2024)",,,,LSE: SN.NYSE: SNNFTSE 100 Component,www.smith-nephew.com
London,SURGICAL INNOVATIONS GROUP PLC,Health Care,1998-7-7 0:00,United Kingdom,Europe,AIM,No,14.46,,,,,,,,Surgical Innovation,https://en.wikipedia.org/wiki/Surgical_Innovation,,,,,,,,,,,,,,,,,,,
London,SYNAIRGEN PLC,Health Care,2004-10-26 0:00,United Kingdom,Europe,AIM,No,277.38,,,,,,,,Synairgen,https://en.wikipedia.org/wiki/Synairgen,,,2003 (2003),Stephen Holgate Donna E. Davies Ratko Djukanovic [Wikidata],"Southampton, United Kingdom",Drug discoveryBiotechnology,Richard Marsden (CEO) John Ward (CFO) Phillip Monk (CSO),,,,,,,,,,,AIM: SNG,synairgen.com
London,VENTURE LIFE GROUP PLC,Health Care,2014-3-28 0:00,United Kingdom,Europe,AIM,No,81.51,,,,,,,,JD Health,https://en.wikipedia.org/wiki/JD_Health,,Public subsidiary,February 2014; 11 years ago (2014-02),,"Beijing, China",Digital health,Liu Qiangdong (Chairman)Jin Enlin (CEO),CN¥2.14 billion (2023),"3,118 (2023)",,,JD.com,,CN¥53.53 billion (2023),,CN¥64.29 billion (2023),CN¥49.37 billion (2023),SEHK: 6618Hang Seng Index component,ir.jdhealth.com
Hong Kong,"Akeso, Inc.",Health Care,,,,,,,9926.0,Current,LI Bai Yong,Executive Director,,2012-03-01,,Akeso,https://en.wikipedia.org/wiki/Akeso,,Public,"March 19, 2012; 13 years ago (2012-03-19)",Michelle XiaBaiyong LiMax WangPeng Zhang,"Zhongshan, Guangdong, China",Biopharmaceutical,Michelle Xia (Chairwoman & CEO),CN¥−501.09 million (2024),"3,035 (2024)",,,,,CN¥2.04 billion (2024),,CN¥12.76 billion (2024),CN¥6.75 billion (2024),SEHK: 9926,www.akesobio.com
