ID,VIOLATION LAST MODIFIED DATE,VIOLATION DATE,VIOLATION STATUS,VIOLATION STATUS DATE,VIOLATION DESCRIPTION,VIOLATION LOCATION,VIOLATION INSPECTOR COMMENTS,INSPECTOR ID,INSPECTION NUMBER,INSPECTION STATUS,INSPECTION WAIVED,INSPECTION CATEGORY,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,PROPERTY GROUP,SSA,LATITUDE,LONGITUDE,LOCATION
6926095,03/07/2023,03/07/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING /MOST APARTMENTS - NO ENTRY. UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF RATS IN APT 1E.,455370,14011875,FAILED,N,COMPLAINT,2138 W TOUHY AVE,2138,W,TOUHY,AVE,241096,,42.01233147,-87.6844761,"(42.01233146759264, -87.68447609776241)"
7138230,03/21/2024,03/21/2024,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,","NO RESPONSE; NO ENTRY.  UNABLE TO INSPECT INTERIOR, STAIRWELLS, APARTMENTS, AND BASEMENT.  UNVERIFIED DETECTORS AND CONDITIONS.",BL01000,13561153,FAILED,N,PERIODIC,5330 S HARPER AVE,5330,S,HARPER,AVE,18786,61.0,41.79857178,-87.58921454,"(41.79857178406767, -87.5892145402274)"
5815363,01/11/2024,08/30/2017,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :,"SOME APARTMENTS- NO ENTRY, UNVERIFIED DETECTORS, AND CONDITIONS.",BL01037,14183046,FAILED,N,COMPLAINT,5249 W PARKER AVE,5249,W,PARKER,AVE,107308,,41.93035886,-87.75833604,"(41.93035885517082, -87.75833603510956)"
7121480,02/15/2024,02/15/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF APTS. - NO RESPOSNE, UNVERIFIED DTETECTORS AND CONDITIONS. UNABLE TO VEIFY COMPLAINTS AT 6207 APT 201 FOR MICE AND RATS. REAR GATES ARE LOCKED AT TIME OF INSPECTION, UNABLE TO VERIFY CONDITION OF REAR 3 STORY WOOD PORCHES.",371335,14228206,FAILED,N,COMPLAINT,6207 S LANGLEY AVE,6207,S,LANGLEY,AVE,19335,,41.78193017,-87.60827073,"(41.781930167664015, -87.60827072598565)"
6933720,03/29/2023,03/23/2023,OPEN,,ARRANGE PREMISE INSPECTION,,CALL (312) 743-0413,400200,14077788,FAILED,N,COMPLAINT,9625 S GREENWOOD AVE,9625,S,GREENWOOD,AVE,481423,,41.71954577,-87.59698075,"(41.71954576980334, -87.5969807497027)"
7092032,12/21/2023,12/21/2023,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:002 :UNIT 207,"ARRANGE PREMISE INSPECTION / MOST UNITS UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS.",447020,14177630,FAILED,N,COMPLAINT,4003 N BROADWAY,4003,N,BROADWAY,,10145,34.0,41.95469326,-87.65046174,"(41.95469325566277, -87.65046173581315)"
7228951,09/18/2024,09/18/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING /APT 2 - NO RESPONSE, UNVERIFIED COMPLAINT OF ROACHES.",282126,12550223,FAILED,N,PERIODIC,1944 W LELAND AVE,1944,W,LELAND,AVE,10997,31.0,41.96704606,-87.67788871,"(41.967046055005845, -87.67788871390839)"
6925390,03/10/2023,03/10/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS,CONDITIONS,AND OCCUPANCY.UNVERIFIED COMPLAINT OF ILLEGAL ATTIC APARTMENT.",BL00708,14011161,FAILED,N,COMPLAINT,5610 N KARLOV AVE,5610,N,KARLOV,AVE,212881,,41.98317643,-87.7310285,"(41.983176432389286, -87.73102850329029)"
7137369,03/20/2024,03/20/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF PEST INFESTATION AND MISSING CO AND SMOKE DETECTORS.,451988,14314718,FAILED,N,COMPLAINT,2304 N LAMON AVE,2304,N,LAMON,AVE,93677,,41.92255488,-87.74885604,"(41.92255487679718, -87.74885604198859)"
7050530,09/28/2023,09/28/2023,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,","NO RESPONSE; NO ENTRY.  UNABLE TO INSPECT INTERIOR, STAIRWELLS, APARTMENTS, BASEMENT, REAR PREMISES, AND REAR PORCH.  UNVERIFIED DETECTORS  AND CONDITIONS.",BL01000,14147950,FAILED,N,COMPLAINT,10745 S HOXIE AVE,10745,S,HOXIE,AVE,511040,,41.69963728,-87.56061909,"(41.69963727798943, -87.56061909195374)"
2734719,08/09/2024,09/26/2008,COMPLIED,08/09/2024,ARRANGE PREMISE INSPECTION,,MOST UNITS-NO RESPONSE-UNVERIFIED DETECTORS AND CONDITIONS. NO ENTRY TO BOILER AND MECHANICAL ROOMS.BL00831,BL00275,2164611,FAILED,N,PERIODIC,3515 S COTTAGE GROVE AVE,3515,S,COTTAGE GROVE,AVE,17693,,41.83077665,-87.6102556,"(41.83077664857152, -87.61025559720281)"
6936756,04/04/2023,04/04/2023,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:001 :,"ARRANGE PREMISE INSPECTION / MOST UNITS UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS AND REAR PORCH.",447020,14080104,FAILED,N,COMPLAINT,1638 S DRAKE AVE,1638,S,DRAKE,AVE,272745,,41.85791725,-87.714106,"(41.8579172531805, -87.7141060007698)"
7264647,12/20/2024,12/20/2024,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:001 :,"ARRANGE FOR INSPECTION / UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND CONCERNS REGARDING TO WATER LEAK, CEILING DAMAGE TO UNIT 1B.",447020,14471139,FAILED,N,COMPLAINT,2516 S CALIFORNIA AVE,2516,S,CALIFORNIA,AVE,16965,,41.84587396,-87.6953959,"(41.84587396040205, -87.69539590028342)"
5772885,06/22/2023,07/12/2017,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :,"1ST FLOOR, AND BASEMENT- NO RESPONSE, UNVERIFIED DETECTORS, CONDITIONS, AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS.",BL01037,14111324,CLOSED,N,COMPLAINT,2912 N LUNA AVE,2912,N,LUNA,AVE,122143,2.0,41.93354593,-87.76524293,"(41.93354592878339, -87.7652429311676)"
7140984,03/21/2024,03/21/2024,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,","UNABLE TO INSPECT INTERIOR, STAIRWELLS, APARTMENTS, AND BASEMENT.  UNVERIFIED DETECTORS AND CONDITIONS.   VIOLATIONS FROM INSPECTION #11315438 PREVIOUSLY COMPLIED BY INSPECTOR #87296.",BL01000,13623998,FAILED,N,PERIODIC,2049 E 67TH ST,2049,E,67TH,ST,19969,,41.77336037,-87.57452955,"(41.77336037309904, -87.57452954533319)"
6978729,06/15/2023,06/15/2023,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,","UNABLE TO INSPECT INTERIOR, STAIRWELLS, APARTMENTS, BASEMENT, REAR PREMISES (DOG IN REAR YARD), AND REAR PORCH.  UNVERIFIED DETECTORS AND CONDITIONS.",BL01000,14108442,FAILED,N,COMPLAINT,8258 S MARSHFIELD AVE,8258,S,MARSHFIELD,AVE,439356,,41.74314596,-87.66461278,"(41.74314595696117, -87.66461277841285)"
7117143,02/07/2024,02/07/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,NO ENTRY TO THE INTERIOR OF PROPERTY.,196492,14222729,FAILED,N,COMPLAINT,6518 S CLAREMONT AVE,6518,S,CLAREMONT,AVE,382528,,41.77499763,-87.68231926,"(41.774997625465076, -87.68231925827013)"
7026723,08/16/2023,08/16/2023,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,",UNABLE TO INSPECT BASEMENT (IF ANY).   UNVERIFIED DETECTORS AND CONDITIONS.,BL01000,14132163,FAILED,N,COMPLAINT,310 E 103RD ST,310,E,103RD,ST,489915,41.0,41.70739346,-87.61572685,"(41.707393463683935, -87.61572684663491)"
7187501,07/10/2024,07/10/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS AND INTERIOR CONDITIONS.",BL00831,14399885,FAILED,N,COMPLAINT,7214 S MARSHFIELD AVE,7214,S,MARSHFIELD,AVE,411955,,41.76258795,-87.6651201,"(41.76258794643433, -87.66512009625136)"
7209291,08/20/2024,08/20/2024,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:001 :,"ARRANGE FOR INSPECTION / UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OCCUPANCY. UNABLE TO VERIFY GARAGE OCCUPACNY OR CONDITIONS.",447020,14432207,FAILED,N,COMPLAINT,3639 N OLEANDER AVE,3639,N,OLEANDER,AVE,159315,,41.94625064,-87.8154501,"(41.94625064180364, -87.8154500970525)"
7007534,07/20/2023,07/20/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS AND CONDITIONS.",BL00708,14121552,FAILED,N,COMPLAINT,5528 N ODELL AVE,5528,N,ODELL,AVE,206986,,41.97986039,-87.81098776,"(41.979860389535745, -87.81098776012686)"
6933549,12/14/2023,03/23/2023,COMPLIED,12/14/2023,ARRANGE PREMISE INSPECTION,INTERIOR:-1  : REMOVED PER VIDEO EMAIL,"ARRANGE PREMISE INSPECTION / MOST UNITS UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS AND BASEMENT OCCUPANCY.",447020,14077677,FAILED,N,COMPLAINT,5010 N CENTRAL AVE,5010,N,CENTRAL,AVE,193267,,41.97200695,-87.76869503,"(41.972006951946675, -87.76869503109879)"
3005308,07/26/2023,03/10/2009,COMPLIED,07/26/2023,ARRANGE PREMISE INSPECTION,,"NO ENTRY FOR ANNUAL INSPECTION, REAR ENCLOSED PORCH",BL00654,2645125,FAILED,N,PERIODIC,1605 S BLUE ISLAND AVE,1605,S,BLUE ISLAND,AVE,16171,,41.85947336,-87.65960206,"(41.85947336289358, -87.65960205734272)"
7258604,12/09/2024,12/09/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF ROACHES AND RODENTS IN APT 1G.,478934,14467093,FAILED,N,COMPLAINT,7700 S SOUTH SHORE DR,7700,S,SOUTH SHORE,DR,20719,,41.75691518,-87.55353477,"(41.75691517747099, -87.55353477302202)"
7096545,01/04/2024,12/27/2023,OPEN,,ARRANGE PREMISE INSPECTION,,NO ACCESS TO INTERIOR FOR 2023 ANNUAL INSPECTION,207401,13816812,FAILED,N,PERIODIC,910 E 83RD ST,910,E,83RD,ST,21036,,41.74412133,-87.6020954,"(41.74412132852519, -87.6020954019725)"
5507106,07/07/2023,09/06/2016,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :,"INTERIOR OF BUILDING, ENTRY REFUSED. UNABLE TO VERIFY DETECTORS, CONDITIONS AND OCCUPANCY.",207370,14116538,FAILED,N,COMPLAINT,5257 S PAULINA ST,5257,S,PAULINA,ST,332376,,41.79779916,-87.66697009,"(41.797799161759826, -87.66697008731796)"
7251898,11/08/2024,11/08/2024,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :ENTRY,",OCCUPANTS REFUSE ENTRY UNABLE TO VERIFY OCCUPANCY TYPE AND VERIFY DETECTORS.  14A-1-104,BL00748,14461806,FAILED,N,COMPLAINT,239 W 105TH ST,239,W,105TH,ST,502970,,41.70332998,-87.62971328,"(41.703329976652775, -87.62971327956448)"
7204289,08/15/2024,07/30/2024,OPEN,,ARRANGE PREMISE INSPECTION,,CALL (312) 743-0413 TO ARRANGE INSPECTION AFTER REPAIRS.,290668,14429441,FAILED,N,COMPLAINT,5430 N NASHVILLE AVE,5430,N,NASHVILLE,AVE,205217,,41.98017363,-87.7915671,"(41.98017363280371, -87.79156710262323)"
7167114,05/21/2024,03/10/2020,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :BUILDING,","BUILDING / NO ENTRY TO MOST AREAS,APARTMENTS,INTERIOR STAIRS,UNVERIFIED DETECTORS,CONDITIONS.",BL00904,13243638,FAILED,N,PERIODIC,108 N MENARD AVE,108,N,MENARD,AVE,1677,,41.88250359,-87.76998499,"(41.88250359415311, -87.76998499111421)"
6931388,06/14/2023,03/11/2023,COMPLIED,06/09/2023,ARRANGE PREMISE INSPECTION,,CALL (312) 743-0413 OR WWW.CITYOFCHICAGO.ORG TO ARRANGE INSPECTION.,400201,14075860,PASSED,N,COMPLAINT,2734 W NORTH AVE,2734,W,NORTH,AVE,74476,,41.91033775,-87.69598949,"(41.9103377455724, -87.69598949064988)"
7143571,04/03/2024,04/03/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPOSNE, UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO VERIFY MULTPLE COMPLAINTS AT 8311 APT 1 FOR MOLD, WET CEILINGS AND MISSING SMOKE DETECTORS AND 8311 APT 2 FOR WET MOLD IN BATHROOM TUB CEILING AND TENANTS AT THE BUILDING BEING LOCKED OUT.",371335,14319022,FAILED,N,COMPLAINT,8311 S PAULINA ST,8311,S,PAULINA,ST,21306,,41.74266866,-87.66552676,"(41.74266866057065, -87.66552675839812)"
6038798,12/08/2023,07/10/2018,OPEN,,ARRANGE PREMISE INSPECTION,,NO ACCESS TO INTERIOR FOR 2018 ANNUAL INSPECTION.  CALL 312 743 0407 FOR INSPECTION.,104976,14173306,FAILED,N,PERIODIC,4330 S CALIFORNIA AVE,4330,S,CALIFORNIA,AVE,313854,,41.81460886,-87.69454334,"(41.814608857822606, -87.6945433441456)"
5637508,06/16/2023,03/07/2017,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :,"INTERIOR OF BUILDING- NO ENTRY, UNABLE TO VERIFY DETECTOR AND COMPLAINT OF RODENTS.",BL01037,14108801,FAILED,N,COMPLAINT,2023 N DRAKE AVE,2023,N,DRAKE,AVE,89806,,41.91799849,-87.71502612,"(41.91799849245915, -87.71502611552681)"
7037069,09/07/2023,09/07/2023,OPEN,,ARRANGE PREMISE INSPECTION,"OTHER   :    :TOWNHOME,",UNABLE TO INSPECT BASEMENT AND REAR PREMISES (DOG IN REAR).  UNVERIFIED DETECTORS AND CONDITIONS.,BL01000,14139663,FAILED,N,COMPLAINT,8820 S COTTAGE GROVE AVE,8820,S,COTTAGE GROVE,AVE,461877,51.0,41.73414626,-87.60490913,"(41.7341462606077, -87.60490912674497)"
7070901,11/07/2023,11/07/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS.",BL00831,14163467,FAILED,N,COMPLAINT,3807 S GILES AVE,3807,S,GILES,AVE,296536,,41.82536685,-87.61906704,"(41.825366847577776, -87.61906704124235)"
7082474,10/09/2024,12/01/2023,COMPLIED,10/09/2024,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF BASMENT/ATTIC OCCUPANCY.,451988,14171849,CLOSED,N,COMPLAINT,6137 W GIDDINGS ST,6137,W,GIDDINGS,ST,183633,,41.96650289,-87.78120945,"(41.96650289403239, -87.78120944459512)"
7237273,10/18/2024,10/18/2024,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:002 :,"ARRANGE FOR INSPECTION / UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OR CONCERNS REGARDING TO PEST INFESTATION AND MAIN ENTRY WAY DOOR.",447020,14452181,FAILED,N,COMPLAINT,7227 N PAULINA ST,7227,N,PAULINA,ST,13983,,42.01355663,-87.67225083,"(42.01355662928624, -87.67225083125624)"
6771244,08/28/2023,04/04/2022,COMPLIED,08/28/2023,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERIFY DETECTORS AND INTERIOR CONDITIONS.",BL00876,13804106,CLOSED,N,COMPLAINT,11919 S EMERALD AVE,11919,S,EMERALD,AVE,536635,,41.6772234,-87.64053932,"(41.677223399904406, -87.64053931486752)"
7051114,09/29/2023,09/29/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS,CONDITIONS,AND OCCUPANCY.",BL00708,14148231,FAILED,N,COMPLAINT,3600 N WAYNE AVE,3600,N,WAYNE,AVE,146500,27.0,41.9471772,-87.66295661,"(41.94717720107389, -87.66295661268678)"
6930275,05/11/2023,03/11/2023,COMPLIED,05/11/2023,ARRANGE PREMISE INSPECTION,,CALL (312) 743-0413,291575,14015724,PASSED,N,COMPLAINT,427 N LAWLER AVE,427,N,LAWLER,AVE,42382,,41.88865953,-87.75155284,"(41.88865952751331, -87.75155283583189)"
7258946,12/06/2024,12/06/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF COLLAPSED CEILING AT 2ND FLOOR APARTMENT.,451988,14467298,FAILED,N,COMPLAINT,6218 N TALMAN AVE,6218,N,TALMAN,AVE,220888,,41.99461186,-87.69602904,"(41.99461185630429, -87.69602904168678)"
7220533,10/24/2024,09/17/2024,COMPLIED,10/21/2024,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS AND COMPLAINT OF MILDEW ON 1ST FLOOR APT.",BL00831,14439952,PASSED,N,COMPLAINT,1337 W CULLERTON ST,1337,W,CULLERTON,ST,268903,,41.85505933,-87.66028456,"(41.855059330599794, -87.660284560853)"
7185680,07/08/2024,07/08/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO VERIF COMPLAINT FOR DOOR IS JAMBED, FOUL STENCH IN HALLWAY AND EXPIRED FIRE EXTINGUISHERS.",371335,14398527,FAILED,N,COMPLAINT,6719 S PAXTON AVE,6719,S,PAXTON,AVE,20046,,41.77290431,-87.57144701,"(41.772904312406276, -87.57144700801547)"
7088924,12/15/2023,12/15/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS.,451988,14176560,FAILED,N,COMPLAINT,5323 N PAULINA ST,5323,N,PAULINA,ST,198720,,41.97876129,-87.6719959,"(41.97876129002436, -87.67199590038784)"
6986810,06/21/2023,06/21/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF RODENT INFESTATION.,451988,14110905,FAILED,N,COMPLAINT,4137 W BARRY AVE,4137,W,BARRY,AVE,119670,,41.93710656,-87.73108176,"(41.93710655559989, -87.73108176285282)"
6991975,06/27/2023,06/27/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF S.F.R. - NO RESPONSE, UNABLE TO VERFY DETECTORS AND COMPLAINT OF HOLE IN THE CEILING AND MICE INFESTATION.",BL00831,14113081,FAILED,N,COMPLAINT,7245 S PAULINA ST,7245,S,PAULINA,ST,412014,,41.76173301,-87.66601439,"(41.76173301212961, -87.66601439366366)"
6684784,02/23/2024,09/28/2021,COMPLIED,02/23/2024,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF APTS. -  NO RESPONSE, UNVERIIFED DETECTORS AND CONDITIONS. UNABLE TO VERIFY COMPLAINT AT APT. 3B FOR ROACH INFESTATION AND MOLD GROWTH ON THE WALLS.",87296,13607241,FAILED,N,COMPLAINT,7725 S LOWE AVE,7725,S,LOWE,AVE,20764,,41.75355674,-87.64030741,"(41.75355674430277, -87.64030741167673)"
7085114,12/07/2023,12/07/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING /MOST APARTMENTS AND COMMON SPACES - NO ENTRY. UNVERIFIED DETECTORS AND CONDITONS.,455370,14173795,FAILED,N,COMPLAINT,6541 S WOLCOTT AVE,6541,S,WOLCOTT,AVE,381803,,41.77452216,-87.67122,"(41.77452216232062, -87.67122000072021)"
6300432,10/11/2023,06/12/2019,COMPLIED,06/23/2023,ARRANGE PREMISE INSPECTION,,NO ENTRY TO DWELLING UNITS.,BL00748,12971281,PASSED,N,COMPLAINT,3109 S BENSON ST,3109,S,BENSON,ST,293695,,41.83755235,-87.66069632,"(41.83755235069999, -87.66069632428265)"
7174529,06/07/2024,06/07/2024,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF BED BUG INFESTATION.,451988,14385938,FAILED,N,COMPLAINT,2106 N PULASKI RD,2106,N,PULASKI,RD,92140,,41.91921333,-87.72676783,"(41.919213333366855, -87.72676783236783)"
3754245,03/08/2023,01/22/2011,COMPLIED,03/02/2023,ARRANGE PREMISE INSPECTION,INTERIOR:001 :FRONT INTERIOR STAIRWAYS-7710 S. / 7712 S. / 7714 S. / 7716 S. BL00831,NO RESPONSE-UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF: SR#102021380-(APT.2A) ROACHES.,BL01000,10172874,FAILED,N,PERIODIC,7708 S SOUTH SHORE DR,7708,S,SOUTH SHORE,DR,20711,,41.75674468,-87.5533508,"(41.75674467505385, -87.55335080293519)"
7203293,08/13/2024,08/07/2024,OPEN,,ARRANGE PREMISE INSPECTION,,ARRANGE FOR INSPECTION CALL (312)743-0413,434706,14428543,FAILED,N,COMPLAINT,210 N KOLIN AVE,210,N,KOLIN,AVE,31790,,41.88367293,-87.73449255,"(41.88367293152896, -87.7344925515854)"
7088725,12/19/2023,12/19/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPOSNE, UNVERIFIED DETECTORS AND CONDITIONS.",371335,14176434,FAILED,N,COMPLAINT,8615 S MARQUETTE AVE,8615,S,MARQUETTE,AVE,450699,,41.73862203,-87.55859696,"(41.73862203163545, -87.5585969554727)"
6998682,07/06/2023,09/02/2014,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF APTS. - NO RESPONSE, UNVERIFIED DETECTORS, CONDITIONS AND OCCUPANCY.",371335,12688614,FAILED,N,PERIODIC,2136 E 68TH ST,2136,E,68TH,ST,20012,,41.77178425,-87.57255374,"(41.77178424986189, -87.57255373576207)"
7024311,08/14/2023,08/14/2023,OPEN,,ARRANGE PREMISE INSPECTION,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS AND COMPLAINT OF OWNER RENTING ROOMS.",BL00831,14130809,FAILED,N,COMPLAINT,6019 S SAWYER AVE,6019,S,SAWYER,AVE,368534,59.0,41.78381383,-87.70434166,"(41.78381383379795, -87.70434165473948)"
7116411,09/20/2024,01/27/2024,COMPLIED,09/20/2024,ARRANGE PREMISE INSPECTION,,ARRANGE FOR INSPECTION AFTER REPAIRS - (312) 743-0413,434706,14222366,PASSED,N,COMPLAINT,50 W 71ST ST,50,W,71ST,ST,25232,,41.76555262,-87.62682483,"(41.76555261652991, -87.62682483348057)"
7114305,04/10/2024,01/30/2024,COMPLIED,04/10/2024,ARRANGE PREMISE INSPECTION,,ARRANGE FOR INSPECTION AFTER REPAIR - (312) 743-0413,BL00802,14221217,CLOSED,N,COMPLAINT,115 E BELLEVUE PL,115,E,BELLEVUE,PL,57351,,41.9014992,-87.62513559,"(41.90149920284754, -87.62513559308407)"
6630454,05/30/2023,06/11/2021,COMPLIED,05/19/2023,ARRANGE PREMISE INSPECTION,,"UNABLE TO GAIN INTERIOR ACCESS FOR 2021 ANNUAL INSPECTION. UNABLE TO VERIFY DETECTORS, CONDITIONS AND OCCUPANCY. CALL 312-545-1376 TO SCHEDULE INSPECTION.",BL00950,13906847,FAILED,N,PERIODIC,10 W HUBBARD ST,10,W,HUBBARD,ST,1936,,41.89016859,-87.62839434,"(41.89016858549094, -87.62839433601951)"
6827249,10/11/2023,07/25/2022,COMPLIED,09/28/2023,ARRANGE PREMISE INSPECTION,"OTHER   :    :INTERIOR UNITS AND UTILITY ROOMS,","6230 N./ ARRANGE PREMISE INSPECTIONMOST APARTMENTS - NO RESPONSE, UNVERIFIED DETECTORS, CONDITIONS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS.",447020,13849395,FAILED,N,PERIODIC,6230 N KENMORE AVE,6230,N,KENMORE,AVE,12734,26.0,41.99556527,-87.65712882,"(41.995565269844, -87.65712881918824)"
7159255,05/06/2024,05/06/2024,OPEN,,ARRANGE PREMISE INSPECTION,INTERIOR:001 :UNIT 2G,"ARRANGE FOR INSPECTION / UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OR OCCUPANCY. UNABLE TO VERIFY CONDITIONS TO STORE FRONT GROUND LEVEL.",447020,14329585,FAILED,N,COMPLAINT,6306 S ARTESIAN AVE,6306,S,ARTESIAN,AVE,383270,3.0,41.77897787,-87.68500146,"(41.778977864556175, -87.68500146448059)"
7255362,12/03/2024,11/22/2024,OPEN,,BLANK-TEXT MUST CITE CODE SECT,,STOP ALL WORK ON THE PREMISES UNTIL APPROVED PLANS & PERMIT ARE ISSUED 14A-3-306 14A-4-411,287646,14464299,FAILED,N,COMPLAINT,10743 S INDIANA AVE,10743,S,INDIANA,AVE,509899,,41.6986581,-87.61826803,"(41.69865809558211, -87.61826803117475)"
