Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP22330007,180008668,Montgomery County Police,Property Damage Crash,02/19/2018 07:00:00 PM,No,US (State),North,,2.0,South,300.0,FEET,HILL UPHILL,COLUMBIA PIKE,NATIONAL DR,,,,DRIVER,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11180167,-76.93254,"(39.11180167, -76.93254)"
DD56310002,180015588,Rockville Police Departme,Injury Crash,03/31/2018 12:05:00 AM,No,Municipality,North,OTHER,1.0,North,200.0,FEET,LEVEL,E JEFFERSON ST,ROLLINS AVE,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,,DRY,DARK NO LIGHTS,,,,FIXED OBJECT,FIXED OBJECT,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05951,-77.12675333,"(39.05951, -77.12675333)"
MCP2356002D,220045268,Montgomery County Police,Property Damage Crash,10/15/2022 07:45:00 AM,No,,,,,,,,,,,PARKING LOT OF 8751 SNOUFFER SCHOOL ROAD,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,,NONE DETECTED,,,,,,,,,39.17666346,-77.1777789,"(39.17666346, -77.1777789)"
MCP3226001W,210042352,Montgomery County Police,Property Damage Crash,10/21/2021 03:46:00 PM,No,County,West,,1.0,West,10.0,FEET,LEVEL,NORWOOD RD,EDNOR RD,,,,UNKNOWN,SINGLE VEHICLE,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OFF ROAD,FIXED OBJECT,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.12576183,-77.02758983,"(39.12576183, -77.02758983)"
MCP3239002Z,230028590,Montgomery County Police,Injury Crash,06/14/2023 10:16:00 AM,No,County,North,,1.0,South,0.1,MILE,LEVEL,OLD COLUMBIA PIKE,FALLING CREEK RD,,,,DRIVER,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OFF ROAD,FIXED OBJECT,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.07101854,-76.96090729,"(39.07101854, -76.96090729)"
DD55020031,17014212,Rockville Police Departme,Property Damage Crash,03/20/2017 10:13:00 AM,No,,,,,,,,,,,STUDENT WALKWAY,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,,,,,,39.09758243,-77.16023326,"(39.09758243, -77.16023326)"
MCP30310040,210037016,Montgomery County Police,Property Damage Crash,09/19/2021 10:23:00 PM,No,County,North,,1.0,North,100.0,FEET,HILL CREST,GOOD HOPE RD,CAPE MAY RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,OFF ROAD,FIXED OBJECT,INTERSECTION RELATED,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0934826,-76.99669779,"(39.0934826, -76.99669779)"
EJ7889000K,210010842,Gaithersburg Police Depar,Injury Crash,03/22/2021 09:04:00 PM,No,Maryland (State),North,,3.0,North,100.0,FEET,LEVEL,S FREDERICK RD,N WESTLAND DR,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12710462,-77.18392248,"(39.12710462, -77.18392248)"
MCP26410011,180009519,Montgomery County Police,Property Damage Crash,02/23/2018 11:12:00 PM,Yes,Maryland (State),North,,2.0,South,0.5,MILE,HILL UPHILL,FREDERICK RD,FREDERICK CO/L,,,,UNKNOWN,SINGLE VEHICLE,FOGGY,WET,DARK LIGHTS ON,,,,FIXED OBJECT,,,,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.28518667,-77.31436,"(39.28518667, -77.31436)"
MCP3005006X,220050517,Montgomery County Police,Injury Crash,11/15/2022 05:05:00 PM,No,Maryland (State),South,,3.0,North,0.0,FEET,LEVEL,GEORGIA AVE,URBANA DR,,,BICYCLIST,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,BICYCLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.06127,-77.05244167,"(39.06127, -77.05244167)"
MCP30680047,220037228,Montgomery County Police,Injury Crash,08/28/2022 04:30:00 PM,No,County,East,,3.0,West,0.0,FEET,LEVEL,DEMOCRACY BLVD,BELLS MILL RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,,,FIXED OBJECT,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02390915,-77.15412603,"(39.02390915, -77.15412603)"
MCP3026004N,190048073,Montgomery County Police,Property Damage Crash,10/07/2019 07:30:00 AM,Yes,County,South,,1.0,North,50.0,FEET,LEVEL,CONGRESSIONAL PKWY,RIVER RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,FIXED OBJECT,,UNKNOWN,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.00637833,-77.19151167,"(39.00637833, -77.19151167)"
MCP1220007N,180057139,Montgomery County Police,Property Damage Crash,11/14/2018 02:19:00 PM,No,County,West,MEDIAN AREA,2.0,East,50.0,FEET,LEVEL,E RANDOLPH RD,PARTRIDGE DR,,,,DRIVER,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07348435,-76.98988441,"(39.07348435, -76.98988441)"
MCP26790020,170502702,Montgomery County Police,Property Damage Crash,04/17/2017 12:55:00 AM,No,County,East,,1.0,East,0.0,FEET,GRADE DOWNHILL,DALE DR,CROSBY RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,,FIXED OBJECT,,INTERSECTION,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.00788,-77.03279,"(39.00788, -77.03279)"
MCP1425000C,170540819,Montgomery County Police,Property Damage Crash,11/03/2017 11:14:00 PM,No,County,South,,2.0,South,100.0,FEET,LEVEL,STONEY CREEK RD,WETHERFIELD LA,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,,,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05357167,-77.260575,"(39.05357167, -77.260575)"
MCP15680012,190030015,Montgomery County Police,Injury Crash,06/23/2019 04:22:00 PM,No,Maryland (State),West,,2.0,West,0.75,MILE,LEVEL,DARNESTOWN RD,WHITE GROUNDS RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,MEDICATION CONTRIBUTED,,FIXED OBJECT,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.127765,-77.3329162,"(39.127765, -77.3329162)"
MCP137800VB,200044284,Montgomery County Police,Property Damage Crash,11/09/2020 06:18:00 PM,No,County,South,OFF ROAD,3.0,North,0.0,FEET,LEVEL,SHADY GROVE RD,MILL RUN DR,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,FIXED OBJECT,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.145185,-77.15028,"(39.145185, -77.15028)"
MCP30220034,190054054,Montgomery County Police,Injury Crash,11/09/2019 03:41:00 PM,No,Maryland (State),West,,2.0,East,200.0,FEET,GRADE DOWNHILL,DAMASCUS RD,JARL DR,,,,DRIVER,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,OTHER,,,FIXED OBJECT,FIXED OBJECT,NON INTERSECTION,,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.277915,-77.165765,"(39.277915, -77.165765)"
DD5604001T,180000143,Rockville Police Departme,Property Damage Crash,01/02/2018 06:18:00 AM,No,Maryland (State),West,,2.0,West,10.0,FEET,LEVEL,VEIRS MILL RD,CLAGETT DR,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07926667,-77.12801833,"(39.07926667, -77.12801833)"
MCP3005005R,210023152,Montgomery County Police,Injury Crash,06/17/2021 11:18:00 AM,No,Maryland (State),East,,4.0,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,ENNALLS AVE,,,OTHER,NONMOTORIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03906333,-77.05424833,"(39.03906333, -77.05424833)"
MCP2888001R,210030649,Montgomery County Police,Injury Crash,08/07/2021 04:26:00 AM,No,Maryland (State),North,,3.0,North,0.0,FEET,LEVEL,HUNGERFORD DR,COLLEGE PKWY,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,FIXED OBJECT,FIXED OBJECT,INTERSECTION,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10321833,-77.15574,"(39.10321833, -77.15574)"
MCP271700MV,190010298,Montgomery County Police,Injury Crash,03/05/2019 04:30:00 PM,No,Maryland (State),North,LEFT TURN LANE,3.0,South,50.0,FEET,HILL UPHILL,ROCKVILLE PIKE,JONES BRIDGE RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9977305,-77.10970767,"(38.9977305, -77.10970767)"
MCP9113004W,190020204,Montgomery County Police,Injury Crash,04/30/2019 08:40:00 AM,No,Maryland (State),West,,2.0,East,400.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,ROBINDALE DR,,,,UNKNOWN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER NON COLLISION,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0629,-77.09415667,"(39.0629, -77.09415667)"
MCP32010051,230068143,Montgomery County Police,Property Damage Crash,11/25/2023 06:14:00 AM,No,Maryland (State),West,,1.0,East,400.0,FEET,LEVEL,OLNEY LAYTONSVILLE RD,RIGGS RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,,FIXED OBJECT,FIXED OBJECT,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.19334367,-77.12393883,"(39.19334367, -77.12393883)"
MCP23580059,180040362,Montgomery County Police,Property Damage Crash,08/14/2018 09:58:00 AM,No,County,North,,1.0,South,100.0,FEET,HILL UPHILL,BRICKYARD RD,HACKAMORE DR,,,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,ANIMAL,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98501833,-77.21289333,"(38.98501833, -77.21289333)"
MCP20880006,170520722,Montgomery County Police,Injury Crash,07/23/2017 12:53:00 PM,No,County,South,,2.0,North,900.0,FEET,LEVEL,CLARKSBURG RD,LEWISDALE RD,,,,UNKNOWN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,,,,,,,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.283085,-77.27475,"(39.283085, -77.27475)"
EJ78640016,170547669,Gaithersburg Police Depar,Property Damage Crash,12/10/2017 12:30:00 AM,No,County,South,,3.0,South,0.0,FEET,GRADE DOWNHILL,GAME PRESERVE RD,FREDERICK RD,,,,DRIVER,SINGLE VEHICLE,,ICE,DARK LIGHTS ON,,ALCOHOL CONTRIBUTED,,FIXED OBJECT,,,,STRAIGHT,,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.16694,-77.22917,"(39.16694, -77.22917)"
MCP3254002L,220052296,Montgomery County Police,Property Damage Crash,11/27/2022 10:30:00 AM,Yes,County,North,,1.0,West,100.0,FEET,GRADE DOWNHILL,MATENY HILL RD,DAWSON FARM RD,,,,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,,,FIXED OBJECT,,,,CURVE LEFT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.16970687,-77.27063935,"(39.16970687, -77.27063935)"
MCP22900030,210034358,Montgomery County Police,Property Damage Crash,09/02/2021 10:05:00 AM,No,Municipality,South,,1.0,North,0.0,FEET,GRADE DOWNHILL,N WASHINGTON ST,BEALL AVE #2,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,FIXED OBJECT,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.08689833,-77.15325,"(39.08689833, -77.15325)"
MCP2358006L,190038572,Montgomery County Police,Property Damage Crash,08/13/2019 09:20:00 AM,No,,,,,,,,,,,PUBLIC PARKING LOT 4854 CORDELL AVE BETHESDA,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,,,,,,38.98988833,-77.097295,"(38.98988833, -77.097295)"
EJ7833004T,180061614,Gaithersburg Police Depar,Property Damage Crash,12/10/2018 04:05:00 AM,No,Maryland (State),North,,2.0,South,500.0,FEET,LEVEL,MIDCOUNTY HWY,SPUR TO SAYBROOKE OAKS BLVD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,ANIMAL,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15255833,-77.17745167,"(39.15255833, -77.17745167)"
MCP26370045,210026517,Montgomery County Police,Property Damage Crash,07/10/2021 09:46:00 AM,No,County,North,,2.0,South,0.5,MILE,LEVEL,TRAVILAH RD,GLEN RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,OTHER OBJECT,,,,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.06614833,-77.263345,"(39.06614833, -77.263345)"
MCP2986001J,17011462,Montgomery County Police,Property Damage Crash,03/04/2017 07:54:00 AM,No,,,,,,,,,,,BP GAS STATION PARKING LOT,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,,NONE DETECTED,,FIXED OBJECT,,,,,,,39.01499833,-77.05475,"(39.01499833, -77.05475)"
MCP2712003J,190022019,Montgomery County Police,Property Damage Crash,05/09/2019 06:30:00 PM,No,,,,,,,,,,,"MCDONALDS PARKING LOT 
504 E. RANDOLPH RD",,,DRIVER,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,,NONE DETECTED,,FIXED OBJECT,,,,,,,39.0761993,-77.00090472,"(39.0761993, -77.00090472)"
MCP2047004M,220031532,Montgomery County Police,Property Damage Crash,07/22/2022 08:41:00 AM,No,Municipality,South,,2.0,South,300.0,FEET,GRADE DOWNHILL,TOWER OAKS BLVD,WOOTTON PKWY,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0595525,-77.11979633,"(39.0595525, -77.11979633)"
MCP1565003X,200035453,Montgomery County Police,Injury Crash,09/10/2020 07:39:00 AM,No,County,North,,1.0,North,150.0,FEET,GRADE DOWNHILL,CAPE MAY RD,GOOD HOPE RD,,,,DRIVER,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,CURVE LEFT,,"TWO-WAY, NOT DIVIDED",39.09316967,-76.99489493,"(39.09316967, -76.99489493)"
MCP1564005X,210046762,Montgomery County Police,Property Damage Crash,11/18/2021 07:22:00 AM,No,,,,,,,,,,,PARKING LOT 18111 PRINCE PHILIP DR,,OTHER,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,FIXED OBJECT,,,,,,39.15408833,-77.05594,"(39.15408833, -77.05594)"
MCP3300000L,210033839,Montgomery County Police,Property Damage Crash,08/29/2021 01:30:00 PM,Yes,,,,,,,,,,,801 UNIVERSITY BLVD- PARKING LOT,,,DRIVER,SINGLE VEHICLE,UNKNOWN,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,,,,,,39.03148122,-77.02138625,"(39.03148122, -77.02138625)"
MCP3086004C,200019279,Montgomery County Police,Property Damage Crash,05/12/2020 01:27:00 PM,No,,,,,,,,,,,IN FRONT OF 34 CESSNA CT,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,OTHER OBJECT,,,,,,,39.17330101,-77.16232589,"(39.17330101, -77.16232589)"
MCP28680031,190016019,Montgomery County Police,Property Damage Crash,04/06/2019 03:13:00 PM,No,,,,,,,,,,,5324 SHERRILL AVE  - VEHICLE INTO HOME,,,UNKNOWN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,STOP SIGN,,,FIXED OBJECT,,,,,,,38.96093,-77.09374667,"(38.96093, -77.09374667)"
HA23880019,22001452,Maryland-National Capital,Property Damage Crash,08/17/2022 01:35:00 PM,No,Maryland (State),South,,1.0,North,0.25,MILE,GRADE DOWNHILL,FREDERICK RD,CLARKSBURG RD,,,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,ANIMAL,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.24198367,-77.28371433,"(39.24198367, -77.28371433)"
MCP3018002Q,180034706,Montgomery County Police,Property Damage Crash,07/13/2018 06:41:00 PM,No,Maryland (State),West,,1.0,West,200.0,FEET,LEVEL,OLNEY LAYTONSVILLE RD,VOLUNTEER DR,,,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER NON COLLISION,FIXED OBJECT,,,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.16953,-77.08870667,"(39.16953, -77.08870667)"
MCP3217000C,200009271,Montgomery County Police,Property Damage Crash,02/25/2020 12:53:00 AM,No,Maryland (State),South,,2.0,South,0.0,FEET,LEVEL,CLARKSBURG RD,CUL DE SAC,,,,DRIVER,SINGLE VEHICLE,CLOUDY,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,OBSTRUCTION NOT LIGHTED,"TWO-WAY, NOT DIVIDED",39.23386167,-77.28318833,"(39.23386167, -77.28318833)"
MCP229800Y9,210036286,Montgomery County Police,Injury Crash,09/14/2021 08:04:00 PM,No,Maryland (State),South,RIGHT TURN LANE,3.0,South,0.0,FEET,LEVEL,GERMANTOWN RD,FREDERICK RD,,,PEDESTRIAN,DRIVER,SINGLE VEHICLE,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,PEDESTRIAN,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.19234028,-77.2429752,"(39.19234028, -77.2429752)"
MCP29070024,190045379,Montgomery County Police,Property Damage Crash,09/22/2019 05:20:00 AM,No,County,East,,1.0,South,50.0,FEET,LEVEL,CHEVY CHASE LAKE DR,CONNECTICUT AVE,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.99388833,-77.076715,"(38.99388833, -77.076715)"
MCP0487001F,17015967,Montgomery County Police,Property Damage Crash,03/29/2017 01:13:00 PM,No,County,West,,1.0,South,0.0,FEET,HILL UPHILL,SNOUFFERS SCHOOL RD,ALLISTON HOLLOW WAY,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,FIXED OBJECT,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.17672892,-77.17898592,"(39.17672892, -77.17898592)"
MCP2962006G,220014128,Montgomery County Police,Property Damage Crash,04/03/2022 07:51:00 AM,No,Maryland (State),South,,2.0,North,0.0,FEET,LEVEL,GREAT SENECA HWY,GROTTO LA,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,OFF ROAD,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.1678075,-77.26842033,"(39.1678075, -77.26842033)"
MCP3162004P,230012097,Montgomery County Police,Injury Crash,03/12/2023 12:40:00 PM,No,US (State),South,,4.0,North,0.0,FEET,GRADE DOWNHILL,COLESVILLE RD,FRANKLIN AVE,,,,DRIVER,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,FIXED OBJECT,OVERTURN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.00889167,-77.01839167,"(39.00889167, -77.01839167)"
MCP2422002J,170542242,Montgomery County Police,Property Damage Crash,11/11/2017 02:20:00 PM,Yes,,South,,1.0,West,25.0,FEET,LEVEL,TOBOGGAN LA,TOBOGGAN CIR,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,,,FIXED OBJECT,,,,CURVE LEFT,,,39.13490667,-77.11863167,"(39.13490667, -77.11863167)"
MCP3294001T,230070977,Montgomery County Police,Property Damage Crash,12/10/2023 06:48:00 PM,No,Municipality,North,,2.0,North,0.0,FEET,LEVEL,RUSSELL AVE,SPUR TO MONTGOMERY VILLAGE AVE,,,,DRIVER,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,OTHER,NONE DETECTED,,OTHER,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.15291283,-77.20869483,"(39.15291283, -77.20869483)"
MCP2752004D,210045281,Montgomery County Police,Injury Crash,11/08/2021 07:23:00 PM,No,County,West,,1.0,West,1.0,MILE,LEVEL,DEMOCRACY BLVD,GAINSBOROUGH RD,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,,OFF ROAD,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.02304,-77.17559,"(39.02304, -77.17559)"
MCP1268000H,170517554,Montgomery County Police,Injury Crash,07/06/2017 05:35:00 AM,No,Maryland (State),North,,4.0,East,45.0,FEET,HILL UPHILL,VEIRS MILL RD,ASPEN HILL RD,,,,DRIVER,SINGLE VEHICLE,RAINING,WET,DAWN,TRAFFIC SIGNAL,NONE DETECTED,,FIXED OBJECT,FIXED OBJECT,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07288167,-77.110755,"(39.07288167, -77.110755)"
MCP20990003,180000908,Montgomery County Police,Property Damage Crash,01/06/2018 06:45:00 PM,No,,,,,,,,,,,"11160 VEIRS MILL RD, WHEATON MD 20902
PARKING LOT OF WESTFIELD WHEATON",,,DRIVER,SINGLE VEHICLE,CLEAR,,DARK LIGHTS ON,,NONE DETECTED,,FIXED OBJECT,,,,,,,39.03746965,-77.05478489,"(39.03746965, -77.05478489)"
MCP2737005W,230018597,Montgomery County Police,Property Damage Crash,04/18/2023 11:40:00 PM,No,Maryland (State),West,,1.0,West,0.3,MILE,HILL UPHILL,ASHTON RD,TUCKER LA,,,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.16026581,-76.97904292,"(39.16026581, -76.97904292)"
MCP31000008,180013295,Montgomery County Police,Property Damage Crash,03/17/2018 01:25:00 AM,No,Interstate (State),South,,4.0,South,1.0,MILE,GRADE DOWNHILL,EISENHOWER MEMORIAL HWY,EXIT #11,,,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,,,,OTHER OBJECT,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.163275,-77.23738,"(39.163275, -77.23738)"
MCP28430012,17006190,Montgomery County Police,Property Damage Crash,02/04/2017 04:32:00 PM,No,,,,,,0.0,,,,,GREAT SENECA HIGHWAY IN THE BUSHES,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,,NONE DETECTED,,OFF ROAD,OFF ROAD,,,,,,39.12138083,-77.2263255,"(39.12138083, -77.2263255)"
