Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Hyundai,2017,Tucson,SUV,2017 Hyundai Tucson Highlander (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.8 L / 100 km,89564,- / -,"Oakleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Holden,2017,Trax,SUV,2017 Holden Trax LT,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.7 L / 100 km,26786,Blue / Black Leather,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Subaru,2015,WRX,Sedan,2015 Subaru WRX Premium (awd),USED,Manual,"4 cyl, 2 L",AWD,Premium,9.2 L / 100 km,114883,Silver / Black,"Sylvania, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Haval,2018,H6,SUV,2018 Haval H6 LUX,USED,Automatic,"4 cyl, 2 L",Front,Premium,9.8 L / 100 km,68479,Silver / Grey,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2020,Yaris,Hatchback,2020 Toyota Yaris Ascent Sport,USED,Automatic,"3 cyl, 1.5 L",Front,Unleaded,4.9 L / 100 km,18992,Black / -,"Preston, VIC",3 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Honda,2016,CR-V,SUV,2016 Honda CR-V VTI (4X2),USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.8 L / 100 km,76082,Grey / -,"Cairns, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2020,Outlander,SUV,2020 Mitsubishi Outlander ES Adas 5 Seat (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.2 L / 100 km,97922,Silver / Grey,"Melrose Park, SA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2017,Captur,SUV,2017 Renault Captur Intens,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.8 L / 100 km,34005,White / Black,"Myaree, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2018,X-Trail,SUV,2018 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,94160,- / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Holden,2014,Colorado,Ute / Tray,2014 Holden Colorado LTZ (4X4),USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,8.1 L / 100 km,125747,White / -,"Slacks Creek, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2019,Tucson,SUV,2019 Hyundai Tucson Active X (2WD) Black INT,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,53840,White / -,"Rockingham, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Honda,2017,CR-V,SUV,2017 Honda CR-V VTI (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7 L / 100 km,73743,Grey / -,"Yamanto, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Jeep,2016,Grand,SUV,2016 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,124359,White / Grey Leather,"East Bunbury, WA",6 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX (4X4),USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,7.2 L / 100 km,147282,White / Grey,"Mayfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2018,Every,"03 **** ****
",2018 Suzuki Every,USED,-,-,Other,Unleaded,-,99497,Black / Beige,"Braeside, VIC",-,,,,20000-30000 AUD
Mitsubishi,2011,Pajero,SUV,2011 Mitsubishi Pajero RX (4X4),USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,227714,White / -,"Nailsworth, SA",4 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Holden,2015,Colorado,Ute / Tray,2015 Holden Colorado LS-X (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,176460,White / -,"Saint James, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Ford,2018,Ranger,Ute / Tray,2018 Ford Ranger XL 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.7 L / 100 km,179317,White / -,"Beresfield, NSW",5 cyl,Ute / Tray, 4 Doors, 4 Seats,20000-30000 AUD
Nissan,2019,Qashqai,SUV,2019 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,80181,White / Grey,"Thebarton, SA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2011,Elgrand,Nippon Motors,2011 Nissan Elgrand Highway Star Premium,USED,Automatic,-,Front,Unleaded,-,121813,Black / Black,"Ingleburn, NSW",-,Wagon,,,20000-30000 AUD
Mazda,2017,3,Hatchback,2017 Mazda 3 Maxx,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.8 L / 100 km,50888,- / -,"Adelaide, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Toyota,2019,Corolla,Sedan,2019 Toyota Corolla Ascent Sport + Navigation,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,16566,White / Grey,"Tweed Heads South, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2020,I30,Sedan,2020 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7 L / 100 km,55980,Blue / -,"Welshpool, WA",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2017,Megane,Wagon,2017 Renault Megane GT-Line,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.6 L / 100 km,63081,Blue / -,"Wendouree, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,56900,Grey / -,"Hallam, VIC",4 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Honda,2015,Fit,USED Dealer ad,2015 Honda Fit S-EDITION HYBRID 1.5L 5 SEATER,USED,-,-,Other,-,-,56630,White / -,"Moorabbin, VIC",-,Hatchback,,,20000-30000 AUD
Subaru,2019,Liberty,Sedan,2019 Subaru Liberty 2.5I AWD,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3 L / 100 km,59213,Brown / -,"Bentley, WA",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2020,Tucson,SUV,2020 Hyundai Tucson Active X (2WD) Black INT,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,48100,Grey / -,"Rockingham, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2018,Camry,Sedan,2018 Toyota Camry Ascent,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,81518,Silver / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Subaru,2016,Forester,SUV,2016 Subaru Forester 2.5I-S,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,94800,Silver / -,"McDougalls Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2014,Triton,Ute / Tray,2014 Mitsubishi Triton GLX (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,8.1 L / 100 km,159880,White / Grey,"Port Macquarie, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Ford,2021,Puma,SUV,2021 Ford Puma ST-Line,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.3 L / 100 km,31872,Blue / -,"Kedron, QLD",3 cyl,SUV, 5 Doors, 5 Seats,20000-30000 AUD
Toyota,2020,Corolla,Hatchback,2020 Toyota Corolla Ascent Sport + TR KIT,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,50455,White / -,"Frankston, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Kia,2014,Sportage,SUV,2014 Kia Sportage Platinum (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,8.8 L / 100 km,55815,Brown / Black,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2016,CX-5,SUV,2016 Mazda CX-5 GT (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,5.7 L / 100 km,145056,Red / Leather,"Epping, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2013,Pathfinder,SUV,2013 Nissan Pathfinder TI (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Premium,9.9 L / 100 km,121963,White / -,"Newtown, VIC",6 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Audi,2018,A1,Hatchback,2018 Audi A1 Sportback 1.0 Tfsi,USED,Automatic,"3 cyl, 1 L",Front,Premium,4.4 L / 100 km,35741,Blue / -,"Eagle Farm, QLD",3 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton GLS (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,214326,White / Grey,"Enfield, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Honda,2014,Fit,"03 **** ****
",2014 Honda Fit S-EDITION 1.5L 5 SEATER,USED,-,-,Other,-,-,90365,Red / -,"Moorabbin, VIC",-,,,,20000-30000 AUD
Nissan,2016,X-Trail,SUV,2016 Nissan X-Trail ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,8.3 L / 100 km,87497,White / -,"Winnellie, NT",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Audi,2010,Q5,SUV,2010 Audi Q5 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.5 L / 100 km,169790,Grey / Charcoal,"Currumbin Waters, QLD",6 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2018,Koleos,SUV,2018 Renault Koleos Intens X-Tronic (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Premium,8.3 L / 100 km,104575,Blue / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Ford,2018,Ranger,Ute / Tray,2018 Ford Ranger XL 2.2 HI-Rider (4X2) (5 YR),USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,7.8 L / 100 km,67577,White / Black,"Maddington, WA",4 cyl,Ute / Tray, 2 Doors, 2 Seats,20000-30000 AUD
Skoda,2015,Octavia,Hatchback,2015 Skoda Octavia RS 162 TSI,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,133091,Blue / Grey,"Croydon, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mazda,2016,CX-5,SUV,2016 Mazda CX-5 Maxx (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,92907,Brown / Black,"Palmyra, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Audi,2014,A3,Sedan,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,4.7 L / 100 km,96958,Silver / Black,"Brighton, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2018,Sonata,Sedan,2018 Hyundai Sonata Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.3 L / 100 km,65970,White / Black,"Belconnen, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2017,CX-5,SUV,2017 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,185570,Red / -,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Isuzu,2017,D-MAX,Ute / Tray,2017 Isuzu D-MAX SX HI-Ride (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,7.5 L / 100 km,165473,White / -,"Cannington, WA",4 cyl,Ute / Tray, 2 Doors, 4 Seats,20000-30000 AUD
Suzuki,2018,Swift,Hatchback,2018 Suzuki Swift GLX Turbo,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.1 L / 100 km,43187,Red / -,"Wayville, SA",3 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Toyota,2019,Hilux,Ute / Tray,2019 Toyota Hilux Workmate,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,86524,White / -,"Hawthorn, SA",4 cyl,Ute / Tray, 2 Doors, 2 Seats,20000-30000 AUD
Toyota,2012,Estima,Sydney City Traders,2012 Toyota Estima Hybrid,USED,Automatic,-,Other,-,-,106989,Blue / Black,"Five Dock, NSW",-,Commercial,,,20000-30000 AUD
Isuzu,2016,D-MAX,Ute / Tray,2016 Isuzu D-MAX SX HI-Ride (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,7.9 L / 100 km,178562,White / Grey,"Mayfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Mitsubishi,2017,Lancer,Sedan,2017 Mitsubishi Lancer ES Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,45199,Red / Black,"Batemans Bay, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2021,Ignis,SUV,2021 Suzuki Ignis GL,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,4.9 L / 100 km,15242,Green / Grey  Cloth,"Warwick Farm, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2020,Kona,SUV,2020 Hyundai Kona Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.2 L / 100 km,57896,Silver / -,"Ryde, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2018,6,Sedan,2018 Mazda 6 Sport (5YR),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7 L / 100 km,38808,Silver / Cloth,"Ipswich, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Holden,2017,Equinox,SUV,2017 Holden Equinox LS Plus (fwd),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.9 L / 100 km,55313,White / -,"Morphett Vale, SA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2019,Sonata,Sedan,2019 Hyundai Sonata Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.3 L / 100 km,139042,Grey / -,"Traralgon, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2016,Sportage,SUV,2016 Kia Sportage SLI (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,99301,White / Black One Tone,"Yallah, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Volkswagen,2020,T-Cross,SUV,2020 Volkswagen T-Cross 85TSI Life,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.4 L / 100 km,18627,Blue / Black,"Winnellie, NT",3 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Subaru,2017,Levorg,Wagon,2017 Subaru Levorg 1.6 GT Premium,USED,Automatic,"4 cyl, 1.6 L",AWD,Premium,7.4 L / 100 km,115362,Black / -,"Coburg North, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Renault,2019,Kangoo,Commercial,2019 Renault Kangoo Compact 1.2,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,6.5 L / 100 km,98897,White / Grey,"Strathalbyn, SA",4 cyl,Commercial, 3 Doors, 2 Seats,20000-30000 AUD
Skoda,2018,Rapid,Wagon,2018 Skoda Rapid Spaceback 92 TSI,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,41010,Black / Black,"Geelong, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,20000-30000 AUD
Audi,2015,Q3,SUV,2015 Audi Q3 2.0 TDI Quattro (110KW),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.2 L / 100 km,132000,Grey / Black,"Sumner, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2015,Serena,National Vehicles,2015 Nissan Serena Highway Star HYBRID,USED,Automatic,-,Other,Unleaded,-,124295,White / Black,"Braeside, VIC",-,Wagon,,,20000-30000 AUD
BMW,2013,420D,Coupe,2013 BMW 420D Modern Line,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,4.7 L / 100 km,80000,Silver / -,"Moorabbin, VIC",4 cyl,Coupe, 2 Doors, 4 Seats,20000-30000 AUD
Kia,2016,Sportage,SUV,2016 Kia Sportage GT-Line (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,8.5 L / 100 km,94040,White / -,"Maroochydore, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Subaru,2019,Forester,SUV,2019 Subaru Forester 2.5I-L (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,123557,Blue / -,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
LDV,2017,G10,Wagon,2017 LDV G10 (7 Seat),USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,11.7 L / 100 km,85273,Black / Grey,"Sylvania, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,20000-30000 AUD
Toyota,2010,Hilux,Ute / Tray,2010 Toyota Hilux SR5 (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.5 L / 100 km,268136,Grey / -,"Enfield, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
LDV,2020,G10,Commercial,2020 LDV G10,USED,Automatic,"4 cyl, 1.9 L",Rear,Diesel,8.6 L / 100 km,70500,White / Grey,"Minchinbury, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,20000-30000 AUD
Toyota,2019,Corolla,Hatchback,2019 Toyota Corolla Ascent Sport (hybrid),USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,61774,White / -,"Ryde, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Subaru,2018,Forester,SUV,2018 Subaru Forester 2.0D-S,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,91714,White / Black,"Ravenhall, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2016,Hilux,Ute / Tray,2016 Toyota Hilux Workmate,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.4 L / 100 km,83178,White / -,"Waitara, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Mercedes-Benz,2010,GL-Class,Auzzi Motors,2010 Mercedes-Benz GL-Class 350 CDI,USED,Automatic,-,Other,-,-,160159,Red / -,"Merrylands, NSW",-,Wagon,,,20000-30000 AUD
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,54036,White / Black,"Hoppers Crossing, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Mazda,2017,6,Sedan,2017 Mazda 6 Atenza,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,54969,Red / Black,"Ryde, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2020,I30,Hatchback,2020 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,61732,White / -,"Victoria Park, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,20000-30000 AUD
Suzuki,2020,Baleno,Hatchback,2020 Suzuki Baleno GLX,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.2 L / 100 km,19296,White / -,"West Gosford, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2017,C-HR,SUV,2017 Toyota C-HR (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,6.4 L / 100 km,75482,Grey / -,"Wangara, WA",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2018,X-Trail,SUV,2018 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,61300,- / -,"Pinelands, NT",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Mercedes-Benz,2013,A200,Hatchback,2013 Mercedes-Benz A200 CDI BE,USED,Automatic,"4 cyl, 1.8 L",Front,Diesel,4.6 L / 100 km,105000,Silver / Black,"Bundoora, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Toyota,2012,Hiace,Commercial,2012 Toyota Hiace LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,136601,- / -,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,20000-30000 AUD
Mitsubishi,2019,ASX,SUV,2019 Mitsubishi ASX ES (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,33181,White / Black,"SOUTH MORANG, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
MG,2019,ZS,SUV,2019 MG ZS Excite,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,6.7 L / 100 km,46328,Silver / -,"Minchinbury, NSW",3 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
MG,2022,HS,SUV,2022 MG HS Core,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,27878,Black / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2018,Cerato,Hatchback,2018 Kia Cerato Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.3 L / 100 km,33681,Grey / Black,"Albion, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Mazda,2015,CX-5,SUV,2015 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,67373,Black / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XLS 2.2 (4X4),USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.1 L / 100 km,293051,White / -,"Five Dock, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2012,Kluger,SUV,2012 Toyota Kluger KX-S (4X4),USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,11 L / 100 km,101222,White / Black,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Toyota,2019,C-HR,SUV,2019 Toyota C-HR Koba (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.5 L / 100 km,124167,Silver / Black,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2014,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9 L / 100 km,150302,White / Black,"Minchinbury, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,20000-30000 AUD
Toyota,2015,Corolla,Sydney City Traders,2015 Toyota Corolla Hybrid,USED,Automatic,-,Other,-,-,120117,Silver / Grey,"Five Dock, NSW",-,Wagon,,,20000-30000 AUD
Hyundai,2015,Tucson,SUV,2015 Hyundai Tucson Highlander (awd),USED,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,7.7 L / 100 km,109926,Silver / Black,"Ravenhall, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,54177,Red / Black,"Richmond, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2018,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,62719,Silver / Black,"Homebush, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2009,HiAce,Nippon Motors,2009 Toyota HiAce (No Badge),USED,Automatic,-,Other,Unleaded,-,279540,White / Black,"Ingleburn, NSW",-,Commercial,,,20000-30000 AUD
Mitsubishi,2019,Outlander,SUV,2019 Mitsubishi Outlander ES Adas 5 Seat (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.2 L / 100 km,105188,White / Black,"Mornington, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Honda,2016,HR-V,SUV,2016 Honda HR-V VTI,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.6 L / 100 km,91022,Blue / Grey,"Pinkenba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,50413,Blue / -,"Kedron, QLD",4 cyl,SUV, 4 Doors, 7 Seats,20000-30000 AUD
Honda,2014,CR-V,SUV,2014 Honda CR-V DTI-S (4X4),USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,6.7 L / 100 km,61183,Grey / Black,"Brookvale, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Hyundai,2021,Venue,SUV,2021 Hyundai Venue,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.2 L / 100 km,37895,White / -,"Essendon Fields, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20000-30000 AUD
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla Ascent Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,37637,White / Black,"Homebush, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
Hyundai,2015,Iload,Commercial,2015 Hyundai Iload Crew,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,8.8 L / 100 km,147682,White / -,"Granville, NSW",4 cyl,Commercial, 4 Doors, 6 Seats,20000-30000 AUD
Toyota,2013,86,Coupe,2013 Toyota 86 GTS,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8 L / 100 km,67685,Black / Black,"Pinkenba, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,20000-30000 AUD
Kia,2019,RIO,Hatchback,2019 Kia RIO S,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,50588,Silver / Black,"Ferntree Gully, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20000-30000 AUD
