Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
Hong Kong,Tuya Inc.,Technology,,,,,,,2391.0,Current,CHEN Liao Han,Executive Director,Chairman,2014-08-01,
Hong Kong,UBTECH ROBOTICS CORP LTD,Technology,,,,,,,9880.0,Current,DENG Feng,Executive Director,,2025-06-27,
Hong Kong,VTech Holdings Limited,Technology,,,,,,,303.0,Current,FUNG Kwok Lun William,Independent Non Executive Director,,2001-11-28,
Hong Kong,Wuxi Life International Holdings Group Limited,Technology,,,,,,,8148.0,Current,CHOI Pun Lap,Executive Director,,2021-06-01,
Hong Kong,Xiaomi Corporation,Technology,,,,,,,1810.0,Current,CAI Jin Qing,Independent Non Executive Director,,2024-01-08,
Hong Kong,Zengame Technology Holding Limited,Technology,,,,,,,2660.0,Current,JIN Shuhui,Independent Non Executive Director - A/F,,2019-03-28,
Hong Kong,ZTE Corporation,Technology,,,,,,,763.0,Current,FANG Rong,Non Executive Director,Chairman,2018-06-29,
London,BANGO PLC,Technology,2005-6-30 0:00,United Kingdom,Europe,AIM,No,113.13,,,,,,,
Hong Kong,Technovator International Limited,Technology,,,,,,,1206.0,Current,CHIA Yew Boon,Independent Non Executive Director,,2011-09-08,
Hong Kong,EFT Solutions Holdings Limited,Technology,,,,,,,8062.0,Current,CHENG Wai Sin,Independent Non Executive Director - A/F,,2025-05-16,
Hong Kong,Nanfang Communication Holdings Limited,Technology,,,,,,,1617.0,Current,CHAN Kai Wing,Independent Non Executive Director,,2016-11-24,
Hong Kong,Qingci Games Inc.,Technology,,,,,,,6633.0,Current,FANG Wei Jin,Independent Non Executive Director,,2021-06-19,
Hong Kong,Linklogis Inc.,Technology,,,,,,,9959.0,Current,CHAU Ka King,Executive Director,,2018-03-13,
Hong Kong,360 Ludashi Holdings Limited,Technology,,,,,,,3601.0,Current,HU Qin,Independent Non Executive Director - A/F,,2025-06-27,
London,REDCENTRIC PLC,Technology,2013-12-6 0:00,United Kingdom,Europe,AIM,No,200.69,,,,,,,
Hong Kong,"Baiwang Co., Ltd.",Technology,,,,,,,6657.0,Current,CHEN Jie,Executive Director,"Chairman, CEO",2015-05-04,
London,ESSENSYS PLC,Technology,2019-5-29 0:00,United Kingdom,Europe,AIM,No,69.88,,,,,,,
Hong Kong,Dmall Inc.,Technology,,,,,,,2586.0,Current,CAI Lin,Independent Non Executive Director,,2024-12-06,
Hong Kong,"Minieye Technology Co., Ltd",Technology,,,,,,,2431.0,Current,BI Lei,Non Executive Director,,2024-05-13,
Hong Kong,Edvance International Holdings Limited,Technology,,,,,,,1410.0,Current,CHAN Siu Ming Simon,Independent Non Executive Director,,2017-03-23,
Hong Kong,"Unisound AI Technology Co., Ltd.",Technology,,,,,,,9678.0,Current,CHEN Hua,Independent Non Executive Director,,2023-06-23,
London,ARCONTECH GROUP PLC,Technology,2000-12-4 0:00,United Kingdom,Europe,AIM,No,24.59,,,,,,,
Hong Kong,PC Partner Group Limited,Technology,,,,,,,1263.0,Current,CHAN Yim,Independent Non Executive Director,,2023-01-01,
Hong Kong,"Rongta Technology (Xiamen) Group Co., Ltd.",Technology,,,,,,,9881.0,Current,HUANG Li Qin,Independent Non Executive Director,,2021-07-27,
London,ABCAM PLC,Health Care,2005-11-3 0:00,United Kingdom,Europe,AIM,No,3337.11,,,,,,,
London,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care,2002-4-30 0:00,United Kingdom,Europe,AIM,No,452.08,,,,,,,
London,ALLIANCE PHARMA PLC,Health Care,2015-12-17 0:00,United Kingdom,Europe,AIM,No,391.16,,,,,,,
London,ASTRAZENECA PLC,Health Care,1993-6-1 0:00,United Kingdom,Europe,MAIN MARKET,No,101912.93,,,,,,,
London,BEXIMCO PHARMACEUTICALS LIMITED,Health Care,2005-10-21 0:00,Bangladesh,Asia,AIM,Yes,,,,,,,,
London,DECHRA PHARMACEUTICALS PLC,Health Care,2000-9-21 0:00,United Kingdom,Europe,MAIN MARKET,No,3774.5,,,,,,,
London,EKF DIAGNOSTICS HOLDINGS PLC,Health Care,2010-7-7 0:00,United Kingdom,Europe,AIM,No,341.24,,,,,,,
London,E-THERAPEUTICS PLC,Health Care,2007-11-28 0:00,United Kingdom,Europe,AIM,No,57.33,,,,,,,
London,FARON PHARMACEUTICALS OY,Health Care,2015-11-17 0:00,Finland,Europe,AIM,Yes,135.76,,,,,,,
London,FUSION ANTIBODIES PLC,Health Care,2017-12-18 0:00,United Kingdom,Europe,AIM,No,35.61,,,,,,,
London,GENUS PLC,Health Care,2007-11-12 0:00,United Kingdom,Europe,MAIN MARKET,No,2678.53,,,,,,,
London,HIKMA PHARMACEUTICALS PLC,Health Care,2005-11-4 0:00,United Kingdom,Europe,MAIN MARKET,No,5785.43,,,,,,,
London,HORIZON DISCOVERY GROUP PLC,Health Care,2014-3-27 0:00,United Kingdom,Europe,AIM,No,140.28,,,,,,,
London,INTEGRATED DIAGNOSTICS HOLDINGS PLC,Health Care,2015-5-11 0:00,Jersey,Europe,MAIN MARKET,No,407.77,,,,,,,
London,IXICO PLC,Health Care,2013-10-15 0:00,United Kingdom,Europe,AIM,No,47.09,,,,,,,
London,MEDICLINIC INTERNATIONAL PLC,Health Care,2016-2-15 0:00,United Kingdom,Europe,MAIN MARKET,No,2083.45,,,,,,,
London,OXFORD BIOMEDICA PLC,Health Care,2001-4-17 0:00,United Kingdom,Europe,MAIN MARKET,No,661.07,,,,,,,
London,SHIELD THERAPEUTICS PLC,Health Care,2016-2-26 0:00,United Kingdom,Europe,AIM,No,147.07,,,,,,,
London,SILENCE THERAPEUTICS PLC,Health Care,2010-1-5 0:00,United Kingdom,Europe,AIM,No,286.11,,,,,,,
London,SMITH & NEPHEW PLC,Health Care,1951-8-13 0:00,United Kingdom,Europe,MAIN MARKET,No,11703.66,,,,,,,
London,SURGICAL INNOVATIONS GROUP PLC,Health Care,1998-7-7 0:00,United Kingdom,Europe,AIM,No,14.46,,,,,,,
London,SYNAIRGEN PLC,Health Care,2004-10-26 0:00,United Kingdom,Europe,AIM,No,277.38,,,,,,,
London,VENTURE LIFE GROUP PLC,Health Care,2014-3-28 0:00,United Kingdom,Europe,AIM,No,81.51,,,,,,,
Hong Kong,"Akeso, Inc.",Health Care,,,,,,,9926.0,Current,LI Bai Yong,Executive Director,,2012-03-01,
Hong Kong,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,Health Care,,,,,,,241.0,Current,HUANG Jiao Jiao,Non Executive Director,,2023-05-15,
Hong Kong,AMCO United Holding Limited,Health Care,,,,,,,630.0,Current,AU YEUNG Ming Yin Gordon,Independent Non Executive Director - A/F,,2018-03-15,
Hong Kong,Beijing Health (Holdings) Limited,Health Care,,,,,,,2389.0,Current,GU Shan Chao,Executive Director,,2014-09-26,
Hong Kong,Beijing Tong Ren Tang Chinese Medicine Company Limited,Health Care,,,,,,,3613.0,Current,CHAN Ngai Chi,Independent Non Executive Director - A/F,,2013-04-15,
Hong Kong,"Clover Biopharmaceuticals, Ltd.",Health Care,,,,,,,2197.0,Current,AMBROSINO Donna Marie,Non Executive Director,,2022-06-17,
Hong Kong,CSPC Pharmaceutical Group Limited,Health Care,,,,,,,1093.0,Current,AU Chun Kwok Alan,Independent Non Executive Director,,2021-01-27,
Hong Kong,Genor Biopharma Holdings Limited,Health Care,,,,,,,6998.0,Current,CHEN Wen,Independent Non Executive Director,,2020-06-16,
Hong Kong,Genscript Biotech Corporation,Health Care,,,,,,,1548.0,Current,CHEUNG Yiu Leung Andy,Independent Non Executive Director - A/F,,2024-04-12,
Hong Kong,Grand Brilliance Group Holdings Limited,Health Care,,,,,,,8372.0,Current,CHIU Fan Wa,Independent Non Executive Director - A/F,,2025-06-01,
Hong Kong,Green International Holdings Limited,Health Care,,,,,,,2700.0,Current,CHEN Han Hong,Non Executive Director,,2020-07-16,
Hong Kong,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Health Care,,,,,,,874.0,Current,CHEN Jie Hui,Executive Director,,2025-09-26,
Hong Kong,Hansoh Pharmaceutical Group Company Limited,Health Care,,,,,,,3692.0,Current,CHAN Sheung Wai Charles,Independent Non Executive Director - A/F,,2019-05-31,
Hong Kong,HBM Holdings Limited,Health Care,,,,,,,2142.0,Current,CHEN Wei Wei,Independent Non Executive Director,,2025-01-01,
Hong Kong,Hospital Corporation of China Limited,Health Care,,,,,,,3869.0,Current,CHEN Shuai,Executive Director,,2020-11-20,
Hong Kong,Hua Medicine,Health Care,,,,,,,2552.0,Current,CHEN Li,Executive Director,,2010-06-04,
Hong Kong,"Innovent Biologics, Inc.",Health Care,,,,,,,1801.0,Current,CHEN Shu Yun Nick,Independent Non Executive Director,,2024-05-03,
Hong Kong,JD Health International Inc.,Health Care,,,,,,,6618.0,Current,CAO Dong,Executive Director,CEO,2025-09-29,
Hong Kong,LifeTech Scientific Corporation,Health Care,,,,,,,1302.0,Current,CHEN Dong Xia,Independent Non Executive Director,,2025-11-21,
Hong Kong,MediNet Group Limited,Health Care,,,,,,,8161.0,Current,CHAN Chi Wai Nelson,Executive Director,Chairman,2015-08-20,
Hong Kong,Mega Genomics Limited,Health Care,,,,,,,6667.0,Current,GUO Mei Ling,Non Executive Director,,2021-08-06,
Hong Kong,MicroPort Scientific Corporation,Health Care,,,,,,,853.0,Current,CHANG Zhao Hua,Executive Director,"Chairman, CEO",2006-07-14,
Hong Kong,New Ray Medicine International Holding Limited,Health Care,,,,,,,6108.0,Current,CHU Xue Ping,Executive Director,,2021-06-18,
Hong Kong,OrbusNeich Medical Group Holdings Limited,Health Care,,,,,,,6929.0,Current,CHAN Yip Keung,Independent Non Executive Director - A/F,,2021-09-29,
Hong Kong,Ping An Healthcare and Technology Company Limited,Health Care,,,,,,,1833.0,Current,CAI Fang Fang,Non Executive Director,,2024-03-19,
Hong Kong,Republic Healthcare Limited,Health Care,,,,,,,8357.0,Current,KANG Lee Ngo Florence,Independent Non Executive Director,,2024-09-30,
Hong Kong,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",Health Care,,,,,,,2196.0,Current,CHEN Peng Hui,Independent Non Executive Director,,2025-06-24,
Hong Kong,"Shanghai Pharmaceuticals Holding Co., Ltd.",Health Care,,,,,,,2607.0,Current,DONG Ming,Executive Director,,2023-06-29,
Hong Kong,Shanghai Pioneer Holding Ltd,Health Care,,,,,,,1345.0,Current,HU Ming Fei,Non Executive Director,,2020-12-16,
Hong Kong,Sihuan Pharmaceutical Holdings Group Ltd,Health Care,,,,,,,460.0,Current,CHE Feng Sheng,Executive Director,Chairman,2006-05-18,
Hong Kong,Simcere Pharmaceutical Group Limited,Health Care,,,,,,,2096.0,Current,REN Jin Sheng,Executive Director,"Chairman, CEO",2015-11-30,
Hong Kong,The United Laboratories International Holdings Limited,Health Care,,,,,,,3933.0,Current,CHONG Peng Oon,Independent Non Executive Director - A/F,,2009-03-31,
Hong Kong,Tong Ren Tang Technologies Co.Ltd.,Health Care,,,,,,,1666.0,Current,CHAN Ching Har Eliza,Independent Non Executive Director,,2018-06-12,
Hong Kong,Tycoon Group Holdings Limited,Health Care,,,,,,,3390.0,Current,CAO Ran,Non Executive Director,,2025-07-01,
Hong Kong,Vincent Medical Holdings Limited,Health Care,,,,,,,1612.0,Current,AU Yu Chiu Steven,Independent Non Executive Director - A/F,,2016-06-24,
Hong Kong,Wanjia Group Holdings Limited,Health Care,,,,,,,401.0,Current,CHAN Wing Shan,Independent Non Executive Director,,2024-09-13,
Hong Kong,Water Oasis Group Limited,Health Care,,,,,,,1161.0,Current,CHAN Chi Kau Johnnie Casire,Independent Non Executive Director,,2022-09-05,
Hong Kong,"WuXi AppTec Co., Ltd.",Health Care,,,,,,,2359.0,Current,CHEN Min Zhang,Executive Director,CEO,2022-05-06,
Hong Kong,WuXi Biologics (Cayman) Inc.,Health Care,,,,,,,2269.0,Current,CAO Yan Ling,Non Executive Director,,2016-05-11,
Hong Kong,YSB Inc.,Health Care,,,,,,,9885.0,Current,CHEN Fei,Executive Director,,2022-04-15,
Hong Kong,Yunnan Energy International Co. Limited,Health Care,,,,,,,1298.0,Current,JING Pi Lin,Independent Non Executive Director,,2018-11-30,
Hong Kong,New Horizon Health Limited,Health Care,,,,,,,6606.0,Delisted,CHEN Yi You,Executive Director,,2018-06-07,2025-10-27
Hong Kong,"Modern Chinese Medicine Group Co., Ltd.",Health Care,,,,,,,1643.0,Current,JIA Yan Ru,Executive Director,,2023-11-03,
Hong Kong,"Beijing Biostar Pharmaceuticals Co., Ltd.",Health Care,,,,,,,2563.0,Current,DAI Xue Fen,Non Executive Director,,2025-05-23,
Hong Kong,PuraPharm Corporation Limited,Health Care,,,,,,,1498.0,Current,CHAN Yu Ling Abraham,Executive Director,"Chairman, CEO",2011-12-02,
London,BENCHMARK HOLDINGS PLC,Health Care,2015-12-30 0:00,United Kingdom,Europe,AIM,No,347.2,,,,,,,
Hong Kong,Aidigong Maternal & Child Health Limited,Health Care,,,,,,,286.0,Current,CHU Pui Ki Dickson,Independent Non Executive Director - A/F,,2025-04-14,
Hong Kong,Mabpharm Limited,Health Care,,,,,,,2181.0,Current,CEN Jia Lin,Non Executive Director,,2024-07-10,
Hong Kong,Shenzhen Neptunus Interlong Bio-Technique Company Limited,Health Care,,,,,,,8329.0,Current,HUANG Jian Bo,Executive Director,,2020-06-25,
Hong Kong,"Jiangsu Recbio Technology Co., Ltd.",Health Care,,,,,,,2179.0,Current,GAO Feng,Independent Non Executive Director,,2021-05-09,
Hong Kong,"JOINN Laboratories (China) Co., Ltd.",Health Care,,,,,,,6127.0,Current,FENG Yu Xia,Executive Director,Chairman,2007-06-01,
Hong Kong,Ascletis Pharma Inc.,Health Care,,,,,,,1672.0,Current,GU Jiong,Independent Non Executive Director - A/F,,2018-04-27,
Hong Kong,"HighTide Therapeutics, Inc.",Health Care,,,,,,,2511.0,Current,HUNG Tak Wai,Independent Non Executive Director,,2023-12-22,
Hong Kong,Rici Healthcare Holdings Limited,Health Care,,,,,,,1526.0,Current,FANG Hao Ze,Executive Director,,2019-06-24,
Hong Kong,Yunkang Group Limited,Health Care,,,,,,,2325.0,Current,DONG Min,Independent Non Executive Director,,2025-04-10,
Hong Kong,China Shineway Pharmaceutical Group Limited,Health Care,,,,,,,2877.0,Current,LI Hui Min,Executive Director,,2004-11-10,
Hong Kong,Zhong Ji Longevity Science Group Limited,Health Care,,,,,,,767.0,Current,HE Yi Wu,Non Executive Director,,2021-08-13,
Hong Kong,"Duality Biotherapeutics, Inc.",Health Care,,,,,,,9606.0,Current,CAI Zhi Yang,Non Executive Director,,2024-07-22,
Hong Kong,"Concord Healthcare Group Co., Ltd.",Health Care,,,,,,,2453.0,Current,CHANG Liang,Executive Director,,2022-04-29,
Hong Kong,Cloudbreak Pharma Inc.,Health Care,,,,,,,2592.0,Current,CAO Xu,Non Executive Director,,2021-11-01,
London,DIACEUTICS PLC,Health Care,2019-3-21 0:00,United Kingdom,Europe,AIM,No,115.59,,,,,,,
London,ANGLE PLC,Health Care,2004-3-17 0:00,United Kingdom,Europe,AIM,No,76.89,,,,,,,
London,UDG HEALTHCARE PUBLIC LIMITED COMPANY,Health Care,1992-3-5 0:00,Ireland,Europe,MAIN MARKET,Yes,1821.62,,,,,,,
Hong Kong,HealthyWay Inc.,Health Care,,,,,,,2587.0,Current,CHEN Jing,Executive Director,,2022-03-09,
London,LIDCO GROUP PLC,Health Care,2001-7-5 0:00,United Kingdom,Europe,AIM,No,16.48,,,,,,,
Hong Kong,SoftMedx Healthcare Limited,Health Care,,,,,,,648.0,Current,LIN Pin Zhuo,Executive Director,,2024-08-01,
Hong Kong,"AIM Vaccine Co., Ltd.",Health Care,,,,,,,6660.0,Current,GUAN Wen,Executive Director,,2016-12-01,
Hong Kong,Sa Sa International Holdings Limited,Health Care,,,,,,,178.0,Current,CHAN Hiu Fung Nicholas,Independent Non Executive Director,,2019-09-02,
Hong Kong,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.",Health Care,,,,,,,2315.0,Current,HUA Feng Mao,Independent Non Executive Director,,2021-07-05,
Hong Kong,Brii Biosciences Limited,Health Care,,,,,,,2137.0,Current,ALTON Gregg Huber,Independent Non Executive Director,,2021-07-13,
London,OXFORD BIODYNAMICS PLC,Health Care,2016-12-6 0:00,United Kingdom,Europe,AIM,No,70.58,,,,,,,
Hong Kong,"Shanghai MicroPort MedBot (Group) Co., Ltd.",Health Care,,,,,,,2252.0,Current,ASHIDA Norihiro,Non Executive Director,,2025-11-25,
Hong Kong,WuXi XDC Cayman Inc.,Health Care,,,,,,,2268.0,Current,CHEN Zhi Sheng,Non Executive Director,Chairman,2020-12-01,
Hong Kong,"Kindstar Globalgene Technology, Inc.",Health Care,,,,,,,9960.0,Current,CHAI Hai Jie,Executive Director,,2020-12-04,
Hong Kong,Rainmed Medical Limited,Health Care,,,,,,,2297.0,Current,CHEN Xue Feng,Independent Non Executive Director - A/F,,2023-08-15,
Hong Kong,"Hangzhou Tigermed Consulting Co., Ltd.",Health Care,,,,,,,3347.0,Current,CAO Xiao Chun,Executive Director,,2010-09-01,
Hong Kong,"Vigonvita Life Sciences Co., Ltd.",Health Care,,,,,,,2630.0,Current,CAO Xin Wen,Independent Non Executive Director - A/F,,2023-03-27,
Hong Kong,GUSHENGTANG HOLDINGS LIMITED,Health Care,,,,,,,2273.0,Current,HUANG Jing Sheng,Non Executive Director,,2014-08-21,
London,NUFORMIX PLC,Health Care,2015-12-17 0:00,United Kingdom,Europe,MAIN MARKET,No,16.17,,,,,,,
London,GLAXOSMITHKLINE PLC,Health Care,1972-5-22 0:00,United Kingdom,Europe,MAIN MARKET,No,64814.45,,,,,,,
Hong Kong,"Fujian Haixi Pharmaceuticals Co., Ltd.",Health Care,,,,,,,2637.0,Current,CHEN Guang Ming,Executive Director,,2023-10-01,
Hong Kong,GenFleet Therapeutics (Shanghai) Inc.,Health Care,,,,,,,2595.0,Current,LAN Jiong,Executive Director,CEO,2017-11-30,
Hong Kong,New Century Healthcare Holding Co. Limited,Health Care,,,,,,,1518.0,Current,JIANG Yan Fu,Independent Non Executive Director,,2016-12-12,
London,INTELLIGENT ULTRASOUND GROUP PLC,Health Care,2014-8-27 0:00,United Kingdom,Europe,AIM,No,41.76,,,,,,,
Hong Kong,Broncus Holding Corporation,Health Care,,,,,,,2216.0,Current,KAM Pok Man,Independent Non Executive Director - A/F,,2021-09-13,
Hong Kong,"Guangzhou Innogen Pharmaceutical Group Co., Ltd.",Health Care,,,,,,,2591.0,Current,CHAN Heung Wing Anthony,Independent Non Executive Director - A/F,,2025-05-30,
London,KROMEK GROUP PLC,Health Care,2013-10-16 0:00,United Kingdom,Europe,AIM,No,40.49,,,,,,,
Hong Kong,Wai Yuen Tong Medicine Holdings Limited,Health Care,,,,,,,897.0,Current,CHAN Wing Kwong,Independent Non Executive Director,,2023-12-08,
London,VECTURA GROUP PLC,Health Care,2007-7-18 0:00,United Kingdom,Europe,MAIN MARKET,No,613.76,,,,,,,
London,SYSTEM1 GROUP PLC,Consumer Discretionary,2006-12-5 0:00,United Kingdom,Europe,AIM,No,13.86,,,,,,,
Hong Kong,Zhongsheng Group Holdings Limited,Consumer Discretionary,,,,,,,881.0,Current,CHAN Ho Yin,Non Executive Director,,2021-12-31,
Hong Kong,China Tourism Group Duty Free Corporation Limited,Consumer Discretionary,,,,,,,1880.0,Current,CHANG Zhu Jun,Executive Director,,2024-05-23,
London,M&C SAATCHI PLC,Consumer Discretionary,2004-7-14 0:00,United Kingdom,Europe,AIM,No,66.26,,,,,,,
Hong Kong,Geely Automobile Holdings Limited,Consumer Discretionary,,,,,,,175.0,Current,GAN Jia Yue,Executive Director,,2022-07-25,
Hong Kong,ENM Holdings Limited,Consumer Discretionary,,,,,,,128.0,Current,CHEUNG Kin Wing,Independent Non Executive Director - A/F,,2016-06-03,
London,FOCUSRITE PLC,Consumer Discretionary,2014-12-11 0:00,United Kingdom,Europe,AIM,No,563.68,,,,,,,
Hong Kong,"Midea Group Co., Ltd.",Consumer Discretionary,,,,,,,300.0,Current,FANG Hong Bo,Executive Director,"Chairman, CEO",2012-08-01,
Hong Kong,Future Bright Holdings Limited,Consumer Discretionary,,,,,,,703.0,Current,CHAN Chak Mo,Executive Director,Managing Director,2004-03-01,
London,COLEFAX GROUP PLC,Consumer Discretionary,2004-8-19 0:00,United Kingdom,Europe,AIM,No,36.99,,,,,,,
London,TI FLUID SYSTEMS PLC,Consumer Discretionary,2017-10-25 0:00,United Kingdom,Europe,MAIN MARKET,No,998.92,,,,,,,
Hong Kong,"JD.com, Inc.",Consumer Discretionary,,,,,,,9618.0,Current,DING Kun Grace,Independent Non Executive Director,,2024-09-12,
Hong Kong,YesAsia Holdings Limited,Consumer Discretionary,,,,,,,2209.0,Current,CHAN Yu Cheong,Independent Non Executive Director,,2020-08-17,
London,ITV PLC,Consumer Discretionary,2004-2-2 0:00,United Kingdom,Europe,MAIN MARKET,No,2903.93,,,,,,,
Hong Kong,"Aux Electric Co., Ltd.",Consumer Discretionary,,,,,,,2580.0,Current,HE Xi Wan,Non Executive Director,,2024-10-23,
London,NAKED WINES PLC,Consumer Discretionary,1996-11-11 0:00,United Kingdom,Europe,AIM,No,339.96,,,,,,,
Hong Kong,Dream International Limited,Consumer Discretionary,,,,,,,1126.0,Current,CHAN Yoo,Independent Non Executive Director,,2016-05-30,
London,WHITBREAD PLC,Consumer Discretionary,1948-7-9 0:00,United Kingdom,Europe,MAIN MARKET,No,4333.34,,,,,,,
London,HOMESERVE PLC,Consumer Discretionary,2010-8-2 0:00,United Kingdom,Europe,MAIN MARKET,No,3712.74,,,,,,,
London,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Discretionary,2018-10-3 0:00,United Kingdom,Europe,MAIN MARKET,No,989.53,,,,,,,
Hong Kong,Yue Yuen Industrial (Holdings) Limited,Consumer Discretionary,,,,,,,551.0,Current,CHAU Chi Ming,Executive Director,,2025-08-11,
Hong Kong,Yadong Group Holdings Limited,Consumer Discretionary,,,,,,,1795.0,Current,HO Kin Cheong Kelvin,Independent Non Executive Director - A/F,,2020-10-21,
Hong Kong,Tsui Wah Holdings Limited,Consumer Discretionary,,,,,,,1314.0,Current,CHENG Chung Fan,Non Executive Director,,2016-11-01,
London,TAYLOR WIMPEY PLC,Consumer Discretionary,1947-3-7 0:00,United Kingdom,Europe,MAIN MARKET,No,3855.8,,,,,,,
London,SUPERDRY PLC,Consumer Discretionary,2010-3-24 0:00,United Kingdom,Europe,MAIN MARKET,No,147.81,,,,,,,
London,YOUGOV PLC,Consumer Discretionary,2005-4-25 0:00,United Kingdom,Europe,AIM,No,1045.03,,,,,,,
Hong Kong,China General Education Group Limited,Consumer Discretionary,,,,,,,2175.0,Current,HU Bin Hong,Independent Non Executive Director,,2024-11-16,
London,TANDEM GROUP PLC,Consumer Discretionary,2000-9-27 0:00,United Kingdom,Europe,AIM,No,21.65,,,,,,,
London,FRONTIER DEVELOPMENTS PLC,Consumer Discretionary,2013-7-15 0:00,United Kingdom,Europe,AIM,No,1024.4,,,,,,,
London,MARKS AND SPENCER GROUP PLC,Consumer Discretionary,2002-3-19 0:00,United Kingdom,Europe,MAIN MARKET,No,1741.25,,,,,,,
London,REVOLUTION BARS GROUP PLC,Consumer Discretionary,2015-3-18 0:00,United Kingdom,Europe,AIM,No,12.19,,,,,,,
Hong Kong,ANTA Sports Products Limited,Consumer Discretionary,,,,,,,2020.0,Current,BI Ming Wei,Executive Director,,2021-07-01,
Hong Kong,ETS Group Limited,Consumer Discretionary,,,,,,,8031.0,Current,KWONG Yuk Ying,Independent Non Executive Director - A/F,,2023-01-01,
London,AIR PARTNER PLC,Consumer Discretionary,1995-11-23 0:00,United Kingdom,Europe,MAIN MARKET,No,41.0,,,,,,,
Hong Kong,Pegasus International Holdings Limited,Consumer Discretionary,,,,,,,676.0,Current,HO Chin Fa Steven,Executive Director,,1996-09-25,
London,TEN LIFESTYLE GROUP PLC,Consumer Discretionary,2017-11-22 0:00,United Kingdom,Europe,AIM,No,61.11,,,,,,,
Hong Kong,Okura Holdings Limited,Consumer Discretionary,,,,,,,1655.0,Current,KAGAWA Yutaka,Executive Director,,2016-04-27,
Hong Kong,Sino Hotels (Holdings) Limited,Consumer Discretionary,,,,,,,1221.0,Current,ARCULLI Ronald Joseph,Non Executive Director,,2005-07-01,
London,MJ GLEESON PLC,Consumer Discretionary,2014-12-19 0:00,United Kingdom,Europe,MAIN MARKET,No,337.88,,,,,,,
London,AA PLC,Consumer Discretionary,2014-6-26 0:00,United Kingdom,Europe,MAIN MARKET,No,141.69,,,,,,,
Hong Kong,Lever Style Corporation,Consumer Discretionary,,,,,,,1346.0,Current,ANDERSEN Dee Allen,Independent Non Executive Director - A/F,,2021-12-10,
Hong Kong,Helens International Holdings Company Limited,Consumer Discretionary,,,,,,,9869.0,Current,CAI Wen Jun,Executive Director,,2022-06-17,
Hong Kong,Evergreen Products Group Limited,Consumer Discretionary,,,,,,,1962.0,Current,CHAN Kwok Keung,Executive Director,,2016-09-09,
Hong Kong,E Lighting Group Holdings Limited,Consumer Discretionary,,,,,,,8222.0,Current,CHUNG Wai Man,Independent Non Executive Director,,2014-09-11,
Hong Kong,Sands China Ltd.,Consumer Discretionary,,,,,,,1928.0,Current,CHIANG Yun Rachel,Independent Non Executive Director,,2009-10-14,
London,HEADLAM GROUP PLC,Consumer Discretionary,1988-7-6 0:00,United Kingdom,Europe,MAIN MARKET,No,225.86,,,,,,,
Hong Kong,"Baidu, Inc.",Consumer Discretionary,,,,,,,9888.0,Current,DING Jian,Independent Non Executive Director,,2005-08-01,
London,DFS FURNITURE PLC,Consumer Discretionary,2015-3-11 0:00,United Kingdom,Europe,MAIN MARKET,No,526.06,,,,,,,
London,TED BAKER PLC,Consumer Discretionary,1997-7-24 0:00,United Kingdom,Europe,MAIN MARKET,No,188.85,,,,,,,
Hong Kong,China Harmony Auto Holding Limited,Consumer Discretionary,,,,,,,3836.0,Current,CHENG Jun Qiang,Executive Director,,2022-01-05,
Hong Kong,BOC Aviation Limited,Consumer Discretionary,,,,,,,2588.0,Current,DAI De Ming,Independent Non Executive Director - A/F,,2016-05-12,
London,MITCHELLS & BUTLERS PLC,Consumer Discretionary,2003-4-15 0:00,United Kingdom,Europe,MAIN MARKET,No,672.99,,,,,,,
Hong Kong,Wisdom Education International Holdings Company Limited,Consumer Discretionary,,,,,,,6068.0,Current,HUANG Wei Guo,Independent Non Executive Director,,2019-03-14,
Hong Kong,Web3 Meta Limited,Consumer Discretionary,,,,,,,8093.0,Current,CHEN Ce,Independent Non Executive Director,,2018-01-01,
London,PEARSON PLC,Consumer Discretionary,1969-8-13 0:00,United Kingdom,Europe,MAIN MARKET,No,3840.16,,,,,,,
Hong Kong,China Southern Airlines Company Limited,Consumer Discretionary,,,,,,,1055.0,Current,GUO Wei,Independent Non Executive Director,,2021-04-30,
London,FRENCH CONNECTION GROUP PLC,Consumer Discretionary,1983-5-9 0:00,United Kingdom,Europe,MAIN MARKET,No,8.07,,,,,,,
Hong Kong,PRADA S.p.A.,Consumer Discretionary,,,,,,,1913.0,Current,BERTELLI Lorenzo,Executive Director,,2021-05-27,
Hong Kong,Symphony Holdings Limited,Consumer Discretionary,,,,,,,1223.0,Current,CHAN Kar Lee Gary,Executive Director,,2014-01-02,
Hong Kong,Trip.com Group Limited,Consumer Discretionary,,,,,,,9961.0,Current,FAN Min,Executive Director,,2006-10-01,
