wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Hertz Global Holdings,https://en.wikipedia.org/wiki/Hertz_Global_Holdings,Public,Nasdaq: HTZS&P 600 component,"1918; 107 years ago (1918) in Chicago, Illinois, U.S.","Estero, Florida, U.S.",,,Gil West (CEO)Justin Keppy (COO),,US$9.05 billion (2024),US$−1.2 billion (2024),US$−2.9 billion (2024),US$21.8 billion (2024),US$153 million (2024),"c. 26,000 (2024)",Dollar Rent A CarFirefly Car RentalThrifty Car Rental,hertz.com,Walter L. Jacobs,,,
Liquidity Services,https://en.wikipedia.org/wiki/Liquidity_Services,,Nasdaq: LQDT S&P 600 component,1999; 26 years ago (1999),"Bethesda, Maryland, United States",,,William Angrick III (CEO),,,,,,,687,,liquidityservices.com,William P. Angrick IIIJaime Mateus-TiqueBen Brown,,,
Brandywine Realty Trust,https://en.wikipedia.org/wiki/Brandywine_Realty_Trust,Public,NYSE: BDNS&P 600 component,1994; 31 years ago (1994),"2929 Arch St., Suite 1800, Philadelphia, Pennsylvania, U.S.",,,"Gerard H. Sweeney, CEO & PresidentMichael J. Joyce, ChairmanThomas E. Wirth, CFO",,US$506 million (2022),,US$53 million (2022),US$3.874 billion (2022),US$1.633 billion (2022),334 (2022),,brandywinerealty.com,,,Office buildings,
Swvl,https://en.wikipedia.org/wiki/Swvl,Public,Nasdaq: SWVL,"2017; 8 years ago (2017) in Cairo, Egypt","Dubai, UAE",,EgyptEuropeJordanKenyaLatin AmericaSaudi ArabiaUAEMexico,Mostafa Kandil (CEO)Youssef Salem (CFO),,US$38.35 million (2021),US$−100.52 million (2021),US$−141.42 million (2021),US$59.34 million (2021),US$−89.74 million (2021),606 (December 2021),,Official website,Mostafa Kandil,,"Ridesharing, Vanpool",
American Motors Corporation,https://en.wikipedia.org/wiki/American_Motors_Corporation,,,"May 1, 1954; 71 years ago (1954-05-01)","American Center27777 Franklin RdSouthfield, Michigan, 48034U.S.",,,George W. RomneyRoy AbernethyRobert B. EvansRoy D. Chapin Jr.Dick Teague,,,,,,,,Kelvinator (1954–1968) Vehículos Automotores Mexicanos (1963–1980) AM General (1971–1983) Shinjin Jeep Motors (1974–1979) Wheel Horse (1974–1986) Arab American Vehicles (1977–1987) Beijing Jeep (1984–1987),,George W. Mason,,AutomobilesMilitary vehiclesBuses and delivery vehiclesSport utility vehiclesMajor home appliancesCommercial refrigerationLawn care products,
Duke Realty,https://en.wikipedia.org/wiki/Duke_Realty,,,1972; 53 years ago (1972),"Indianapolis, Indiana, U.S.",,,James B. Connor (Chairman and CEO),,,,,,,"340 (December 31, 2021)",,,John RosebroughPhil DukeJohn Wynne,,,
China Resources Land,https://en.wikipedia.org/wiki/China_Resources_Land,Public,SEHK: 1109Hang Seng Index component,1994; 31 years ago (1994),"Shenzhen, China",,China,Wu Xiangdong (Executive director),"Residential development, Property investment, Value added services",,,,,,,China Resources Mixc Lifestyle,www.crland.com.hk,,,"Shopping Mall, Residential community, Office",
Real estate investment trust,https://en.wikipedia.org/wiki/Real_estate_investment_trust,,,,,,,,,,,,,,,,,,,,
Trinity and United States Realty Buildings,https://en.wikipedia.org/wiki/Trinity_and_United_States_Realty_Buildings,,,,,,,,,,,,,,,,,,,,
Rayonier Advanced Materials,https://en.wikipedia.org/wiki/Rayonier_Advanced_Materials,Public,NYSE: RYAM,2014,"Riverplace Tower1301 Riverplace BlvdSuite 2300Jacksonville, Florida",,,"De Lyle W. Bloomquist,(President & CEO)",,$1.7 billion USD (2013)(prior to split),,$374 million USD (2013)(prior to split),,,2500,,ryam.com,,,Products list AcetateCelluloseEthersViscoseSoapTurpentine,
Lincoln Tech,https://en.wikipedia.org/wiki/Lincoln_Tech,For-profit,,,,,,,,,,,,,,,lincolntech.edu,,,,
Phoenix Petroleum,https://en.wikipedia.org/wiki/Phoenix_Petroleum,Public,,"May 8, 2002; 23 years ago","Phoenix Bulk Depot, Lanang, Davao City, Philippines",,Philippines,Domingo T. Uy (Chairman Emeritus) Dennis A. Uy (Chairman) Henry Albert R. Fadullon (President),Oil refining,,,,,,,,www.phoenixfuels.ph,,"Oilink Mindanao Distribution, Inc. (2002–2004)Davao Oil Terminal Services Corporation (2004–2006)",OilNatural gas,
DLocal,https://en.wikipedia.org/wiki/DLocal,Public,Nasdaq: DLO,"2016; 9 years ago (2016) in Montevideo, Uruguay","Montevideo, Uruguay",Over 20 offices worldwide (2024),Emerging markets worldwide,"Pedro Arnt (CEO), Carlos Menendez (COO), Mark Ortiz (CFO)",,,,,,,1000 (2024),,https://dlocal.com,"Sergio Fogel, Andrés Bzurovski",,,
Phillips Edison & Company,https://en.wikipedia.org/wiki/Phillips_Edison_%26_Company,Public,Nasdaq: PECOS&P 600 Component,1991 (1991),"11501 Northlake Drive, Cincinnati, Ohio",,United States,Jeffery Edison (CEO)John Caufield (CFO),,US$519.4 million (2021),,US$17.23 million (2021),US$4.668 billion (2021),US$2.476 billion (2021),290,,phillipsedison.com,,,,
"UDR, Inc.","https://en.wikipedia.org/wiki/UDR,_Inc.",Public company,NYSE: UDRS&P 500 component,1972; 53 years ago (1972),"Highlands Ranch, Colorado",,,"Thomas W. Toomey, Chairman, CEO & PresidentJoseph D. Fisher CFO",,$1.671 billion (2024),,$84 million (2024),$10.897 billion (2024),$3.443 billion (2024),"1,419 (2024)",,www.udr.com,,,Apartments,
"Strategic Education, Inc.","https://en.wikipedia.org/wiki/Strategic_Education,_Inc.",Public,Nasdaq: STRAS&P 600 component,,"Herndon, Virginia, U.S.",,,Robert S. Silberman(executive chairman)Karl McDonnell (CEO)Daniel W. Jackson (CFO),Online education,"US$ 1,027,700,000 (2020)","US$ 94,400,000 (2020)","US$ 39,300,000 (2020)",,,"3,076 (2019)",,strategiceducation.com,,,,
Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,Public company,NYSE: CPTS&P 500 component,1981; 44 years ago (1981),"11 Greenway PlazaHouston, Texas, U.S.",,,Richard J. Campo (Chairman & CEO)D. Keith Oden (Executive Vice Chairman)Alexander J. Jessett (CFO),,US$1.542 billion (2023),,US$403 million (2023),US$9.383 billion (2023),US$5.051 billion (2023),"approx. 1,640 (December 2023)",,camdenliving.com,Richard J. CampoD. Keith Oden,,Apartments,
The Man in the High Castle (TV series),https://en.wikipedia.org/wiki/The_Man_in_the_High_Castle_(TV_series),,,,,,,,,,,,,,,,,,,,
LBC Express,https://en.wikipedia.org/wiki/LBC_Express,Public,PSE: LBC,Luzon Brokerage Corporation (1945),"Pasay, Philippines",,Worldwide,"Enrique V. Rey, Jr. (President and CEO) Rene E. Fuentes (chairman)","Post delivery, express mail, freight forwarding, third-party logistics, wire transfers, cargo airline, remittance services",,,,,,,LBC Remit Express LBC Foundation LBC Sports Development Corporation LBC Mundial Corporation LBC Express International Aviation,lbcexpress.com,,,,
Nutex Health,https://en.wikipedia.org/wiki/Nutex_Health,Public company,Nasdaq: NUTX,,"Houston, Texas, U.S.",,United States,Thomas Vo (CEO),,,,,,,,,nutexhealth.com,Thomas Vo,,,
American International Group,https://en.wikipedia.org/wiki/American_International_Group,Public,NYSE: AIGS&P 100 componentS&P 500 component,"December 19, 1919; 105 years ago (1919-12-19) in Shanghai, China","1271 Avenue of the Americas, New York City, New York, U.S.",,Worldwide,Peter Zaffino (chairman and CEO),,"US$27,250,000,000 (2024)",US$3.87 billion (2024),−US$1.43 billion (2024),US$161.3 billion (2024),US$45.52 billion (2024),"c. 22,000 (2024)",TATA AIG,aig.com,Cornelius Vander Starr,,General insuranceHealth insuranceVehicle insuranceTravel insuranceHome insuranceLife insuranceMortgage loansInvestment managementMutual fund,
Ryman Hospitality Properties,https://en.wikipedia.org/wiki/Ryman_Hospitality_Properties,Public,NYSE: RHPRussell 2000 componentS&P 600 component,1925; 100 years ago (1925),"Nashville, Tennessee, U.S.",,,Colin Reed (Executive Chair)Mark Fioravanti (RHP CEO)Patrick Moore (Opry Entertainment CEO),,US$747.7 million (2007),US$43.2 million (2007),US$111.9 million (2007),"US$2,336.9 million (2007)",US$941.5 million (2007),,Opry Entertainment Group,,Edward Gaylord,Gaylord Broadcasting CompanyGaylord Entertainment Company,,
MSCI,https://en.wikipedia.org/wiki/MSCI,Public,NYSE: MSCIS&P 500 component,1968; 57 years ago (1968),"7 World Trade Center, New York City, United States",,,Henry A. Fernandez (CEO)Baer Pettit (President)Andrew Wiechmann (CFO)Scott Crum (CHRO),Stock market indexesPortfolio analytics,US$2.86 billion (2024),US$1.53 billion (2024),US$1.11 billion (2024),US$5.45 billion (2024),US$−940 million (2024),"6,132 (2024)",,www.msci.com,,,,
Welltower,https://en.wikipedia.org/wiki/Welltower,Public company,NYSE: WELLS&P 500 component,1970; 55 years ago (1970),"Toledo, Ohio, U.S.",,,"Shankh Mitra, CEO",,US$4.742 billion (2021),,US$374 million (2021),US$34.91 billion (2021),US$18.596 billion (2021),533 (2024),,welltower.com,,"Health Care REIT, Inc.",,
Liberty Mutual,https://en.wikipedia.org/wiki/Liberty_Mutual,Mutual. Private,,"July 1, 1912; 113 years ago (1912-07-01) (as Massachusetts Employees Insurance Association)","175 Berkeley StreetBoston, Massachusetts, U.S.",,Worldwide,Timothy M. Sweeney (President and CEO),Property and Casualty Insurance,$48.2 billion (2021),$1.282 billion (2019),$3.068 billion (2021),$156.043 billion (2021),$27.848 billion (2021),"45,000+ (2021)",,libertymutualgroup.comlibertymutual.com,,,,
Remitly,https://en.wikipedia.org/wiki/Remitly,Public,Nasdaq: RELY,2011; 14 years ago (2011),"Seattle, United States",,,,,$944 million (2023),,,,,"2,700 (2023)",,www.remitly.com,Matthew Oppenheimer (CEO)Josh Hug (COO)Shivaas Gulati (Head of Engineering),,,
Americold,https://en.wikipedia.org/wiki/Americold,Public company,NYSE: COLDRussell 1000 component,,"Atlanta, Georgia, U.S.",250,,,,,,,,,"16,275 (December 31, 2021)",,americold.com,,,,
Outfront Media,https://en.wikipedia.org/wiki/Outfront_Media,Public,NYSE: OUTRussell 1000 ComponentS&P 600 Component,1938; 87 years ago (1938),"405 Lexington Avenue, New York, NY, U.S.",,Americas,Nick Brien (Interim CEO)Matthew Siegel (CFO),,US$ 2.5B (2020),,,,,"2,370 (2020)",,outfront.com,,,"Billboards, Transit Advertising",
St. Joe Company,https://en.wikipedia.org/wiki/St._Joe_Company,Public,NYSE: JOES&P 600 component,1936; 89 years ago (1936),"Panama City Beach, Florida, U.S.",,,Jorge Gonzalez- President and Chief Executive OfficerMarek Bakun- Executive Vice President and Chief Financial OfficerLisa Walters- Senior Vice President - General Counsel K. Rhea Goff- Senior Vice President and Chief Administrative Officer,,"> US$ 402.7 million (January 1, 2024 - December 31, 2024",,,,,"1,200 (2025)",,joe.com,,,"Residential, Commercial & Rural Land; Forestry Products; Resort Operations",
Lyft,https://en.wikipedia.org/wiki/Lyft,Public,Nasdaq: LYFT (Class A)Russell 1000 component,"June 9, 2012; 13 years ago (2012-06-09) (as Zimride)","San Francisco, California, U.S.",,United StatesCanada,Logan Green (chairman)John Zimmer (president)David Risher (CEO),,US$5.79 billion (2024),US$−119 million (2024),US$22.8 million (2024),US$5.44 billion (2024),US$767 million (2024),"2,934 (2024)",Lyft Urban SolutionsMotivateFree Now,lyft.com,Logan GreenJohn Zimmer,,,
Realty Income,https://en.wikipedia.org/wiki/Realty_Income,Public company,NYSE: OS&P 500 Index component,1969; 56 years ago (1969),"San Diego, California",,,"Michael D. McKee, ChairmanSumit Roy, CEOJonathan Pong, CFO",,$4.079 billion (2023),,$872.3 million (2023),$57.8 billion (2023),$33.1 billion (2023),418 (2023),,realtyincome.com,"William E. Clark, Jr.Evelyn J. Clark",,"Free-standing, single-tenant commercial properties",
Gravity (Korean company),https://en.wikipedia.org/wiki/Gravity_(Korean_company),Public,Nasdaq: GRVY,April 2000; 25 years ago (2000-04),"Seoul, South Korea",,,Hyun Chul Park (CEO)Yoshinori Kitamura (COO)Heung Gon Kim (CFO),,"KRW₩141,623,000,000 (2017)",,"KRW₩13,314,000,000 (2017)",,,,Gravity InteractiveGravity Game Tech,www.gravity.co.kr,,,Video games,
Global Payments,https://en.wikipedia.org/wiki/Global_Payments,Public,NYSE: GPNS&P 500 component,"2000; 25 years ago (2000), as a National Data Corporation subsidiary 2001; 24 years ago (2001), spun off from parent company","Three Alliance CenterAtlanta, Georgia, U.S.",,,Cameron M. Bready(president and CEO)Andréa Carter(CHRO)David Rumph(CFO),,US$10.1 billion (2024),US$2.33 billion (2024),US$1.57 billion (2024),US$46.9 billion (2024),US$22.3 billion (2024),"27,000 (2024)",TSYSHeartland Payment Systems,globalpayments.com,,,,
Amrep Corporation,https://en.wikipedia.org/wiki/Amrep_Corporation,Public company,NYSE: AXRRussell Microcap Index component,1961,"Princeton, New Jersey, United States",,,James Wall (CEO),,US$120M (FY 2010),US$-11.2M (FY 2010),US$-9.48M (FY 2010),US$212M (FY 2010),US$86.6M (FY 2010),"2,115 (2008)",,www.amrepcorp.com,,,,
Visa Inc.,https://en.wikipedia.org/wiki/Visa_Inc.,Public,NYSE: V (Class A)DJIA componentS&P 100 componentS&P 500 component,"September 18, 1958; 67 years ago (1958-09-18) (as BankAmericard in Fresno, California, U.S.)","San Francisco, California, U.S.",,Worldwide,Ryan McInerney (CEO)John F. Lundgren (chairman)Oliver Jenkyn (group president & Global Markets)Kelly Mahon Tullier (vice chair & CPO),,US$40.00 billion (2025),US$23.99 billion (2025),US$20.06 billion (2025),US$99.63 billion (2025),US$37.91 billion (2025),"34,100 (2025)",,visa.com,Bank of America (as BankAmericard)Dee Hock (as Visa),BankAmericard (1958–1976),Credit cardsDebit cardsPayment systems,
CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,Public,Nasdaq: CSGPNasdaq-100 componentS&P 500 component,1987; 38 years ago (1987),"Arlington, Virginia, U.S.",,Australia Canada France Germany Spain United Kingdom United States,"Andrew C. Florance (president and CEO) Louise S. Sams (chairman) Lisa Ruggles (SVP, global operations) Frank Simuro (CTO)",,US$2.74 billion (2024),US$5 million (2024),US$139 million (2024),US$9.26 billion (2024),US$7.55 billion (2024),"6,593 (2025)",Apartments.com Homes.com LoopNet Matterport STR,costargroup.com,Andrew Florance,,,
Graham Holdings,https://en.wikipedia.org/wiki/Graham_Holdings,Public,NYSE: GHC (Class B)S&P 400 component,"August 4, 1947; 78 years ago (1947-08-04) in Washington, D.C., U.S.","Arlington County, Virginia, United States",,,Donald E. Graham (chairman)Tim O'Shaughnessy (president and CEO),,"US$3.924 Billion ('Fiscal Year Ended December 31, 2022)","US$83.898 Million (Fiscal Year Ended December 31, 2022)","US$67.08 Million ('Fiscal Year Ended December 31, 2022)","US$6.582 Billion ('Fiscal Year Ended December 31, 2022)","US$3.752 Billion ('Fiscal Year Ended December 31, 2022)","11,500 (2015)",,www.ghco.com,,The Washington Post Company (1947–2013),MagazinesEducational ServicesTelevisionCable televisionElectronic media,US3846371041
Public Storage,https://en.wikipedia.org/wiki/Public_Storage,Public,NYSE: PSAS&P 500 component,"August 14, 1972; 53 years ago (1972-08-14) in El Cajon, California, U.S.","Glendale, California, U.S.","3,073 (2024)",,"Ronald L. Havner, Jr. (chairman)Joseph D. Russell, Jr. (president and CEO)",,US$4.69 billion (2024),US$2.18 billion (2024),US$2.07 billion (2024),US$19.7 billion (2024),US$9.71 billion (2024),"c. 5,900 (2024)",,publicstorage.com,B. Wayne HughesKenneth Volk Jr.,,,US74460D1090
36Kr,https://en.wikipedia.org/wiki/36Kr,Public,Nasdaq: KRKR,December 2010; 14 years ago (2010-12),"Beijing, China",,,Feng Dagang (CEO),,CN¥238.70 million (2023),,CN¥−89.25 million (2023),CN¥458.97 million (2023),CN¥261.86 million (2023),481 (2023),,www.36kr.com,Liu Chengcheng,,,
Cousins Properties,https://en.wikipedia.org/wiki/Cousins_Properties,Public,NYSE: CUZS&P 400 component,1958; 67 years ago (1958),"Atlanta, Georgia, United States",,,Colin Connolly (CEO) S. Taylor Glover (chairman & CEO) Gregg D. Adzema (CFO),,$856 million (2024),,$46 million (2024),$8.802 billion (2024),$4.870 billion (2024),306 (2024),,cousins.com,Tom Cousins,,,
Lineage (company),https://en.wikipedia.org/wiki/Lineage_(company),Public,Nasdaq: LINERussell 1000 component,"April 18, 2012; 13 years ago (2012-04-18) in Colton, California, United States","Novi, Michigan, U.S.",,North AmericaEuropeAsia-Pacific,Greg Lehmkuhl (CEO and president),,US$5.3 billion (2023),,US$−96 million (2023),,,"26,000",,onelineage.com,,,,
Four Corners (American TV series),https://en.wikipedia.org/wiki/Four_Corners_(American_TV_series),,,,,,,,,,,,,,,,,,,,
NNN Reit,https://en.wikipedia.org/wiki/NNN_Reit,Public company,NYSE: NNNS&P 400 component,October 1984; 41 years ago (1984-10) (as Golden Corral Realty Corp.),"Orlando, Florida, U.S.",,,Julian E. Whitehurst (CEO & President)Don DeFosset (Chairman)Kevin B. Habicht (CFO),,US$0.674 billion (2019),,US$0.299 billion (2019),US$8.500 billion (2019),US$4.332 billion (2019),70 (2020),,www.nnnreit.com,,"National Retail Properties, Inc.",Freestanding retail properties,
Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,Public,NYSE: BXS&P 500 component,1985; 40 years ago (1985),"345 Park AvenueNew York City, U.S.",,,Stephen Schwarzman (chairman and CEO)Jonathan Gray (president and COO)Joseph Baratta (head of private equity)David Blitzer (chairman of tactical opportunities),,US$13.23 billion (2024),,US$2.44 billion (2024),US$43.5 billion (2024),US$8.21 billion (2024),"4,895 (2024)",Blackstone Credit,blackstone.com,Peter PetersonStephen Schwarzman,,Alternative investmentPrivate equity,
Annaly Capital Management,https://en.wikipedia.org/wiki/Annaly_Capital_Management,Public company,NYSE: NLYS&P 400 component,"February 18, 1997; 28 years ago (1997-02-18)","1211 Avenue of the AmericasNew York City, U.S.",,,David L. Finkelstein(CEO & CIO)Serena Wolfe (CFO),,,"1,771,991,000 United States dollar (2022)",US$−1.643 billion (2023),US$93.227 billion (2023),US$11.255 billion (2023),"187 (December 31, 2023)",,www.annaly.com,Michael A.J. FarrellWellington Denahan,,,
Conduent,https://en.wikipedia.org/wiki/Conduent,Public company,Nasdaq: CNDTRussell 2000 component,"January 3, 2017; 8 years ago (2017-01-03)","Florham Park, New Jersey, U.S.",22 countries (2021),Worldwide,Clifford A. Skelton (President & CEO)Steve Wood (CFO),Outsourcing,US$4.140 billion (2021),,,,,"31,000 (2021)",,conduent.com,,,,
Mid-America Apartment Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities,Public,NYSE: MAAS&P 500 component,1977; 48 years ago (1977),"Germantown, Tennessee, U.S.",,,"H. Eric Bolton, Jr. (Chairman, CEO & President)Clay Holder (CFO)",,$2.191 billion (2024),,$524 million (2024),$11.81 billion (2024),$6.098 billion (2024),"2,532 (2024)",,maac.com,George E. Cates,,Apartments,
Macerich,https://en.wikipedia.org/wiki/Macerich,Public,NYSE: MACS&P 600 component,1964; 61 years ago (1964),"Santa Monica, California, U.S.",,,Steven Hash (chairman of the Board)Jackson Hsieh (CEO)Scott Kingsmore (CFO)Ann C. Menard (CLO),,$918 million (2024),,-$194 million (2024),$8.567 billion (2024),$2.756 billion (2024),616 (2024),,www.macerich.com,Mace SiegelRichard Cohen,,,
FiscalNote,https://en.wikipedia.org/wiki/FiscalNote,Public,NYSE: NOTE (Class A),"June 2013; 12 years ago (June 2013) in Sunnyvale, California","1201 Pennsylvania Avenue, Washington, D.C.","13 Washington, D.C.; New York, NY; Austin, TX, Baton Rouge, LA; Madison, WI; Brussels, Belgium; Gurugram, India; Oxford, UK; Seoul, Korea; Sydney, Australia; Hong Kong; Singapore",,,,,,,,,600+,,fiscalnote.com,Timothy HwangGerald YaoJonathan Chen,,,
Symphony Technology Group,https://en.wikipedia.org/wiki/Symphony_Technology_Group,Private,,2017; 8 years ago (2017),"1300 El Camino Real, Suite 300, Menlo Park, California, U.S.","3 (Bangalore, India; London, England; Menlo Park, CA)",,"Managing partner: William ""Bill"" ChisholmManaging director and CFO: Stephen HenkenmeierManaging directors: Marc A. Bala, Douglas M. Haines, and Johnie T. Treadwell",,,,,Less than $1 billion (2025),,88 (2025),,stg.com,"William ""Bill"" Chisholm",,,
Prologis,https://en.wikipedia.org/wiki/Prologis,Public,NYSE: PLDS&P 500 component,1983; 42 years ago (1983),"Pier 1, San Francisco, California, United States",,North AmericaSouth AmericaEuropeAsia,Hamid Moghadam (Chairman and CEO) Dan Letter (president)Carter H. Andrus (COO)Tim Arndt (CFO),,US$8.20 billion (2024),US$4.42 billion (2024),US$3.73 billion (2024),US$95.33 billion (2024),US$58.62 billion (2024),"2,703 (2024)",,prologis.com,Hamid MoghadamDoug AbbeyT. Robert Burke,,Industrial real estate,
Alexander & Baldwin,https://en.wikipedia.org/wiki/Alexander_%26_Baldwin,Public,NYSE: ALEXS&P 600 component,1870; 155 years ago (1870),"Honolulu, Hawaii, U.S.",,,Christopher J. Benjamin(president & CEO)Paul K. Ito(vice president & CFO),,US$ 387.5 million (2016),US$ 115.7 million (2022),US$ 33.0 million (2022),US$ 1.59 billion (2022),US$ 1.808 billion (2022),144 (2022),,alexanderbaldwin.com,Samuel Thomas AlexanderHenry Perrine Baldwin,,,
Vici Properties,https://en.wikipedia.org/wiki/Vici_Properties,Public,NYSE: VICIS&P 500 component,"October 6, 2017; 8 years ago (2017-10-06) in Paradise, Nevada, U.S.","New York City, U.S.",,,Edward B. Pitoniak (CEO),,US$3.85 billion (2024),,US$2.72 billion (2024),US$45.4 billion (2024),US$26.9 billion (2024),27 (2024),,viciproperties.com,,,,US9256521090
Ucommune,https://en.wikipedia.org/wiki/Ucommune,Public,Nasdaq: UK,2015; 10 years ago (2015),"Beijing, China",>100 (2018),,,"Shared workspaces, training for businesses",,,,,,,,ucommune.com,Mao Daqing,,"Workspace for startups, entrepreneurs and small businesses",
Radware,https://en.wikipedia.org/wiki/Radware,Public,Nasdaq: RDWR,1997; 28 years ago (1997),"Mahwah, New Jersey (corporate)",,,Roy Zisapel (CEO) Doron Abramovitch (CFO) Gabi Malka (COO),,US$ 216.57 million (2015),,US$ 18.57 million (2015),,,1000+,,radware.com,,,Application delivery Network SecurityLoad balancing,
Globalstar,https://en.wikipedia.org/wiki/Globalstar,Public,Nasdaq: GSAT,"March 24, 1991; 34 years ago (1991-03-24)","Covington, Louisiana, U.S.",,,Paul E. Jacobs (CEO),,,,,,,,,globalstar.com,,,,
GameStop,https://en.wikipedia.org/wiki/GameStop,Public,NYSE: GME (Class A)S&P 400 component,1984; 41 years ago (1984),"Grapevine, Texas, U.S.","3,203 (February 2025)",AustraliaFranceNew ZealandUnited States,Ryan Cohen (chairman and CEO),,US$3.82 billion (2024),US-$26 million (2024),US$131.3 million (2024),US$5.87 billion (2024),US$5.46 billion (2024),"8,000 full-time; 13,000–18,000 part-time (Feb 2024)",Babbage'sEB GamesGeeknetMicromania-ZingRhino Video GamesThinkGeek,gamestop.com,Leonard RiggioDaniel DeMatteoRichard Fontaine,Babbage's (1984–1999),Video gamesConsolesAccessories,
Turning Point USA,https://en.wikipedia.org/wiki/Turning_Point_USA,Nonprofit organization,,,"4940 East Beverly Road Phoenix, Arizona, United States 85044",,,,,$85 million (2023),,,,,,,tpusa.com,Charlie KirkBill Montgomery,,,
The Eastern Company,https://en.wikipedia.org/wiki/The_Eastern_Company,Public,Nasdaq: EML,1858; 167 years ago (1858),"Naugatuck, Connecticut, United States",,,"Leonard F. Fagenza (CEO, president, chairman) (2012.12)",,,,,,,,Big3VelvacEberhard,easterncompany.com,,,"Security products, metal products, industry hardware",
Grupo Aeroportuario Centro Norte,https://en.wikipedia.org/wiki/Grupo_Aeroportuario_Centro_Norte,Public,BMV: OMA B Nasdaq: OMAB,"November 1, 1998; 27 years ago (1998-11-01)","Monterrey, Mexico",13 airports,Center and North of Mexico,Ricardo Duenas Espriu (CEO),,US$ 854.4 million (2023),,US$ 296.7 million (2023),"US$ 1,491,671.7 million (2023)",,"1,270",,oma.aero/en/,,,,
"Xos, Inc.","https://en.wikipedia.org/wiki/Xos,_Inc.",Public,Nasdaq: XOS,2016,"Los Angeles, California, U.S.",,,Dakota Semler (Chairman of The Board and CEO),,,,,,,,,www.xostrucks.com,,,Electric trucks,
American Superconductor,https://en.wikipedia.org/wiki/American_Superconductor,Public,Nasdaq: AMSCRussell Microcap component,"April 9, 1987; 38 years ago (1987-04-09)","Ayer, Massachusetts, U.S.",,,Daniel P. McGahn (president & CEO),,$146 million (2023),−$11 million (2023),−$11 million (2023),$233 million (2023),$145 million (2023),337 (2024),,amsc.com,Gregory J. Yurek,,,
Glazer ownership of Manchester United,https://en.wikipedia.org/wiki/Glazer_ownership_of_Manchester_United,,,,,,,,,,,,,,,,,,,,
Euroseas (company),https://en.wikipedia.org/wiki/Euroseas_(company),,,,,,,,,,,,,,,,,,,,
Caleres,https://en.wikipedia.org/wiki/Caleres,Public,NYSE: CAL,1878; 147 years ago (1878),"Clayton, Missouri, U.S.","1,369 (January 2011)",,Jay Schmidt (CEO),,$2.968 billion (2022),,,,,"13,400",,caleres.com,,Brown Shoe Company(1893–2015),Footwear,
Crown Crafts,https://en.wikipedia.org/wiki/Crown_Crafts,,Nasdaq: CRWSRussell Microcap Index component,,,,,,,,,,,,,,,,,,
The Honest Company,https://en.wikipedia.org/wiki/The_Honest_Company,Public,Nasdaq: HNST,2011; 14 years ago (2011),"Los Angeles, California",,"United States, Canada, Europe",Carla Vernón (CEO)Jessica Warren (Former CCO),,US$344.37 million (2023),,US$−39.21 million (2023),,,187 (full-time) (2021),,honest.com,"Jessica Alba, Christopher Gavigan, Brian Lee",,Consumer goods,
Groupon,https://en.wikipedia.org/wiki/Groupon,,Nasdaq: GRPNRussell 2000 component,,"Leo Burnett Building, Chicago, Illinois, U.S.",,Global,,,US$515 million (2023),US$−18 million (2023),US$−55 million (2023),US$571 million (2023),US$−41 million (2023),,"Groupon MyCityDeal, Ideel, LivingSocial, CommerceInterface, Adku, SnapSave, Swarm, Mob.ly, PrettyQuick LLC, Groupon Getaways, Aisle50, GrouponLive, Plumfare, Boomerang, Inc., Cloud Savings Company",,Andrew MasonEric LefkofskyBrad Keywell,,,
WPP plc,https://en.wikipedia.org/wiki/WPP_plc,Public,LSE: WPPNYSE: WPPFTSE 100 Component,1971; 54 years ago (1971) (Wire and Plastic Products plc)1985; 40 years ago (1985) (Sorrell acquisition and entry into advertising),"London, England, UK",,Worldwide,Philip Jansen (chairman)Cindy Rose (CEO),Integrated networks media data and insights public relations and public affairs brand consulting production health and wellness,"£14,741 million (2024)","£1,325 million (2024)",£629 million (2024),,,"100,000 (2025)",AKQABCWCMI Media GroupEssenceMediacomGreyHill+Knowlton StrategiesMindshareOgilvyWavemakerUWGVMLWPP Media,www.wpp.com,Martin SorrellPreston Rabl(as an advertising company),,,JE00B8KF9B49
Coupang,https://en.wikipedia.org/wiki/Coupang,Public,NYSE: CPNG (Class A)Russell 1000 component,1 July 2010; 15 years ago (2010-07-01) in Seoul,"Seattle, Washington, United States.",,South KoreaTaiwan,Bom Kim (CEO),Rocket Delivery (e-commerce)Rocket Fresh (grocery delivery)Coupang Eats (restaurant delivery)Coupang Play (streaming service)Coupang Pay (digital payments),US$30.3 billion (2024),US$436 million (2024),US$66 million (2024),US$15.3 billion (2024),US$4.10 billion (2024),"c. 95,000 (2024)","Coupang Co., Ltd.Coupang USA, Inc.CPLB Corp.Coupang Pay Corp.Ddnayo, Inc.Coupang Fulfillment Services, Ltd.Coupang Logistics Services, Ltd.",aboutcoupang.com,Bom Kim,,,US22266T1097
